,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,21,DAL,NFL,RB,1.0,1.0,22.0,125.0,0.0,6.0,68.2,22.0,5.7,125.0,22.0,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,1.0,-2.0,100.0,-2.0,23.0,5.3,123.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,23,DAL,NFL,RB,2.0,2.0,46.0,184.0,2.0,10.0,45.7,44.0,4.0,92.0,23.0,10.0,6.0,51.0,8.5,0.0,2.0,40.0,12.0,3.0,25.5,60.0,5.1,52.0,4.5,235.0,2.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,26,DAL,NFL,RB,1.0,1.0,12.0,31.0,0.0,4.0,58.3,9.0,2.6,31.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,25.0,0.0,13.0,2.4,31.0,0.0,0.0,
5,2022,27,DAL,NFL,RB,2.0,2.0,23.0,53.0,0.0,5.0,39.1,9.0,2.3,26.5,11.5,6.0,3.0,16.0,5.3,0.0,0.0,33.3,9.0,1.5,8.0,50.0,2.7,26.0,2.7,69.0,0.0,0.0,
6,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,6.0,6.0,103.0,393.0,2.0,25.0,50.5,44.0,3.8,65.5,17.2,21.0,11.0,65.0,5.9,0.0,2.0,28.6,12.0,1.8,10.8,52.4,3.1,114.0,4.0,458.0,2.0,0.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,292.0,1114.0,6.0,71.0,50.5,44.0,3.8,65.5,17.2,60.0,31.0,184.0,5.9,0.0,6.0,28.6,12.0,1.8,10.8,52.4,3.1,323.0,4.0,1298.0,6.0,0.0,
