,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,72.0,1.0,1.0,2021-09-09,DAL,@,TAM,"L, 29-31",*,11,33,0,3.0,2,2,6,3.0,0,100.0,3.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,83.3,0,0.0,0,0.0
1,2.0,73.0,2.0,2.0,2021-09-19,DAL,@,LAC,"W, 20-17",*,16,71,1,4.4,2,2,26,13.0,0,100.0,13.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,71.0,0,0.0,0,0.0
2,3.0,74.0,3.0,3.0,2021-09-27,DAL,,PHI,"W, 41-21",*,17,95,2,5.6,3,3,21,7.0,0,100.0,7.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,69.7,0,0.0,0,0.0
3,4.0,75.0,4.0,4.0,2021-10-03,DAL,,CAR,"W, 36-28",*,20,143,1,7.2,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,75.4,0,0.0,0,0.0
4,5.0,76.0,5.0,5.0,2021-10-10,DAL,,NYG,"W, 44-20",*,21,110,1,5.2,3,2,2,1.0,1,66.7,0.7,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,47,60.3,0,0.0,0,0.0
5,6.0,77.0,6.0,6.0,2021-10-17,DAL,@,NWE,"W, 35-29 (OT)",*,17,69,0,4.1,9,7,50,7.1,0,77.8,5.6,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,70.8,0,0.0,0,0.0
6,7.0,78.0,7.0,8.0,2021-10-31,DAL,@,MIN,"W, 20-16",*,16,50,0,3.1,6,4,23,5.8,0,66.7,3.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,75.3,0,0.0,0,0.0
7,8.0,79.0,8.0,9.0,2021-11-07,DAL,,DEN,"L, 16-30",*,10,51,0,5.1,3,3,25,8.3,0,100.0,8.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,53.2,0,0.0,0,0.0
8,9.0,80.0,9.0,10.0,2021-11-14,DAL,,ATL,"W, 43-3",*,14,41,2,2.9,3,3,15,5.0,0,100.0,5.0,1,1,100.0,4,0,0,4.0,4.0,83.3,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,38,49.4,0,0.0,0,0.0
9,10.0,81.0,10.0,11.0,2021-11-21,DAL,@,KAN,"L, 9-19",*,9,32,0,3.6,6,6,36,6.0,0,100.0,6.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,68.7,0,0.0,0,0.0
10,11.0,82.0,11.0,12.0,2021-11-25,DAL,,LVR,"L, 33-36 (OT)",*,9,25,1,2.8,8,6,24,4.0,0,75.0,3.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,63.5,0,0.0,0,0.0
11,12.0,83.0,12.0,13.0,2021-12-02,DAL,@,NOR,"W, 27-17",*,13,45,0,3.5,3,2,2,1.0,0,66.7,0.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,64.3,0,0.0,0,0.0
12,13.0,84.0,13.0,14.0,2021-12-12,DAL,@,WAS,"W, 27-20",*,12,45,0,3.8,6,1,15,15.0,0,16.7,2.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,54,63.5,0,0.0,0,0.0
13,14.0,85.0,14.0,15.0,2021-12-19,DAL,@,NYG,"W, 21-6",*,16,52,1,3.3,4,3,20,6.7,0,75.0,5.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,62.0,0,0.0,0,0.0
14,15.0,86.0,15.0,16.0,2021-12-26,DAL,,WAS,"W, 56-14",*,9,37,1,4.1,1,1,5,5.0,1,100.0,5.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,42,57.5,0,0.0,0,0.0
15,16.0,87.0,16.0,17.0,2022-01-02,DAL,,ARI,"L, 22-25",*,9,16,0,1.8,2,1,14,14.0,0,50.0,7.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,70.3,0,0.0,0,0.0
16,17.0,88.0,17.0,18.0,2022-01-08,DAL,@,PHI,"W, 51-26",*,18,87,0,4.8,3,1,3,3.0,0,33.3,1.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,59.7,0,0.0,0,0.0
17,,,,,,,,,12-5,,237,1002,10,4.2,65,47,287,6.1,2,72.3,4.4,1,1,100.0,4,0,0,4.0,4.0,83.3,0,0,0.0,1,1,0,0,0,0,1,1,0,2,0,0,809,65.9,0,0.0,0,0.0
