,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,96.0,1.0,1.0,2024-09-08,BUF,,ARI,"W, 34-28",,2,2,25,12.5,1,100.0,12.5,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,36,58.1,0,0.0,10,37.0
1,2.0,97.0,2.0,2.0,2024-09-12,BUF,@,MIA,"W, 31-10",*,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,71.1,0,0.0,10,47.6
2,3.0,98.0,3.0,3.0,2024-09-23,BUF,,JAX,"W, 47-10",*,2,1,16,16.0,0,50.0,8.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,71.9,0,0.0,12,48.0
3,4.0,99.0,4.0,4.0,2024-09-29,BUF,@,BAL,"L, 10-35",*,6,1,5,5.0,0,16.7,0.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,61.0,0,0.0,11,40.7
4,5.0,100.0,5.0,5.0,2024-10-06,BUF,@,HOU,"L, 20-23",*,6,2,27,13.5,0,33.3,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,54.1,0,0.0,11,35.5
5,6.0,101.0,6.0,6.0,2024-10-14,BUF,@,NYJ,"W, 23-20",*,2,1,8,8.0,1,50.0,4.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,66.7,0,0.0,8,32.0
6,7.0,102.0,7.0,7.0,2024-10-20,BUF,,TEN,"W, 34-10",*,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,74.5,1,1.4,16,57.1
7,8.0,103.0,8.0,8.0,2024-10-27,BUF,@,SEA,"W, 31-10",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,35,46.1,0,0.0,3,13.0
8,9.0,104.0,9.0,9.0,2024-11-03,BUF,,MIA,"W, 30-27",,5,5,30,6.0,1,100.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,68.2,0,0.0,1,4.0
9,10.0,105.0,10.0,10.0,2024-11-10,BUF,@,IND,"W, 30-20",*,4,4,86,21.5,0,100.0,21.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,87.8,0,0.0,0,0.0
10,11.0,106.0,11.0,11.0,2024-11-17,BUF,,KAN,"W, 30-21",*,2,2,27,13.5,0,100.0,13.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,56.2,0,0.0,0,0.0
11,12.0,107.0,12.0,13.0,2024-12-01,BUF,,SFO,"W, 35-10",*,1,1,7,7.0,1,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,65.5,0,0.0,0,0.0
12,13.0,108.0,13.0,14.0,2024-12-08,BUF,@,LAR,"L, 42-44",*,6,4,57,14.3,1,66.7,9.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,76.7,0,0.0,1,3.0
13,14.0,109.0,14.0,15.0,2024-12-15,BUF,@,DET,"W, 48-42",,3,1,7,7.0,0,33.3,2.3,1,38,0,38.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,50.0,0,0.0,16,44.4
14,15.0,110.0,15.0,16.0,2024-12-22,BUF,,NWE,"W, 24-21",*,3,2,25,12.5,0,66.7,8.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,71.2,1,1.4,1,4.2
15,16.0,111.0,16.0,17.0,2024-12-29,BUF,,NYJ,"W, 40-14",*,2,2,33,16.5,0,100.0,16.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,54.3,0,0.0,0,0.0
16,17.0,112.0,17.0,18.0,2025-01-05,BUF,@,NWE,"L, 16-23",*,4,3,25,8.3,0,75.0,6.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,98.5,0,0.0,0,0.0
17,,,,,,,,,13-4,,50,31,378,12.2,5,62.0,7.6,1,38,0,38.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,721,66.3,2,0.2,100,22.4
