,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2017,23,PIT,NFL,ROLB,15,15,1,17,0,17,7,1,0,0,0,0,7.0,54,40,14,10,13,0,7.0,
1,2018,24,PIT,NFL,LOLB,16,16,0,0,0,0,3,6,0,0,0,0,13.0,68,50,18,12,21,0,11.0,PB
2,2019,25,PIT,NFL,LOLB,16,16,2,7,0,7,8,8,0,4,0,0,14.5,55,35,20,14,36,0,14.0,"PB,AP-1,AP DPoY-3"
3,2020,26,PIT,NFL,LOLB,15,15,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,0,18.0,"PB,AP-1,AP DPoY-2"
4,2021,27,PIT,NFL,LOLB,15,15,0,0,0,0,7,5,0,3,1,0,22.5,64,48,16,21,39,0,15.0,"PB,AP-1,AP DPoY-1"
5,2022,28,PIT,NFL,LOLB,10,10,2,0,0,0,5,1,0,0,0,0,5.5,39,27,12,8,12,0,8.0,PB
6,2023,29,PIT,NFL,LB,17,17,1,24,0,24,8,4,0,3,34,1,19.0,68,48,20,19,36,0,18.0,"PB,AP-1,AP DPoY-2"
7,2024,30,PIT,NFL,LOLB,17,17,0,0,0,0,4,6,0,2,0,0,11.5,61,40,21,19,27,0,14.0,"PB,AP-2,AP DPoY-4"
8,2025,31,PIT,NFL,LB,3,3,0,0,0,0,1,1,0,1,0,0,2.0,14,7,7,4,4,0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,124,124,7,48,0,24,50,34,0,13,35,1,110.0,476,338,138,130,229,0,105.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,1,7,0,24,7,5,0,2,5,0,15.1,65,46,19,18,31,0,,
