,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,PIT,@,CLE,"W, 21-18",*,2.0,7,6,1,2,2,0,1,17,0,1,0,0.0,62,93.9,11,44.0
1,2.0,2.0,2.0,2.0,2017-09-17,PIT,,MIN,"W, 26-9",*,0.0,2,0,2,0,0,0,0,0,0,1,0,0.0,20,30.8,5,16.1
2,2.0,,3.0,3.0,2017-09-24,PIT,@,CHI,"L, 17-23 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,3.0,4.0,4.0,2017-10-01,PIT,@,BAL,"W, 26-9",*,0.0,4,4,0,1,0,0,0,0,0,1,0,0.0,67,97.1,2,8.0
4,4.0,4.0,5.0,5.0,2017-10-08,PIT,,JAX,"L, 9-30",*,1.0,6,5,1,2,1,0,0,0,0,0,0,0.0,50,92.6,6,23.1
5,5.0,5.0,6.0,6.0,2017-10-15,PIT,@,KAN,"W, 19-13",*,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0,40,74.1,12,48.0
6,6.0,6.0,7.0,7.0,2017-10-22,PIT,,CIN,"W, 29-14",*,1.0,6,5,1,1,3,0,0,0,0,0,0,0.0,42,82.4,8,29.6
7,7.0,7.0,8.0,8.0,2017-10-29,PIT,@,DET,"W, 20-15",*,0.0,2,1,1,0,0,0,0,0,0,1,0,0.0,63,88.7,15,55.6
8,8.0,8.0,9.0,10.0,2017-11-12,PIT,@,IND,"W, 20-17",*,0.0,3,3,0,0,0,0,0,0,0,0,0,0.0,57,96.6,10,33.3
9,9.0,9.0,10.0,11.0,2017-11-16,PIT,,TEN,"W, 40-17",*,0.0,2,0,2,0,0,0,0,0,0,1,0,0.0,54,83.1,9,29.0
10,10.0,10.0,11.0,12.0,2017-11-26,PIT,,GNB,"W, 31-28",*,1.0,4,3,1,1,1,0,0,0,0,1,0,0.0,53,96.4,13,46.4
11,11.0,11.0,12.0,13.0,2017-12-04,PIT,@,CIN,"W, 23-20",*,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,54,84.4,12,44.4
12,12.0,12.0,13.0,14.0,2017-12-10,PIT,,BAL,"W, 39-38",*,1.0,4,4,0,1,3,0,0,0,0,0,0,0.0,54,84.4,16,45.7
13,13.0,13.0,14.0,15.0,2017-12-17,PIT,,NWE,"L, 24-27",*,0.0,2,2,0,0,0,0,0,0,0,0,0,0.0,40,67.8,14,56.0
14,14.0,14.0,15.0,16.0,2017-12-25,PIT,@,HOU,"W, 34-6",*,0.0,2,0,2,0,0,0,0,0,0,1,0,0.0,48,87.3,5,19.2
15,15.0,15.0,16.0,17.0,2017-12-31,PIT,,CLE,"W, 28-24",*,1.0,8,6,2,2,3,0,0,0,0,0,0,0.0,47,72.3,11,40.7
16,,,,,,,,,13-2,,7.0,54,40,14,10,13,0,1,17,0,7,0,0.0,751,82.0,149,35.9
