,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,112.0,1.0,1.0,2022-09-12,SEA,,DEN,"W, 17-16",*,4,3,28,9.3,0,75.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,80.0,0,0.0,1,5.3
1,2.0,113.0,2.0,2.0,2022-09-18,SEA,@,SFO,"L, 7-27",*,11,9,107,11.9,0,81.8,9.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,91.8,0,0.0,3,13.0
2,3.0,114.0,3.0,3.0,2022-09-25,SEA,,ATL,"L, 23-27",*,11,9,76,8.4,0,81.8,6.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,81.7,0,0.0,1,4.0
3,4.0,115.0,4.0,4.0,2022-10-02,SEA,@,DET,"W, 48-45",*,8,6,91,15.2,0,75.0,11.4,1,7,0,7.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,55,78.6,0,0.0,4,12.1
4,5.0,116.0,5.0,5.0,2022-10-09,SEA,@,NOR,"L, 32-39",*,6,5,104,20.8,2,83.3,17.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,96.2,0,0.0,4,11.8
5,6.0,117.0,6.0,6.0,2022-10-16,SEA,,ARI,"W, 19-9",*,5,2,17,8.5,0,40.0,3.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,80.9,0,0.0,1,3.8
6,7.0,118.0,7.0,7.0,2022-10-23,SEA,@,LAC,"W, 37-23",*,8,7,45,6.4,0,87.5,5.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,64.8,0,0.0,1,3.4
7,8.0,119.0,8.0,8.0,2022-10-30,SEA,,NYG,"W, 27-13",*,8,5,63,12.6,1,62.5,7.9,0,0,0,,0.0,1,1,0,0,0,0,1,1,0,0,0,0,44,68.8,0,0.0,0,0.0
8,9.0,120.0,9.0,9.0,2022-11-06,SEA,@,ARI,"W, 31-21",*,5,5,67,13.4,1,100.0,13.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,74.0,0,0.0,1,3.7
9,10.0,121.0,10.0,10.0,2022-11-13,SEA,@,TAM,"L, 16-21",*,5,3,42,14.0,1,60.0,8.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,90.4,0,0.0,0,0.0
10,11.0,122.0,11.0,12.0,2022-11-27,SEA,,LVR,"L, 34-40 (OT)",*,7,3,68,22.7,1,42.9,9.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,87.7,0,0.0,0,0.0
11,12.0,123.0,12.0,13.0,2022-12-04,SEA,@,LAR,"W, 27-23",*,12,9,128,14.2,1,75.0,10.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,2,7.4
12,13.0,124.0,13.0,14.0,2022-12-11,SEA,,CAR,"L, 24-30",*,9,5,60,12.0,1,55.6,6.7,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,50,92.6,0,0.0,2,7.1
13,14.0,125.0,14.0,15.0,2022-12-15,SEA,,SFO,"L, 13-21",*,9,7,68,9.7,0,77.8,7.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,89.1,0,0.0,6,21.4
14,14.0,,15.0,16.0,2022-12-24,SEA,@,KAN,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,126.0,16.0,17.0,2023-01-01,SEA,,NYJ,"W, 23-6",*,2,2,15,7.5,0,100.0,7.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,31.9,0,0.0,0,0.0
16,16.0,127.0,17.0,18.0,2023-01-08,SEA,,LAR,"W, 19-16 (OT)",*,7,4,54,13.5,1,57.1,7.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,78.6,0,0.0,2,6.1
17,,,,,,,,,9-7,,117,84,1033,12.3,9,71.8,8.8,1,7,0,7.0,0.0,2,2,0,0,0,0,2,2,0,0,0,0,799,78.6,0,0.0,28,6.3
