,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2015-09-13,SEA,@,STL,"L, 31-34 (OT)",,4,4,34,8.5,0,100.0,8.5,0,0,0,,2,56,0,28.0,2,63,1,31.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,56,69.1,0,0.0,10,31.3
1,2.0,2.0,2.0,2.0,2015-09-20,SEA,@,GNB,"L, 17-27",*,2,2,17,8.5,0,100.0,8.5,0,0,0,,4,79,0,19.8,2,22,0,11.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,32,53.3,0,0.0,10,37.0
2,3.0,3.0,3.0,3.0,2015-09-27,SEA,,CHI,"W, 26-0",*,1,0,0,,0,0.0,0.0,0,0,0,,1,105,1,105.0,3,9,0,3.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,24,37.5,0,0.0,11,40.7
3,4.0,4.0,4.0,4.0,2015-10-05,SEA,,DET,"W, 13-10",*,5,4,58,14.5,0,80.0,11.6,1,1,0,1.0,2,30,0,15.0,5,42,0,8.4,0.0,1,1,0,0,0.0,0,1,1,0,0,0,0,37,56.9,0,0.0,11,45.8
4,5.0,5.0,5.0,5.0,2015-10-11,SEA,@,CIN,"L, 24-27 (OT)",,5,2,29,14.5,0,40.0,5.8,0,0,0,,1,21,0,21.0,2,8,0,4.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,34,56.7,0,0.0,11,34.4
5,6.0,6.0,6.0,6.0,2015-10-18,SEA,,CAR,"L, 23-27",,2,0,0,,0,0.0,0.0,0,0,0,,2,27,0,13.5,4,28,0,7.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,33,54.1,0,0.0,10,31.3
6,7.0,7.0,7.0,7.0,2015-10-22,SEA,@,SFO,"W, 20-3",,5,5,79,15.8,1,100.0,15.8,0,0,0,,1,20,0,20.0,5,11,0,2.2,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,40,55.6,0,0.0,11,44.0
7,8.0,8.0,8.0,8.0,2015-11-01,SEA,@,DAL,"W, 13-12",,4,3,36,12.0,0,75.0,9.0,0,0,0,,1,18,0,18.0,1,12,0,12.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,30,48.4,0,0.0,9,36.0
8,9.0,9.0,9.0,10.0,2015-11-15,SEA,,ARI,"L, 32-39",*,1,1,7,7.0,0,100.0,7.0,0,0,0,,5,104,0,20.8,1,0,0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,46,75.4,0,0.0,10,29.4
9,10.0,10.0,10.0,11.0,2015-11-22,SEA,,SFO,"W, 29-13",,5,4,48,12.0,2,80.0,9.6,1,5,0,5.0,0,0,0,,4,1,0,0.3,0.0,0,0,0,0,,0,0,0,0,0,0,0,54,69.2,0,0.0,11,37.9
10,11.0,11.0,11.0,12.0,2015-11-29,SEA,,PIT,"W, 39-30",*,3,3,38,12.7,0,100.0,12.7,0,0,0,,5,148,0,29.6,0,0,0,,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,48,77.4,0,0.0,9,29.0
11,12.0,12.0,12.0,13.0,2015-12-06,SEA,@,MIN,"W, 38-7",,7,7,90,12.9,0,100.0,12.9,1,7,0,7.0,1,47,0,47.0,3,19,0,6.3,0.0,0,0,0,0,,0,1,0,0,0,0,0,38,56.7,0,0.0,8,32.0
12,13.0,13.0,13.0,14.0,2015-12-13,SEA,@,BAL,"W, 35-6",*,7,6,104,17.3,2,85.7,14.9,0,0,0,,0,0,0,,1,0,0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,46,65.7,0,0.0,8,33.3
13,14.0,14.0,14.0,15.0,2015-12-20,SEA,,CLE,"W, 30-13",,7,5,55,11.0,1,71.4,7.9,0,0,0,,4,91,0,22.8,1,5,0,5.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,55,77.5,0,0.0,7,30.4
14,15.0,15.0,15.0,16.0,2015-12-27,SEA,,STL,"L, 17-23",*,7,3,33,11.0,0,42.9,4.7,0,0,0,,4,106,0,26.5,2,20,0,10.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,51,69.9,0,0.0,9,33.3
15,16.0,16.0,16.0,17.0,2016-01-03,SEA,@,ARI,"W, 36-6",*,4,2,36,18.0,0,50.0,9.0,2,7,0,3.5,0,0,0,,4,139,0,34.8,0.0,0,0,0,0,,0,0,0,0,0,0,0,39,54.2,0,0.0,7,25.0
16,,,,,,,,,10-6,,69,51,664,13.0,6,73.9,9.6,5,20,0,4.0,33,852,1,25.8,40,379,1,9.5,0.0,1,1,0,0,0.0,0,2,1,0,0,0,0,663,61.4,0,0.0,152,34.2
