,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,96.0,1.0,1.0,2021-09-12,SEA,@,IND,"W, 28-16",*,5,4,100,25.0,2,80.0,20.0,0,0,0,,0,0,0,,46,85.2,0,0.0,1,4.2
1,2.0,97.0,2.0,2.0,2021-09-19,SEA,,TEN,"L, 30-33 (OT)",*,11,8,178,22.3,1,72.7,16.2,0,0,0,,0,0,0,,50,92.6,0,0.0,0,0.0
2,3.0,98.0,3.0,3.0,2021-09-26,SEA,@,MIN,"L, 17-30",*,4,4,31,7.8,0,100.0,7.8,0,0,0,,0,0,0,,49,92.5,0,0.0,0,0.0
3,4.0,99.0,4.0,4.0,2021-10-03,SEA,@,SFO,"W, 28-21",*,5,4,24,6.0,0,80.0,4.8,0,0,0,,0,0,0,,48,85.7,0,0.0,1,3.2
4,5.0,100.0,5.0,5.0,2021-10-07,SEA,,LAR,"L, 17-26",*,10,5,57,11.4,0,50.0,5.7,0,0,0,,0,0,0,,56,86.2,0,0.0,0,0.0
5,6.0,101.0,6.0,6.0,2021-10-17,SEA,@,PIT,"L, 20-23 (OT)",*,7,2,35,17.5,0,28.6,5.0,0,0,0,,1,3,0,3.0,58,89.2,0,0.0,2,5.9
6,7.0,102.0,7.0,7.0,2021-10-25,SEA,,NOR,"L, 10-13",*,3,2,12,6.0,0,66.7,4.0,0,0,0,,0,0,0,,48,85.7,0,0.0,0,0.0
7,8.0,103.0,8.0,8.0,2021-10-31,SEA,,JAX,"W, 31-7",*,13,12,142,11.8,0,92.3,10.9,0,0,0,,0,0,0,,44,77.2,0,0.0,1,4.3
8,9.0,104.0,9.0,10.0,2021-11-14,SEA,@,GNB,"L, 0-17",*,8,2,23,11.5,0,25.0,2.9,0,0,0,,0,0,0,,58,95.1,0,0.0,0,0.0
9,10.0,105.0,10.0,11.0,2021-11-21,SEA,,ARI,"L, 13-23",*,5,4,115,28.8,0,80.0,23.0,0,0,0,,0,0,0,,45,91.8,0,0.0,0,0.0
10,11.0,106.0,11.0,12.0,2021-11-29,SEA,@,WAS,"L, 15-17",*,5,3,96,32.0,0,60.0,19.2,0,0,0,,0,0,0,,47,100.0,0,0.0,0,0.0
11,12.0,107.0,12.0,13.0,2021-12-05,SEA,,SFO,"W, 30-23",*,8,7,68,9.7,1,87.5,8.5,0,0,0,,0,0,0,,59,84.3,0,0.0,0,0.0
12,13.0,108.0,13.0,14.0,2021-12-12,SEA,@,HOU,"W, 33-13",*,9,5,142,28.4,1,55.6,15.8,0,0,0,,0,0,0,,46,75.4,0,0.0,0,0.0
13,13.0,,14.0,15.0,2021-12-21,SEA,@,LAR,"L, 10-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,14.0,109.0,15.0,16.0,2021-12-26,SEA,,CHI,"L, 24-25",*,6,3,30,10.0,0,50.0,5.0,0,0,0,,0,0,0,,48,85.7,0,0.0,0,0.0
15,15.0,110.0,16.0,17.0,2022-01-02,SEA,,DET,"W, 51-29",*,3,3,24,8.0,1,100.0,8.0,1,7,0,7.0,0,0,0,,60,83.3,0,0.0,1,3.1
16,16.0,111.0,17.0,18.0,2022-01-09,SEA,@,ARI,"W, 38-30",*,5,5,98,19.6,2,100.0,19.6,1,2,0,2.0,0,0,0,,51,87.9,0,0.0,1,3.1
17,,,,,,,,,7-9,,107,73,1175,16.1,8,68.2,11.0,2,9,0,4.5,1,3,0,3.0,813,87.0,0,0.0,7,1.6
