,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2015,23,SEA,NFL,WR,16,8,69,51,664,13.0,6,31,66.7,49,3.2,41.5,73.9,9.6,5,20,0,1,60.0,8.0,4.0,1.3,0.3,56,12.2,684,6,2,9,"PB,AP-1,AP ORoY-4"
1,2016,24,SEA,NFL,WR,15,9,66,41,597,14.6,1,23,50.0,57,2.7,39.8,62.1,9.0,6,114,1,4,83.3,75.0,19.0,7.6,0.4,47,15.1,711,2,0,6,AP-2
2,2017,25,SEA,NFL,WR,16,8,71,45,555,12.3,2,24,45.1,74,2.8,34.7,63.4,7.8,10,58,0,5,60.0,22.0,5.8,3.6,0.6,55,11.1,613,2,0,6,AP-2
3,2018,26,SEA,NFL,WR,16,14,70,57,965,16.9,10,37,65.7,52,3.6,60.3,81.4,13.8,13,69,0,3,46.2,18.0,5.3,4.3,0.8,70,14.8,1034,10,2,10,
4,2019,27,SEA,NFL,WR,16,16,110,82,1057,12.9,8,53,62.7,44,5.1,66.1,74.5,9.6,4,-5,0,0,0.0,3.0,-1.3,-0.3,0.3,86,12.2,1052,8,1,9,
5,2020,28,SEA,NFL,WR,16,16,132,100,1054,10.5,10,57,68.9,47,6.3,65.9,75.8,8.0,0,0,0,0,,,,0.0,0.0,100,10.5,1054,10,1,10,
6,2021,29,SEA,NFL,WR,16,16,107,73,1175,16.1,8,41,53.3,69,4.6,73.4,68.2,11.0,2,9,0,0,50.0,7.0,4.5,0.6,0.1,75,15.8,1184,8,0,11,
7,2022,30,SEA,NFL,WR,16,16,117,84,1033,12.3,9,50,60.7,40,5.3,64.6,71.8,8.8,0,0,0,0,,,,0.0,0.0,84,12.3,1033,9,2,9,
8,2023,31,SEA,NFL,WR,17,17,122,79,894,11.3,5,47,58.2,37,4.6,52.6,64.8,7.3,0,0,0,0,,,,0.0,0.0,79,11.3,894,5,0,8,
9,2024,32,SEA,NFL,WR,17,14,74,49,600,12.2,2,36,56.8,37,2.9,35.3,66.2,8.1,0,0,0,0,,,,0.0,0.0,49,12.2,600,2,0,5,
10,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,161,134,938,661,8594,13.0,61,399,59.5,74,4.1,53.4,70.5,9.2,40,265,1,13,52.5,75.0,6.6,1.6,0.2,701,12.6,8859,62,8,83,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,99,70,907,13.0,6,42,59.5,74,4.1,53.4,70.5,9.2,4,28,0,1,52.5,75.0,6.6,1.6,0.2,74,1.3,935,7,1,9,
