,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,80.0,1.0,1.0,2020-09-13,SEA,@,ATL,"W, 38-25",*,8,8,92,11.5,0,100.0,11.5,0,0,0,,0,0,0,0,0,0,58,93.5,0,0.0,0,0.0
1,2.0,81.0,2.0,2.0,2020-09-20,SEA,,NWE,"W, 35-30",*,8,7,67,9.6,1,87.5,8.4,0,0,0,,0,0,0,0,0,0,60,95.2,0,0.0,0,0.0
2,3.0,82.0,3.0,3.0,2020-09-27,SEA,,DAL,"W, 38-31",*,13,9,100,11.1,3,69.2,7.7,0,0,0,,0,0,0,0,0,0,74,97.4,0,0.0,0,0.0
3,4.0,83.0,4.0,4.0,2020-10-04,SEA,@,MIA,"W, 31-23",*,4,2,39,19.5,0,50.0,9.8,0,0,0,,0,0,0,0,0,0,56,88.9,0,0.0,0,0.0
4,5.0,84.0,5.0,5.0,2020-10-11,SEA,,MIN,"W, 27-26",*,5,4,44,11.0,0,80.0,8.8,0,0,0,,0,0,0,0,0,0,52,96.3,0,0.0,0,0.0
5,6.0,85.0,6.0,7.0,2020-10-25,SEA,@,ARI,"L, 34-37 (OT)",*,20,15,200,13.3,3,75.0,10.0,1,9,0,9.0,0,0,0,0,0,0,78,92.9,0,0.0,2,6.1
6,7.0,86.0,7.0,8.0,2020-11-01,SEA,,SFO,"W, 37-27",*,5,4,33,8.3,0,80.0,6.6,0,0,0,,0,0,0,0,0,0,59,86.8,0,0.0,0,0.0
7,8.0,87.0,8.0,9.0,2020-11-08,SEA,@,BUF,"L, 34-44",*,7,4,40,10.0,0,57.1,5.7,0,0,0,,0,0,0,0,0,0,62,95.4,0,0.0,0,0.0
8,9.0,88.0,9.0,10.0,2020-11-15,SEA,@,LAR,"L, 16-23",*,9,5,66,13.2,0,55.6,7.3,0,0,0,,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
9,10.0,89.0,10.0,11.0,2020-11-19,SEA,,ARI,"W, 28-21",*,9,9,67,7.4,1,100.0,7.4,0,0,0,,0,0,0,0,0,0,49,74.2,0,0.0,0,0.0
10,11.0,90.0,11.0,12.0,2020-11-30,SEA,@,PHI,"W, 23-17",*,4,3,23,7.7,0,75.0,5.8,0,0,0,,0,0,0,0,0,0,60,89.6,0,0.0,0,0.0
11,12.0,91.0,12.0,13.0,2020-12-06,SEA,,NYG,"L, 12-17",*,9,6,63,10.5,0,66.7,7.0,0,0,0,,1,0,0,0,0,0,62,86.1,0,0.0,0,0.0
12,13.0,92.0,13.0,14.0,2020-12-13,SEA,,NYJ,"W, 40-3",*,5,5,52,10.4,0,100.0,10.4,0,0,0,,0,0,0,0,0,0,47,64.4,0,0.0,0,0.0
13,14.0,93.0,14.0,15.0,2020-12-20,SEA,@,WAS,"W, 20-15",*,7,4,34,8.5,0,57.1,4.9,0,0,0,,0,0,0,0,0,0,52,91.2,0,0.0,0,0.0
14,15.0,94.0,15.0,16.0,2020-12-27,SEA,,LAR,"W, 20-9",*,5,3,44,14.7,0,60.0,8.8,0,0,0,,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
15,16.0,95.0,16.0,17.0,2021-01-03,SEA,@,SFO,"W, 26-23",*,14,12,90,7.5,2,85.7,6.4,0,0,0,,0,0,0,0,0,0,58,89.2,0,0.0,0,0.0
16,,,,,,,,,12-4,,132,100,1054,10.5,10,75.8,8.0,1,9,0,9.0,1,0,0,0,0,0,944,88.6,0,0.0,2,0.4
