,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2017-09-10,SEA,@,GNB,"L, 9-17",,3,1,8,8.0,0,33.3,2.7,0,0,0,,3,91,0,30.3,1,7,0,7.0,26,53.1,0,0.0,10,40.0
1,2.0,33.0,2.0,2.0,2017-09-17,SEA,,SFO,"W, 12-9",*,9,6,64,10.7,0,66.7,7.1,0,0,0,,2,46,0,23.0,3,0,0,0.0,61,74.4,0,0.0,11,39.3
2,3.0,34.0,3.0,3.0,2017-09-24,SEA,@,TEN,"L, 27-33",*,3,2,30,15.0,0,66.7,10.0,0,0,0,,0,0,0,,3,32,0,10.7,66,90.4,0,0.0,13,36.1
3,4.0,35.0,4.0,4.0,2017-10-01,SEA,,IND,"W, 46-18",*,5,4,67,16.8,0,80.0,13.4,2,24,0,12.0,1,16,0,16.0,0,0,0,,50,73.5,0,0.0,10,33.3
4,5.0,36.0,5.0,5.0,2017-10-08,SEA,@,LAR,"W, 16-10",*,4,3,26,8.7,0,75.0,6.5,1,7,0,7.0,0,0,0,,1,10,0,10.0,38,55.9,0,0.0,6,26.1
5,6.0,37.0,6.0,7.0,2017-10-22,SEA,@,NYG,"W, 24-7",,7,4,29,7.3,0,57.1,4.1,3,15,0,5.0,2,45,0,22.5,4,35,0,8.8,40,52.6,0,0.0,10,38.5
6,7.0,38.0,7.0,8.0,2017-10-29,SEA,,HOU,"W, 41-38",,8,6,121,20.2,0,75.0,15.1,1,-2,0,-2.0,2,32,0,16.0,3,10,0,3.3,39,56.5,0,0.0,12,31.6
7,8.0,39.0,8.0,9.0,2017-11-05,SEA,,WAS,"L, 14-17",,8,2,10,5.0,0,25.0,1.3,0,0,0,,2,33,0,16.5,5,45,0,9.0,55,66.3,0,0.0,12,42.9
8,9.0,40.0,9.0,10.0,2017-11-09,SEA,@,ARI,"W, 22-16",*,2,1,16,16.0,0,50.0,8.0,0,0,0,,3,57,0,19.0,2,18,0,9.0,44,69.8,0,0.0,10,33.3
9,10.0,41.0,10.0,11.0,2017-11-20,SEA,,ATL,"L, 31-34",*,5,4,37,9.3,0,80.0,7.4,0,0,0,,5,197,0,39.4,1,0,0,0.0,47,63.5,0,0.0,10,32.3
10,11.0,42.0,11.0,12.0,2017-11-26,SEA,@,SFO,"W, 24-13",,1,0,0,,0,0.0,0.0,1,2,0,2.0,1,26,0,26.0,2,7,0,3.5,46,67.6,0,0.0,12,38.7
11,12.0,43.0,12.0,13.0,2017-12-03,SEA,,PHI,"W, 24-10",*,2,2,17,8.5,1,100.0,8.5,0,0,0,,2,47,0,23.5,1,2,0,2.0,29,46.8,0,0.0,6,27.3
12,13.0,44.0,13.0,14.0,2017-12-10,SEA,@,JAX,"L, 24-30",,5,4,90,22.5,1,80.0,18.0,1,10,0,10.0,4,85,0,21.3,3,5,0,1.7,39,62.9,0,0.0,12,37.5
13,14.0,45.0,14.0,15.0,2017-12-17,SEA,,LAR,"L, 7-42",,3,2,8,4.0,0,66.7,2.7,0,0,0,,6,118,0,19.7,2,18,0,9.0,40,72.7,0,0.0,13,39.4
14,15.0,46.0,15.0,16.0,2017-12-24,SEA,@,DAL,"W, 21-12",*,2,1,7,7.0,0,50.0,3.5,1,2,0,2.0,0,0,0,,1,9,0,9.0,35,61.4,0,0.0,7,25.9
15,16.0,47.0,16.0,17.0,2017-12-31,SEA,,ARI,"L, 24-26",,4,3,25,8.3,0,75.0,6.3,0,0,0,,4,156,1,39.0,4,39,0,9.8,36,62.1,0,0.0,13,35.1
16,,,,,,,,,9-7,,71,45,555,12.3,2,63.4,7.8,10,58,0,5.8,37,949,1,25.6,36,237,0,6.6,691,64.8,0,0.0,167,35.0
