,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,35.0,1.0,1.0,2019-09-08,SFO,@,TAM,"W, 31-17",,9,40,0,4.4,1,1,0,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,29.9,0,0.0,12,50.0
1,2.0,36.0,2.0,2.0,2019-09-15,SFO,@,CIN,"W, 41-17",,13,83,0,6.4,4,3,68,22.7,1,75.0,17.0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,32,45.7,0,0.0,4,12.9
2,3.0,37.0,3.0,3.0,2019-09-22,SFO,,PIT,"W, 24-20",,12,79,0,6.6,1,0,0,,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,24,30.4,0,0.0,11,40.7
3,4.0,38.0,4.0,5.0,2019-10-07,SFO,,CLE,"W, 31-3",,7,34,0,4.9,0,0,0,,0,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,24,32.0,0,0.0,17,58.6
4,5.0,39.0,5.0,6.0,2019-10-13,SFO,@,LAR,"W, 20-7",,4,13,0,3.3,0,0,0,,0,,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,9.1,0,0.0,18,78.3
5,6.0,40.0,6.0,7.0,2019-10-20,SFO,@,WAS,"W, 9-0",,0,0,0,,0,0,0,,0,,,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,68.8
6,7.0,41.0,7.0,8.0,2019-10-27,SFO,,CAR,"W, 51-13",,9,60,1,6.7,0,0,0,,0,,,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,14,21.5,0,0.0,19,59.4
7,8.0,42.0,8.0,9.0,2019-10-31,SFO,@,ARI,"W, 28-25",,1,-2,0,-2.0,0,0,0,,0,,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,2,2.9,0,0.0,18,69.2
8,9.0,43.0,9.0,10.0,2019-11-11,SFO,,SEA,"L, 24-27 (OT)",,6,28,0,4.7,1,1,7,7.0,0,100.0,7.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,21.7,0,0.0,21,60.0
9,10.0,44.0,10.0,11.0,2019-11-17,SFO,,ARI,"W, 36-26",,6,13,0,2.2,3,2,14,7.0,0,66.7,4.7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,47.9,0,0.0,6,23.1
10,11.0,45.0,11.0,12.0,2019-11-24,SFO,,GNB,"W, 37-8",,6,45,1,7.5,3,1,22,22.0,0,33.3,7.3,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,14,29.2,0,0.0,11,42.3
11,12.0,46.0,12.0,13.0,2019-12-01,SFO,@,BAL,"L, 17-20",,19,146,1,7.7,2,2,8,4.0,0,100.0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,73.7,0,0.0,6,30.0
12,13.0,47.0,13.0,14.0,2019-12-08,SFO,@,NOR,"W, 48-46",,10,69,1,6.9,2,2,40,20.0,1,100.0,20.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,59.4,0,0.0,16,43.2
13,14.0,48.0,14.0,15.0,2019-12-15,SFO,,ATL,"L, 22-29",,14,54,1,3.9,2,1,5,5.0,0,50.0,2.5,0,-19,0,0.0,2,2,0,0,0,0,1,1,0,0,0,0,34,53.1,0,0.0,12,40.0
14,15.0,49.0,15.0,16.0,2019-12-21,SFO,,LAR,"W, 34-31",,11,53,1,4.8,1,0,0,,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,54.4,0,0.0,10,28.6
15,16.0,50.0,16.0,17.0,2019-12-29,SFO,@,SEA,"W, 26-21",,10,57,2,5.7,2,1,16,16.0,0,50.0,8.0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,27,54.0,0,0.0,9,40.9
16,,,,,,,,,13-3,,137,772,8,5.6,22,14,180,12.9,2,63.6,8.2,0,-19,0,0.0,11,8,3,0,0,0,2,2,0,2,0,0,362,34.1,0,0.0,201,45.8
