,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2022-09-11,LAC,,LVR,"W, 24-19",*,26,34,76.5,279,3,0,8.2,9.97,129.4,0,0,4,1,0,0.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
1,2.0,34.0,2.0,2.0,2022-09-15,LAC,@,KAN,"L, 24-27",*,33,48,68.8,334,3,1,7.0,7.27,100.5,2,8,2,1,0,0.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0
2,3.0,35.0,3.0,3.0,2022-09-25,LAC,,JAX,"L, 10-38",*,25,45,55.6,297,1,1,6.6,6.04,74.0,1,11,1,7,0,7.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,61,100.0,0,0.0,0,0.0
3,4.0,36.0,4.0,4.0,2022-10-02,LAC,@,HOU,"W, 34-24",*,27,39,69.2,340,2,0,8.7,9.74,113.2,1,2,4,-5,0,-1.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
4,5.0,37.0,5.0,5.0,2022-10-09,LAC,@,CLE,"W, 30-28",*,22,34,64.7,228,1,0,6.7,7.29,93.7,1,1,5,13,0,2.6,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
5,6.0,38.0,6.0,6.0,2022-10-17,LAC,,DEN,"W, 19-16 (OT)",*,37,57,64.9,238,0,1,4.2,3.39,66.3,2,14,2,9,0,4.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,93,100.0,0,0.0,0,0.0
6,7.0,39.0,7.0,7.0,2022-10-23,LAC,,SEA,"L, 23-37",*,33,51,64.7,293,2,1,5.7,5.65,84.8,3,17,3,22,0,7.3,1,1,-8,-8.0,0,100.0,-8.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,71,100.0,0,0.0,0,0.0
7,8.0,40.0,8.0,9.0,2022-11-06,LAC,@,ATL,"W, 20-17",*,30,43,69.8,245,1,1,5.7,5.12,82.0,0,0,1,3,0,3.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
8,9.0,41.0,9.0,10.0,2022-11-13,LAC,@,SFO,"L, 16-22",*,21,35,60.0,196,1,1,5.6,4.89,73.0,2,8,5,22,0,4.4,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,55,94.8,0,0.0,0,0.0
9,10.0,42.0,10.0,11.0,2022-11-20,LAC,,KAN,"L, 27-30",*,23,30,76.7,280,2,1,9.3,9.17,113.2,5,30,5,17,0,3.4,1,1,-2,-2.0,0,100.0,-2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
10,11.0,43.0,11.0,12.0,2022-11-27,LAC,@,ARI,"W, 25-24",*,35,47,74.5,274,3,0,5.8,7.11,109.7,4,28,4,38,0,9.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
11,12.0,44.0,12.0,13.0,2022-12-04,LAC,@,LVR,"L, 20-27",*,28,47,59.6,335,1,0,7.1,7.55,88.5,5,21,5,7,0,1.4,0,0,0,,0,,,0.0,0,0,0,0,0,0,2,0,0,2,0,0,75,100.0,0,0.0,0,0.0
12,13.0,45.0,13.0,14.0,2022-12-11,LAC,,MIA,"W, 23-17",*,39,51,76.5,367,1,0,7.2,7.59,102.3,4,17,4,8,0,2.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,80,100.0,0,0.0,0,0.0
13,14.0,46.0,14.0,15.0,2022-12-18,LAC,,TEN,"W, 17-14",*,28,42,66.7,313,0,2,7.5,5.31,68.8,3,22,1,2,0,2.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
14,15.0,47.0,15.0,16.0,2022-12-26,LAC,@,IND,"W, 20-3",*,24,31,77.4,235,0,1,7.6,6.13,84.7,4,22,5,1,0,0.2,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,68,100.0,0,0.0,0,0.0
15,16.0,48.0,16.0,17.0,2023-01-01,LAC,,LAR,"W, 31-10",*,21,28,75.0,212,2,0,7.6,9.0,119.9,0,0,1,2,0,2.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,79.7,0,0.0,0,0.0
16,17.0,49.0,17.0,18.0,2023-01-08,LAC,@,DEN,"L, 28-31",*,25,37,67.6,273,2,0,7.4,8.46,107.2,1,5,2,-1,0,-0.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,55,80.9,0,0.0,0,0.0
17,,,,,,,,,10-7,,477,699,68.2,4739,25,10,6.8,6.85,93.2,38,206,54,147,0,2.7,2,2,-10,-5.0,0,100.0,-5.0,0.0,1,1,0,0,0,0,8,3,0,4,0,0,1162,97.5,0,0.0,0,0.0
