,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2021-09-12,LAC,@,WAS,"W, 20-16",*,31,47,66.0,337,1,1,7.2,6.64,85.2,2,3,4,-1,0,-0.3,0.0,0,0,0,0,0,0,1,1,0,0,0,0,81,100.0,0,0.0,0,0.0
1,2.0,17.0,2.0,2.0,2021-09-19,LAC,,DAL,"L, 17-20",*,31,41,75.6,338,1,2,8.2,6.54,87.2,2,25,4,12,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
2,3.0,18.0,3.0,3.0,2021-09-26,LAC,@,KAN,"W, 30-24",*,26,38,68.4,281,4,0,7.4,9.5,125.0,1,6,4,16,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
3,4.0,19.0,4.0,4.0,2021-10-04,LAC,,LVR,"W, 28-14",*,25,38,65.8,222,3,0,5.8,7.42,107.6,2,10,3,4,0,1.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
4,5.0,20.0,5.0,5.0,2021-10-10,LAC,,CLE,"W, 47-42",*,26,43,60.5,398,4,0,9.3,11.12,122.0,2,17,4,29,1,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
5,6.0,21.0,6.0,6.0,2021-10-17,LAC,@,BAL,"L, 6-34",*,22,39,56.4,195,1,1,5.0,4.36,67.8,2,13,2,12,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,100.0,0,0.0,0,0.0
6,7.0,22.0,7.0,8.0,2021-10-31,LAC,,NWE,"L, 24-27",*,18,35,51.4,223,2,2,6.4,4.94,66.7,3,17,2,9,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
7,8.0,23.0,8.0,9.0,2021-11-07,LAC,@,PHI,"W, 27-24",*,32,38,84.2,356,2,0,9.4,10.42,123.2,0,0,5,14,1,2.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
8,9.0,24.0,9.0,10.0,2021-11-14,LAC,,MIN,"L, 20-27",*,20,34,58.8,195,1,1,5.7,5.0,72.5,2,24,2,22,0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
9,10.0,25.0,10.0,11.0,2021-11-21,LAC,,PIT,"W, 41-37",*,30,41,73.2,382,3,1,9.3,9.68,116.1,2,8,9,90,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
10,11.0,26.0,11.0,12.0,2021-11-28,LAC,@,DEN,"L, 13-28",*,28,44,63.6,303,2,2,6.9,5.75,80.0,3,18,4,36,0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
11,12.0,27.0,12.0,13.0,2021-12-05,LAC,@,CIN,"W, 41-22",*,26,35,74.3,317,3,1,9.1,9.49,118.4,4,33,1,6,0,6.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
12,13.0,28.0,13.0,14.0,2021-12-12,LAC,,NYG,"W, 37-21",*,23,31,74.2,275,3,0,8.9,10.81,133.1,2,4,4,19,0,4.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,93.0,0,0.0,0,0.0
13,14.0,29.0,14.0,15.0,2021-12-16,LAC,,KAN,"L, 28-34 (OT)",*,22,38,57.9,236,2,1,6.2,6.08,82.8,0,0,5,16,1,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0
14,15.0,30.0,15.0,16.0,2021-12-26,LAC,@,HOU,"L, 29-41",*,27,35,77.1,336,1,2,9.6,7.6,92.1,1,8,4,15,0,3.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
15,16.0,31.0,16.0,17.0,2022-01-02,LAC,,DEN,"W, 34-13",*,22,31,71.0,237,2,0,7.6,8.94,114.6,0,0,4,2,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
16,17.0,32.0,17.0,18.0,2022-01-09,LAC,@,LVR,"L, 32-35 (OT)",*,34,64,53.1,383,3,1,6.0,6.22,80.4,3,28,2,1,0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,93,100.0,0,0.0,0,0.0
17,,,,,,,,,9-8,,443,672,65.9,5014,38,15,7.5,7.59,97.7,31,214,63,302,3,4.8,0.0,1,1,0,0,0,0,1,1,0,0,0,0,1191,99.6,0,0.0,0,0.0
