,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD
0,1.0,1.0,1.0,1.0,2008-09-07,BAL,,CIN,"W, 17-10",*,15,29,51.7,129,0,0,4.4,4.45,63.7,0,0,4,37,1,9.3,0,0,0,,0,,,0,0,0,0,0,0
1,2.0,2.0,2.0,3.0,2008-09-21,BAL,,CLE,"W, 28-10",*,13,19,68.4,129,0,2,6.8,2.05,47.8,1,7,6,-2,0,-0.3,0,0,0,,0,,,1,0,0,0,0,0
2,3.0,3.0,3.0,4.0,2008-09-29,BAL,@,PIT,"L, 20-23 (OT)",*,16,31,51.6,192,1,0,6.2,6.84,81.7,5,52,2,-1,0,-0.5,0,0,0,,0,,,2,1,0,1,0,0
3,4.0,4.0,4.0,5.0,2008-10-05,BAL,,TEN,"L, 10-13",*,18,27,66.7,153,0,2,5.7,2.33,50.4,0,0,2,4,0,2.0,0,0,0,,0,,,0,0,0,0,0,0
4,5.0,5.0,5.0,6.0,2008-10-12,BAL,@,IND,"L, 3-31",*,28,38,73.7,241,0,3,6.3,2.79,57.0,4,32,3,12,0,4.0,0,0,0,,0,,,2,0,0,0,-4,0
5,6.0,6.0,6.0,7.0,2008-10-19,BAL,@,MIA,"W, 27-13",*,17,23,73.9,232,1,0,10.1,10.96,120.2,2,14,3,2,0,0.7,0,0,0,,0,,,1,0,0,1,0,0
6,7.0,7.0,7.0,8.0,2008-10-26,BAL,,OAK,"W, 29-10",*,12,24,50.0,140,1,0,5.8,6.67,81.9,0,0,4,23,1,5.8,1,1,43,43.0,0,100.0,43.0,0,0,0,0,0,0
7,8.0,8.0,8.0,9.0,2008-11-02,BAL,@,CLE,"W, 37-27",*,17,29,58.6,248,2,0,8.6,9.93,109.6,2,12,4,2,0,0.5,0,0,0,,0,,,0,0,0,0,0,0
8,9.0,9.0,9.0,10.0,2008-11-09,BAL,@,HOU,"W, 41-13",*,15,23,65.2,185,2,0,8.0,9.78,118.9,3,28,1,8,0,8.0,0,0,0,,0,,,0,0,0,1,0,0
9,10.0,10.0,10.0,11.0,2008-11-16,BAL,@,NYG,"L, 10-30",*,20,33,60.6,164,1,2,5.0,2.85,58.1,1,10,6,57,0,9.5,0,0,0,,0,,,0,0,0,0,0,0
10,11.0,11.0,11.0,12.0,2008-11-23,BAL,,PHI,"W, 36-7",*,12,26,46.2,183,2,0,7.0,8.58,95.5,3,45,5,3,0,0.6,0,0,0,,0,,,1,0,0,0,0,0
11,12.0,12.0,12.0,13.0,2008-11-30,BAL,@,CIN,"W, 34-3",*,19,29,65.5,280,2,0,9.7,11.03,119.9,2,8,3,15,0,5.0,0,0,0,,0,,,1,0,0,0,-6,0
12,13.0,13.0,13.0,14.0,2008-12-07,BAL,,WAS,"W, 24-10",*,10,21,47.6,134,1,1,6.4,5.19,64.4,0,0,4,11,0,2.8,0,0,0,,0,,,1,0,0,0,-8,0
13,14.0,14.0,14.0,15.0,2008-12-14,BAL,,PIT,"L, 9-13",*,11,28,39.3,115,0,2,4.1,0.89,22.2,2,25,1,5,0,5.0,0,0,0,,0,,,1,0,0,0,0,0
14,15.0,15.0,15.0,16.0,2008-12-20,BAL,@,DAL,"W, 33-24",*,17,25,68.0,149,1,0,6.0,6.76,96.9,5,26,4,4,0,1.0,0,0,0,,0,,,1,1,0,0,0,0
15,16.0,16.0,16.0,17.0,2008-12-28,BAL,,JAX,"W, 27-7",*,17,23,73.9,297,0,0,12.9,12.91,115.8,2,17,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0
16,,,,,,,,,11-5,,257,428,60.0,2971,14,12,6.9,6.33,80.3,32,276,52,180,2,3.5,1,1,43,43.0,0,100.0,43.0,11,2,0,3,-18,0
