,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD
0,1.0,49.0,1.0,1.0,2011-09-11,BAL,,PIT,"W, 35-7",*,17,29,58.6,224,3,0,7.7,9.79,117.6,1,9,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0
1,2.0,50.0,2.0,2.0,2011-09-18,BAL,@,TEN,"L, 13-26",*,15,32,46.9,197,1,2,6.2,3.97,51.2,3,13,0,0,0,,0,0,0,,0,,,1,0,0,1,0,0
2,3.0,51.0,3.0,3.0,2011-09-25,BAL,@,STL,"W, 37-7",*,27,48,56.3,389,3,0,8.1,9.35,103.6,2,4,8,27,0,3.4,0,0,0,,0,,,2,1,0,1,0,0
3,4.0,52.0,4.0,4.0,2011-10-02,BAL,,NYJ,"W, 34-17",*,10,31,32.3,163,0,1,5.3,3.81,37.4,2,8,3,-3,0,-1.0,0,0,0,,0,,,1,1,0,0,0,0
4,5.0,53.0,5.0,6.0,2011-10-16,BAL,,HOU,"W, 29-14",*,20,33,60.6,305,0,1,9.2,7.88,78.5,2,16,3,-1,1,-0.3,0,0,0,,0,,,1,1,0,0,0,0
5,6.0,54.0,6.0,7.0,2011-10-24,BAL,@,JAX,"L, 7-12",*,21,38,55.3,137,1,1,3.6,2.95,61.0,3,25,0,0,0,,1,1,-8,-8.0,0,100.0,-8.0,1,0,0,1,0,0
6,7.0,55.0,7.0,8.0,2011-10-30,BAL,,ARI,"W, 30-27",*,31,51,60.8,336,0,1,6.6,5.71,72.0,3,38,4,15,0,3.8,0,0,0,,0,,,2,1,0,0,0,0
7,8.0,56.0,8.0,9.0,2011-11-06,BAL,@,PIT,"W, 23-20",*,28,47,59.6,300,1,0,6.4,6.81,85.4,3,11,0,0,0,,0,0,0,,0,,,1,1,0,0,0,0
8,9.0,57.0,9.0,10.0,2011-11-13,BAL,@,SEA,"L, 17-22",*,29,52,55.8,255,1,1,4.9,4.42,67.4,1,8,2,8,0,4.0,0,0,0,,0,,,0,0,0,0,0,0
9,10.0,58.0,10.0,11.0,2011-11-20,BAL,,CIN,"W, 31-24",*,17,27,63.0,270,2,1,10.0,9.81,105.5,1,2,3,-2,0,-0.7,0,0,0,,0,,,1,0,0,1,-7,0
10,11.0,59.0,11.0,12.0,2011-11-24,BAL,,SFO,"W, 16-6",*,15,23,65.2,161,1,0,7.0,7.87,100.1,0,0,6,2,0,0.3,0,0,0,,0,,,0,0,0,0,0,0
11,12.0,60.0,12.0,13.0,2011-12-04,BAL,@,CLE,"W, 24-10",*,10,23,43.5,158,0,0,6.9,6.87,66.9,1,0,4,-1,0,-0.3,0,0,0,,0,,,1,1,0,0,0,0
12,13.0,61.0,13.0,14.0,2011-12-11,BAL,,IND,"W, 24-10",*,23,31,74.2,227,2,1,7.3,7.16,102.5,2,15,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0
13,14.0,62.0,14.0,15.0,2011-12-18,BAL,@,SDG,"L, 14-34",*,23,34,67.6,226,2,2,6.6,5.18,81.3,5,40,1,12,0,12.0,0,0,0,,0,,,0,0,0,0,0,0
14,15.0,63.0,15.0,16.0,2011-12-24,BAL,,CLE,"W, 20-14",*,11,24,45.8,132,2,1,5.5,5.29,73.6,1,10,4,30,0,7.5,0,0,0,,0,,,0,0,0,0,0,0
15,16.0,64.0,16.0,17.0,2012-01-01,BAL,@,CIN,"W, 24-16",*,15,19,78.9,130,1,0,6.8,7.89,112.7,1,4,1,1,0,1.0,0,0,0,,0,,,0,0,0,0,0,0
16,,,,,,,,,12-4,,312,542,57.6,3610,20,12,6.7,6.4,80.9,31,203,39,88,1,2.3,1,1,-8,-8.0,0,100.0,-8.0,11,6,0,4,-7,0
