,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,33.0,1.0,1.0,2010-09-13,BAL,@,NYJ,"W, 10-9",*,20,38,52.6,248,0,1,6.5,5.34,62.2,2,15,4,2,0,0.5,1,1,0,0,0,0
1,2.0,34.0,2.0,2.0,2010-09-19,BAL,@,CIN,"L, 10-15",*,17,39,43.6,154,1,4,3.9,-0.15,23.8,1,4,3,9,0,3.0,0,0,0,0,0,0
2,3.0,35.0,3.0,3.0,2010-09-26,BAL,,CLE,"W, 24-17",*,22,31,71.0,262,3,0,8.5,10.39,128.7,0,0,4,-4,0,-1.0,0,0,0,0,0,0
3,4.0,36.0,4.0,4.0,2010-10-03,BAL,@,PIT,"W, 17-14",*,24,37,64.9,256,1,1,6.9,6.24,82.7,1,6,2,1,0,0.5,1,0,0,0,0,0
4,5.0,37.0,5.0,5.0,2010-10-10,BAL,,DEN,"W, 31-17",*,14,25,56.0,196,0,0,7.8,7.84,81.4,1,14,5,20,1,4.0,0,0,0,0,0,0
5,6.0,38.0,6.0,6.0,2010-10-17,BAL,@,NWE,"L, 20-23 (OT)",*,27,35,77.1,285,2,0,8.1,9.29,119.3,3,7,2,5,0,2.5,1,0,0,1,0,0
6,7.0,39.0,7.0,7.0,2010-10-24,BAL,,BUF,"W, 37-34 (OT)",*,16,31,51.6,250,3,0,8.1,10.0,111.0,2,21,2,-1,0,-0.5,1,1,0,0,-5,0
7,8.0,40.0,8.0,9.0,2010-11-07,BAL,,MIA,"W, 26-10",*,20,27,74.1,266,2,0,9.9,11.33,129.6,4,23,4,7,0,1.8,0,0,0,0,0,0
8,9.0,41.0,9.0,10.0,2010-11-11,BAL,@,ATL,"L, 21-26",*,22,34,64.7,215,3,1,6.3,6.76,99.5,2,11,3,13,0,4.3,0,0,0,0,0,0
9,10.0,42.0,10.0,11.0,2010-11-21,BAL,@,CAR,"W, 37-13",*,24,33,72.7,301,1,0,9.1,9.73,110.8,3,23,1,0,0,0.0,2,1,0,0,-3,0
10,11.0,43.0,11.0,12.0,2010-11-28,BAL,,TAM,"W, 17-10",*,25,35,71.4,289,2,1,8.3,8.11,103.2,4,32,3,-2,0,-0.7,0,0,0,0,0,0
11,12.0,44.0,12.0,13.0,2010-12-05,BAL,,PIT,"L, 10-13",*,17,33,51.5,266,1,0,8.1,8.67,88.7,4,40,3,15,0,5.0,1,1,0,0,0,0
12,13.0,45.0,13.0,14.0,2010-12-13,BAL,@,HOU,"W, 34-28 (OT)",*,22,33,66.7,235,2,0,7.1,8.33,107.5,5,45,0,0,0,,1,0,0,0,0,0
13,14.0,46.0,14.0,15.0,2010-12-19,BAL,,NOR,"W, 30-24",*,10,20,50.0,172,2,0,8.6,10.6,112.9,3,24,1,2,0,2.0,0,0,0,0,0,0
14,15.0,47.0,15.0,16.0,2010-12-26,BAL,@,CLE,"W, 20-10",*,12,19,63.2,102,2,1,5.4,5.11,90.2,1,5,3,16,0,5.3,1,0,0,0,0,0
15,16.0,48.0,16.0,17.0,2011-01-02,BAL,,CIN,"W, 13-7",*,14,19,73.7,125,0,1,6.6,4.21,69.0,4,24,3,1,0,0.3,0,0,0,0,0,0
16,,,,,,,,,12-4,,306,489,62.6,3622,25,10,7.4,7.51,93.6,40,294,43,84,1,2.0,9,4,0,1,-8,0
