,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,17.0,1.0,1.0,2009-09-13,BAL,,KAN,"W, 38-24",*,26,43,60.5,307,3,1,7.1,7.49,95.8,1,4,5,18,0,3.6,1,0,0,1,0,0
1,2.0,18.0,2.0,2.0,2009-09-20,BAL,@,SDG,"W, 31-26",*,17,26,65.4,190,2,1,7.3,7.12,96.6,1,9,5,3,0,0.6,1,0,0,1,0,0
2,3.0,19.0,3.0,3.0,2009-09-27,BAL,,CLE,"W, 34-3",*,25,35,71.4,342,1,0,9.8,10.34,111.8,1,9,2,5,0,2.5,0,0,0,0,0,0
3,4.0,20.0,4.0,4.0,2009-10-04,BAL,@,NWE,"L, 21-27",*,27,47,57.4,264,2,1,5.6,5.51,78.7,2,17,1,2,0,2.0,0,0,0,0,0,0
4,5.0,21.0,5.0,5.0,2009-10-11,BAL,,CIN,"L, 14-17",*,22,31,71.0,186,1,2,6.0,3.74,70.1,2,11,1,9,0,9.0,0,0,0,0,0,0
5,6.0,22.0,6.0,6.0,2009-10-18,BAL,@,MIN,"L, 31-33",*,28,43,65.1,385,2,0,9.0,9.88,109.2,3,18,0,0,0,,1,0,0,1,0,0
6,7.0,23.0,7.0,8.0,2009-11-01,BAL,,DEN,"W, 30-7",*,20,25,80.0,175,1,0,7.0,7.8,109.2,2,8,5,5,0,1.0,0,0,0,0,0,0
7,8.0,24.0,8.0,9.0,2009-11-08,BAL,@,CIN,"L, 7-17",*,18,32,56.3,195,0,2,6.1,3.28,48.3,4,35,2,3,0,1.5,0,0,0,0,0,0
8,9.0,25.0,9.0,10.0,2009-11-16,BAL,@,CLE,"W, 16-0",*,13,18,72.2,155,0,0,8.6,8.61,98.1,2,9,1,-6,0,-6.0,0,0,0,0,0,0
9,10.0,26.0,10.0,11.0,2009-11-22,BAL,,IND,"L, 15-17",*,23,35,65.7,256,0,1,7.3,6.03,75.4,0,0,2,-2,0,-1.0,0,0,0,0,0,0
10,11.0,27.0,11.0,12.0,2009-11-29,BAL,,PIT,"W, 20-17 (OT)",*,23,35,65.7,289,1,0,8.3,8.83,100.8,5,28,1,-2,0,-2.0,2,1,0,0,0,0
11,12.0,28.0,12.0,13.0,2009-12-07,BAL,@,GNB,"L, 14-27",*,15,36,41.7,137,1,3,3.8,0.61,27.2,3,18,3,16,0,5.3,1,0,0,0,0,0
12,13.0,29.0,13.0,14.0,2009-12-13,BAL,,DET,"W, 48-3",*,13,20,65.0,230,1,0,11.5,12.5,120.8,0,0,1,2,0,2.0,0,0,0,0,0,0
13,14.0,30.0,14.0,15.0,2009-12-20,BAL,,CHI,"W, 31-7",*,21,29,72.4,234,4,0,8.1,10.83,135.6,2,22,2,5,0,2.5,1,0,0,0,0,0
14,15.0,31.0,15.0,16.0,2009-12-27,BAL,@,PIT,"L, 20-23",*,13,25,52.0,166,2,1,6.6,6.44,83.1,4,18,0,0,0,,1,1,0,0,0,0
15,16.0,32.0,16.0,17.0,2010-01-03,BAL,@,OAK,"W, 21-13",*,11,19,57.9,102,0,0,5.4,5.37,72.7,4,12,4,-2,0,-0.5,0,0,0,0,0,0
16,,,,,,,,,9-7,,315,499,63.1,3613,21,12,7.2,7.0,88.9,36,218,35,56,0,1.6,8,2,0,3,0,0
