,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,10.0,1.0,1.0,2024-09-08,JAX,@,MIA,"L, 17-20",,1,1,3,3.0,0,100.0,3.0,2,44,0,22.0,0,0,0,,1,0,0,1,0,0,7,13.2,0,0.0,4,16.0
1,2.0,11.0,2.0,2.0,2024-09-15,JAX,,CLE,"L, 13-18",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,13,21.7,0,0.0,3,11.1
2,3.0,12.0,3.0,3.0,2024-09-23,JAX,@,BUF,"L, 10-47",,3,2,18,9.0,0,66.7,6.0,0,0,0,,0,0,0,,0,0,0,0,0,0,22,31.0,0,0.0,0,0.0
3,4.0,13.0,4.0,4.0,2024-09-29,JAX,@,HOU,"L, 20-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,14,24.1,0,0.0,0,0.0
4,5.0,14.0,5.0,5.0,2024-10-06,JAX,,IND,"W, 37-34",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,8,13.8,0,0.0,0,0.0
5,6.0,15.0,6.0,6.0,2024-10-13,JAX,@,CHI,"L, 16-35",,0,0,0,,0,,,0,0,0,,2,27,0,13.5,0,0,0,0,0,0,18,29.0,0,0.0,2,8.3
6,7.0,16.0,7.0,7.0,2024-10-20,JAX,,NWE,"W, 32-16",,0,0,0,,0,,,1,27,0,27.0,1,96,1,96.0,0,0,0,0,0,0,21,34.4,0,0.0,8,36.4
7,8.0,17.0,8.0,8.0,2024-10-27,JAX,,GNB,"L, 27-30",,4,3,46,15.3,0,75.0,11.5,2,51,0,25.5,2,17,0,8.5,0,0,0,0,0,0,42,73.7,0,0.0,11,33.3
8,9.0,18.0,9.0,9.0,2024-11-03,JAX,@,PHI,"L, 23-28",*,6,3,41,13.7,0,50.0,6.8,0,0,0,,1,4,0,4.0,0,0,0,0,0,0,46,85.2,0,0.0,2,8.7
9,10.0,19.0,10.0,10.0,2024-11-10,JAX,,MIN,"L, 7-12",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,23,52.3,0,0.0,0,0.0
10,11.0,20.0,11.0,11.0,2024-11-17,JAX,@,DET,"L, 6-52",,3,1,10,10.0,0,33.3,3.3,0,0,0,,0,0,0,,0,0,0,0,0,0,28,58.3,0,0.0,0,0.0
11,12.0,21.0,12.0,13.0,2024-12-01,JAX,,HOU,"L, 20-23",*,12,6,103,17.2,1,50.0,8.6,0,0,0,,0,0,0,,0,0,0,0,0,0,56,80.0,0,0.0,0,0.0
12,13.0,22.0,13.0,14.0,2024-12-08,JAX,@,TEN,"W, 10-6",*,2,2,15,7.5,0,100.0,7.5,0,0,0,,0,0,0,,0,0,0,0,0,0,44,74.6,0,0.0,0,0.0
13,14.0,23.0,14.0,15.0,2024-12-15,JAX,,NYJ,"L, 25-32",*,6,3,54,18.0,0,50.0,9.0,0,0,0,,0,0,0,,0,0,0,0,0,0,72,85.7,0,0.0,0,0.0
14,15.0,24.0,15.0,16.0,2024-12-22,JAX,@,LVR,"L, 14-19",*,6,6,54,9.0,0,100.0,9.0,0,0,0,,0,0,0,,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0
15,16.0,25.0,16.0,17.0,2024-12-29,JAX,,TEN,"W, 20-13",*,3,3,31,10.3,1,100.0,10.3,0,0,0,,0,0,0,,0,0,0,0,0,0,48,82.8,0,0.0,0,0.0
16,17.0,26.0,17.0,18.0,2025-01-05,JAX,@,IND,"L, 23-26 (OT)",*,4,2,15,7.5,1,50.0,3.8,0,0,0,,0,0,0,,1,0,0,1,0,0,59,85.5,0,0.0,1,2.9
17,,,,,,,,,4-13,,51,32,390,12.2,3,62.7,7.6,5,122,0,24.4,6,144,1,24.0,2,0,0,2,0,0,584,56.5,0,0.0,31,7.0
