,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,JAX,@,IND,"W, 31-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2023-09-17,JAX,,KAN,"L, 9-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2023-09-24,JAX,,HOU,"L, 17-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,1.0,4.0,4.0,2023-10-01,JAX,,ATL,"W, 23-7",,0,0,0,,0,,,0,0,0,,1,5,0,5.0,0,0,0,0,0,0,1,1.5,0,0.0,1,4.5
4,1.0,,5.0,5.0,2023-10-08,JAX,@,BUF,"W, 25-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,1.0,,6.0,6.0,2023-10-15,JAX,,IND,"W, 37-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1.0,,7.0,7.0,2023-10-19,JAX,@,NOR,"W, 31-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,1.0,,8.0,8.0,2023-10-29,JAX,@,PIT,"W, 20-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,1.0,,9.0,10.0,2023-11-12,JAX,,SFO,"L, 3-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2.0,2.0,10.0,11.0,2023-11-19,JAX,,TEN,"W, 34-14",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,10,14.1,0,0.0,5,20.0
10,3.0,3.0,11.0,12.0,2023-11-26,JAX,@,HOU,"W, 24-21",,0,0,0,,0,,,0,0,0,,1,22,0,22.0,0,0,0,0,0,0,1,1.3,0,0.0,4,15.4
11,4.0,4.0,12.0,13.0,2023-12-04,JAX,,CIN,"L, 31-34 (OT)",,6,6,61,10.2,1,100.0,10.2,2,51,0,25.5,1,0,0,0.0,1,0,0,2,-1,0,41,59.4,0,0.0,8,25.0
12,5.0,5.0,13.0,14.0,2023-12-10,JAX,@,CLE,"L, 27-31",*,3,2,27,13.5,1,66.7,9.0,0,0,0,,5,63,0,12.6,1,1,0,0,0,0,47,61.8,0,0.0,8,23.5
13,6.0,6.0,14.0,15.0,2023-12-17,JAX,,BAL,"L, 7-23",,6,4,12,3.0,0,66.7,2.0,0,0,0,,0,0,0,,0,0,0,0,0,0,28,45.2,0,0.0,0,0.0
14,7.0,7.0,15.0,16.0,2023-12-24,JAX,@,TAM,"L, 12-30",,4,2,19,9.5,0,50.0,4.8,0,0,0,,0,0,0,,0,0,0,0,0,0,38,57.6,0,0.0,0,0.0
15,8.0,8.0,16.0,17.0,2023-12-31,JAX,,CAR,"W, 26-0",,1,1,2,2.0,0,100.0,2.0,0,0,0,,2,17,0,8.5,0,0,0,0,0,0,25,39.7,0,0.0,4,17.4
