,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,79.0,1.0,1.0,2019-09-08,MIN,,ATL,"W, 28-12",*,8,10,80.0,98,1,0,9.8,11.80,140.8,1,1,6,4,1,0.7,0,0,0,0,,,2,0,0,1,-2,0,53,100.0,0,0.0,0,0.0
1,2.0,80.0,2.0,2.0,2019-09-15,MIN,@,GNB,"L, 16-21",*,14,32,43.8,230,1,2,7.2,5.00,52.9,1,7,2,17,0,8.5,0,0,0,0,,,2,1,0,0,0,0,65,100.0,0,0.0,0,0.0
2,3.0,81.0,3.0,3.0,2019-09-22,MIN,,OAK,"W, 34-14",*,15,21,71.4,174,1,0,8.3,9.24,112.0,0,0,4,16,0,4.0,0,0,0,0,,,0,0,0,0,0,0,60,96.8,0,0.0,0,0.0
3,4.0,82.0,4.0,4.0,2019-09-29,MIN,@,CHI,"L, 6-16",*,27,36,75.0,233,0,0,6.5,6.47,91.6,6,51,0,0,0,,0,0,0,0,,,2,1,0,0,0,0,60,100.0,0,0.0,0,0.0
4,5.0,83.0,5.0,5.0,2019-10-06,MIN,@,NYG,"W, 28-10",*,22,27,81.5,306,2,0,11.3,12.81,138.6,3,27,3,3,0,1.0,0,0,0,0,,,1,0,0,1,-2,0,67,100.0,0,0.0,0,0.0
5,6.0,84.0,6.0,6.0,2019-10-13,MIN,,PHI,"W, 38-20",*,22,29,75.9,333,4,1,11.5,12.69,138.4,1,8,2,0,0,0.0,0,0,0,0,,,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
6,7.0,85.0,7.0,7.0,2019-10-20,MIN,@,DET,"W, 42-30",*,24,34,70.6,338,4,0,9.9,12.29,141.5,0,0,4,-3,0,-0.8,0,0,0,0,,,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
7,8.0,86.0,8.0,8.0,2019-10-24,MIN,,WAS,"W, 19-9",*,23,26,88.5,285,0,0,11.0,10.96,112.3,3,12,2,2,0,1.0,0,0,0,0,,,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
8,9.0,87.0,9.0,9.0,2019-11-03,MIN,@,KAN,"L, 23-26",*,19,38,50.0,220,3,0,5.8,7.37,94.2,1,8,1,5,0,5.0,0,0,0,0,,,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
9,10.0,88.0,10.0,10.0,2019-11-10,MIN,@,DAL,"W, 28-24",*,23,32,71.9,220,2,0,6.9,8.13,111.5,1,9,1,5,0,5.0,0,0,0,0,,,0,0,0,0,0,0,72,94.7,0,0.0,0,0.0
10,11.0,89.0,11.0,11.0,2019-11-17,MIN,,DEN,"W, 27-23",*,29,35,82.9,319,3,0,9.1,10.83,133.2,5,35,2,1,0,0.5,0,0,0,0,,,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
11,12.0,90.0,12.0,13.0,2019-12-02,MIN,@,SEA,"L, 30-37",*,22,38,57.9,276,2,1,7.3,7.13,87.2,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
12,13.0,91.0,13.0,14.0,2019-12-08,MIN,,DET,"W, 20-7",*,24,30,80.0,242,1,0,8.1,8.73,111.4,1,8,1,-1,0,-1.0,0,0,0,0,,,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
13,14.0,92.0,14.0,15.0,2019-12-15,MIN,@,LAC,"W, 39-10",*,19,25,76.0,207,1,1,8.3,7.28,96.6,0,0,3,14,0,4.7,0,0,0,0,,,2,0,0,2,-3,0,62,95.4,0,0.0,0,0.0
14,15.0,93.0,15.0,16.0,2019-12-23,MIN,,GNB,"L, 10-23",*,16,31,51.6,122,1,1,3.9,3.13,58.8,5,40,0,0,0,,1,0,0,0,0.0,0.0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
15,15.0,,16.0,17.0,2019-12-29,MIN,,CHI,"L, 19-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,10-5,,307,444,69.1,3603,26,6,8.1,8.68,107.4,28,206,31,63,1,2.0,1,0,0,0,0.0,0.0,10,3,0,4,-7,0,966,99.1,0,0.0,0,0.0
