,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,52.0,1.0,1,2024-09-08,SEA,,DEN,"W, 26-20",,1,1,0,0.0,0,100.0,0.0,1,1,0,1.0,3,74,0,24.7,0.0,1,1,0,0,0,0,0,0,0,0,0,0,7,10.4,0,0.0,24,70.6
1,2.0,53.0,2.0,2,2024-09-15,SEA,@,NWE,"W, 23-20 (OT)",,1,1,6,6.0,0,100.0,6.0,0,0,0,,1,26,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.3,0,0.0,21,67.7
2,3.0,54.0,3.0,3,2024-09-22,SEA,,MIA,"W, 24-3",,1,1,2,2.0,0,100.0,2.0,0,0,0,,1,19,0,19.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,9,14.1,0,0.0,15,55.6
3,4.0,55.0,4.0,4,2024-09-30,SEA,@,DET,"L, 29-42",,1,1,18,18.0,0,100.0,18.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,0,0.0,17,58.6
4,5.0,56.0,5.0,5,2024-10-06,SEA,,NYG,"L, 20-29",,0,0,0,,0,,,0,0,0,,2,61,0,30.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,8.6,0,0.0,16,53.3
5,6.0,57.0,6.0,6,2024-10-10,SEA,,SFO,"L, 24-36",,0,0,0,,0,,,0,0,0,,4,189,1,47.3,0.0,0,0,0,0,0,0,1,1,0,0,0,0,7,9.0,0,0.0,14,46.7
6,7.0,58.0,7.0,7,2024-10-20,SEA,@,ATL,"W, 34-14",,0,0,0,,0,,,0,0,0,,1,23,0,23.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,14,53.8
7,8.0,59.0,8.0,8,2024-10-27,SEA,,BUF,"L, 10-31",,1,1,10,10.0,0,100.0,10.0,0,0,0,,1,25,0,25.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,7,13.7,0,0.0,11,47.8
8,9.0,60.0,9.0,9,2024-11-03,SEA,,LAR,"L, 20-26 (OT)",,0,0,0,,0,,,0,0,0,,1,32,0,32.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,3,3.8,0,0.0,18,56.3
9,10.0,61.0,10.0,11,2024-11-17,SEA,@,SFO,"W, 20-17",*,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7,0,0.0,3,14.3
10,10.0,,11.0,12,2024-11-24,SEA,,ARI,"W, 16-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,11.0,62.0,12.0,13,2024-12-01,SEA,@,NYJ,"W, 26-21",,0,0,0,,0,,,0,0,0,,2,10,0,5.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,2,3.1,0,0.0,15,62.5
12,,,,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers,Player went from Seattle Seahawks to Los Angeles Chargers
13,11.0,,13.0,14,2024-12-08,LAC,@,KAN,"L, 17-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,12.0,63.0,14.0,15,2024-12-15,LAC,,TAM,"L, 17-40",*,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,13.5,0,0.0,13,48.1
15,12.0,,15.0,16,2024-12-19,LAC,,DEN,"W, 34-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,12.0,,16.0,17,2024-12-28,LAC,@,NWE,"W, 40-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,12.0,,17.0,18,2025-01-05,LAC,@,LVR,"W, 34-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,,,,,,,,6-6,,5,5,36,7.2,0,100.0,7.2,1,1,0,1.0,16,459,1,28.7,0.0,5,5,0,0,0,0,2,2,0,0,0,0,52,6.5,0,0.0,181,54.2
