,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,Awards
0,2020,22,JAX,NFL,WR,14.0,12.0,79.0,58.0,600.0,33.0,302.0,5.2,298.0,5.1,6.2,8.0,7.3,3.0,3.8,0.0,116.0,18.0,91.0,6.0,50.0,2.8,41.0,2.3,1.0,18.0,
1,2021,23,JAX,NFL,WR,16.0,10.0,100.0,63.0,619.0,30.0,230.0,3.7,389.0,6.2,5.5,10.0,6.3,8.0,8.0,2.0,72.0,11.0,41.0,2.0,24.0,2.2,17.0,1.5,1.0,11.0,
2,2022,24,CAR,NFL,WR,13.0,4.0,32.0,27.0,272.0,10.0,-58.0,-2.1,330.0,12.2,-0.7,0.0,,2.0,6.3,0.0,112.5,9.0,65.0,1.0,61.0,6.8,4.0,0.4,0.0,,
3,2023,25,CAR,NFL,WR,8.0,0.0,10.0,10.0,60.0,2.0,-25.0,-2.5,85.0,8.5,-2.5,1.0,10.0,0.0,0.0,0.0,91.7,12.0,55.0,3.0,26.0,2.2,29.0,2.4,1.0,12.0,
4,2024,26,2TM,NFL,WR,12.0,2.0,5.0,5.0,36.0,2.0,-10.0,-2.0,46.0,9.2,-2.0,0.0,,0.0,0.0,0.0,96.7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
5,2024,26,SEA,NFL,WR,11.0,1.0,5.0,5.0,36.0,2.0,-10.0,-2.0,46.0,9.2,-2.0,0.0,,0.0,0.0,0.0,96.7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
6,2024,26,LAC,NFL,WR,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,63.0,28.0,226.0,163.0,1587.0,77.0,439.0,2.7,1148.0,7.0,4.4,19.0,8.6,13.0,5.8,2.0,96.6,51.0,253.0,12.0,161.0,3.2,92.0,1.8,3.0,17.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,8.0,61.0,44.0,428.0,21.0,118.0,2.7,310.0,7.0,4.4,5.0,8.6,4.0,5.8,1.0,96.6,14.0,68.0,3.0,43.0,3.2,25.0,1.8,1.0,17.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,JAX (2 Yrs),JAX (2 Yrs),JAX (2 Yrs),JAX (2 Yrs),,30.0,22.0,179.0,121.0,1219.0,63.0,532.0,4.4,687.0,5.7,5.8,18.0,6.7,11.0,6.1,2.0,91.4,29.0,132.0,8.0,74.0,2.6,58.0,2.0,2.0,14.5,
11,CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),,21.0,4.0,42.0,37.0,332.0,12.0,-83.0,-2.2,415.0,11.2,-1.1,1.0,37.0,2.0,4.8,0.0,107.5,21.0,120.0,4.0,87.0,4.1,33.0,1.6,1.0,21.0,
12,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,11.0,1.0,5.0,5.0,36.0,2.0,-10.0,-2.0,46.0,9.2,-2.0,0.0,,0.0,0.0,0.0,96.7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,
13,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,
