,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,21,DEN,NFL,RB,17.0,1.0,203.0,903.0,4.0,52.0,46.3,49.0,4.4,53.1,11.9,53.0,43.0,316.0,7.3,3.0,12.0,37.7,42.0,2.5,18.6,81.1,6.0,246.0,5.0,1219.0,7.0,2.0,8.0,
1,2022,22,DEN,NFL,RB,4.0,4.0,47.0,204.0,0.0,9.0,48.9,17.0,4.3,51.0,11.8,22.0,16.0,76.0,4.8,0.0,4.0,31.8,13.0,4.0,19.0,72.7,3.5,63.0,4.4,280.0,0.0,1.0,1.0,
2,2023,23,DEN,NFL,RB,16.0,13.0,217.0,774.0,3.0,41.0,40.6,21.0,3.6,48.4,13.6,58.0,47.0,228.0,4.9,2.0,10.0,48.3,18.0,2.9,14.3,81.0,3.9,264.0,3.8,1002.0,5.0,1.0,6.0,
3,2024,24,DEN,NFL,RB,17.0,11.0,139.0,513.0,4.0,30.0,46.8,20.0,3.7,30.2,8.2,70.0,52.0,346.0,6.7,0.0,14.0,37.1,34.0,3.1,20.4,74.3,4.9,191.0,4.5,859.0,4.0,2.0,6.0,
4,2025,25,DAL,NFL,RB,3.0,3.0,43.0,227.0,3.0,14.0,67.4,30.0,5.3,75.7,14.3,15.0,13.0,59.0,4.5,0.0,2.0,40.0,11.0,4.3,19.7,86.7,3.9,56.0,5.1,286.0,3.0,1.0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,57.0,32.0,649.0,2621.0,14.0,146.0,46.1,49.0,4.0,46.0,11.4,218.0,171.0,1025.0,6.0,5.0,42.0,39.9,42.0,3.0,18.0,78.4,4.7,820.0,4.4,3646.0,19.0,7.0,21.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,194.0,782.0,4.0,44.0,46.1,49.0,4.0,46.0,11.4,65.0,51.0,306.0,6.0,1.0,13.0,39.9,42.0,3.0,18.0,78.4,4.7,245.0,4.4,1087.0,6.0,2.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DEN (4 Yrs),DEN (4 Yrs),DEN (4 Yrs),DEN (4 Yrs),,54.0,29.0,606.0,2394.0,11.0,132.0,44.6,49.0,4.0,44.3,11.2,203.0,158.0,966.0,6.1,5.0,40.0,39.9,42.0,2.9,17.9,77.8,4.8,764.0,4.4,3360.0,16.0,6.0,21.0,
9,DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,3.0,3.0,43.0,227.0,3.0,14.0,67.4,30.0,5.3,75.7,14.3,15.0,13.0,59.0,4.5,0.0,2.0,40.0,11.0,4.3,19.7,86.7,3.9,56.0,5.1,286.0,3.0,1.0,,
