,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,3.0,6.0,6.0,2019-10-13,PHI,@,MIN,"L, 20-38",,4,30,0,7.5,0,0,0,,0,,,0,0,0,,2,16,0,8.0,0,0,0,0,0,0,4,6.3,0,0.0,3,10.3
1,2.0,4.0,7.0,7.0,2019-10-20,PHI,@,DAL,"L, 10-37",,7,32,0,4.6,1,1,5,5.0,0,100.0,5.0,0,0,0,,1,8,0,8.0,1,0,0,1,0,0,8,13.3,0,0.0,3,12.0
2,3.0,5.0,8.0,8.0,2019-10-27,PHI,@,BUF,"W, 31-13",,5,6,1,1.2,0,0,0,,0,,,0,0,0,,1,6,0,6.0,1,1,0,0,0,0,9,12.3,0,0.0,6,23.1
3,4.0,6.0,9.0,9.0,2019-11-03,PHI,,CHI,"W, 22-14",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,7,24.1
4,5.0,7.0,10.0,11.0,2019-11-17,PHI,,NWE,"L, 10-17",*,7,26,0,3.7,0,0,0,,0,,,3,60,0,20.0,2,13,0,6.5,1,0,0,0,0,0,14,19.4,0,0.0,13,44.8
5,6.0,8.0,11.0,12.0,2019-11-24,PHI,,SEA,"L, 9-17",,0,0,0,,0,0,0,,0,,,2,45,0,22.5,0,0,0,,0,0,0,0,0,0,3,4.1,0,0.0,4,18.2
6,7.0,9.0,12.0,13.0,2019-12-01,PHI,@,MIA,"L, 31-37",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,7,22.6
7,8.0,10.0,13.0,14.0,2019-12-09,PHI,,NYG,"W, 23-17 (OT)",*,10,59,1,5.9,6,6,69,11.5,0,100.0,11.5,1,28,0,28.0,0,0,0,,0,0,0,0,0,0,38,43.2,0,0.0,5,15.2
8,9.0,11.0,14.0,15.0,2019-12-15,PHI,@,WAS,"W, 37-27",,6,26,0,4.3,7,7,39,5.6,0,100.0,5.6,1,29,0,29.0,0,0,0,,1,0,0,0,0,0,35,45.5,0,0.0,6,20.7
9,10.0,12.0,15.0,16.0,2019-12-22,PHI,,DAL,"W, 17-9",,3,12,0,4.0,6,6,7,1.2,0,100.0,1.2,2,63,0,31.5,0,0,0,,0,0,0,0,0,0,20,27.8,0,0.0,4,14.8
10,11.0,13.0,16.0,17.0,2019-12-29,PHI,@,NYG,"W, 34-17",,19,54,3,2.8,6,4,84,21.0,0,66.7,14.0,1,4,0,4.0,0,0,0,,0,0,0,0,0,0,55,74.3,0,0.0,4,11.8
11,,,,,,,,,6-5,,61,245,5,4.0,26,24,204,8.5,0,92.3,7.8,10,229,0,22.9,6,43,0,7.2,4,1,0,1,0,0,186,23.0,0,0.0,62,19.7
