,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1.0,2023-09-10,PHI,@,NWE,"W, 25-20",,1,3,0,3.0,1,1,7,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.1,0,0.0,15,51.7
1,2.0,62.0,2.0,2.0,2023-09-14,PHI,,MIN,"W, 34-28",,5,40,0,8.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.0,0,0.0,4,13.8
2,2.0,,3.0,3.0,2023-09-25,PHI,@,TAM,"W, 25-11",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,63.0,4.0,4.0,2023-10-01,PHI,,WAS,"W, 34-31 (OT)",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,17,54.8
4,4.0,64.0,5.0,5.0,2023-10-08,PHI,@,LAR,"W, 23-14",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,55.0
5,5.0,65.0,6.0,6.0,2023-10-15,PHI,@,NYJ,"L, 14-20",,2,2,0,1.0,1,1,14,14.0,0,100.0,14.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.1,0,0.0,11,50.0
6,6.0,66.0,7.0,7.0,2023-10-22,PHI,,MIA,"W, 31-17",,0,0,0,,0,0,0,,0,,,1,38,0,38.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12,54.5
7,7.0,67.0,8.0,8.0,2023-10-29,PHI,@,WAS,"W, 38-31",,0,0,0,,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0.0,15,53.6
8,7.0,,9.0,9.0,2023-11-05,PHI,,DAL,"W, 28-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,68.0,10.0,11.0,2023-11-20,PHI,@,KAN,"W, 21-17",,2,8,0,4.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,12.5,0,0.0,5,19.2
10,9.0,69.0,11.0,12.0,2023-11-26,PHI,,BUF,"W, 37-34 (OT)",,2,14,0,7.0,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.6,0,0.0,12,33.3
11,10.0,70.0,12.0,13.0,2023-12-03,PHI,,SFO,"L, 19-42",,1,2,0,2.0,1,1,27,27.0,0,100.0,27.0,3,66,0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,8.3,0,0.0,14,53.8
12,11.0,71.0,13.0,14.0,2023-12-10,PHI,@,DAL,"L, 13-33",,3,9,0,3.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5,0,0.0,12,48.0
13,12.0,72.0,14.0,15.0,2023-12-18,PHI,@,SEA,"L, 17-20",,0,0,0,,0,0,0,,0,,,1,13,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0.0,15,55.6
14,13.0,73.0,15.0,16.0,2023-12-25,PHI,,NYG,"W, 33-25",,1,3,0,3.0,0,0,0,,0,,,1,15,0,15.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,2,2.7,0,0.0,16,55.2
15,14.0,74.0,16.0,17.0,2023-12-31,PHI,,ARI,"L, 31-35",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,52.0
16,15.0,75.0,17.0,18.0,2024-01-07,PHI,@,NYG,"L, 10-27",,3,5,0,1.7,1,0,0,,0,0.0,0.0,2,38,0,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,30.8,0,0.0,14,53.8
17,,,,,,,,,9-6,,20,86,0,4.3,6,4,52,13.0,0,66.7,8.7,8,170,0,21.3,0.0,1,0,1,0,0,0,1,1,0,0,0,0,68,6.8,0,0.0,186,46.4
