,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,143.0,1.0,1.0,2023-09-10,HOU,@,BAL,"L, 9-25",*,10,6,57,9.5,0,60.0,5.7,0,0,0,,1,10,0,10.0,58,75.3,0,0.0,2,8.0
1,2.0,144.0,2.0,2.0,2023-09-17,HOU,,IND,"L, 20-31",*,9,6,74,12.3,0,66.7,8.2,0,0,0,,1,7,0,7.0,72,85.7,0,0.0,3,10.3
2,3.0,145.0,3.0,3.0,2023-09-24,HOU,@,JAX,"W, 37-17",*,6,3,34,11.3,0,50.0,5.7,0,0,0,,0,0,0,,43,76.8,0,0.0,2,6.9
3,4.0,146.0,4.0,4.0,2023-10-01,HOU,,PIT,"W, 30-6",*,6,3,26,8.7,0,50.0,4.3,0,0,0,,0,0,0,,51,71.8,0,0.0,2,8.0
4,5.0,147.0,5.0,5.0,2023-10-08,HOU,@,ATL,"L, 19-21",*,9,3,30,10.0,0,33.3,3.3,0,0,0,,1,10,0,10.0,39,67.2,0,0.0,3,10.3
5,6.0,148.0,6.0,6.0,2023-10-15,HOU,,NOR,"W, 20-13",*,3,1,6,6.0,1,33.3,2.0,0,0,0,,1,0,0,0.0,39,61.9,0,0.0,3,11.5
6,6.0,,7.0,8.0,2023-10-29,HOU,@,CAR,"L, 13-15",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,9.0,2023-11-05,HOU,,TAM,"W, 39-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,149.0,9.0,10.0,2023-11-12,HOU,@,CIN,"W, 30-27",*,3,1,15,15.0,0,33.3,5.0,0,0,0,,1,0,0,0.0,45,60.0,0,0.0,2,6.3
9,8.0,150.0,10.0,11.0,2023-11-19,HOU,,ARI,"W, 21-16",*,8,5,44,8.8,0,62.5,5.5,0,0,0,,0,0,0,,50,74.6,0,0.0,0,0.0
10,9.0,151.0,11.0,12.0,2023-11-26,HOU,,JAX,"L, 21-24",*,3,2,40,20.0,0,66.7,13.3,0,0,0,,0,0,0,,35,58.3,0,0.0,0,0.0
11,10.0,152.0,12.0,13.0,2023-12-03,HOU,,DEN,"W, 22-17",,0,0,0,,0,,,0,0,0,,0,0,0,,32,47.1,0,0.0,2,6.3
12,11.0,153.0,13.0,14.0,2023-12-10,HOU,@,NYJ,"L, 6-30",*,3,1,-2,-2.0,0,33.3,-0.7,0,0,0,,0,0,0,,40,71.4,0,0.0,0,0.0
13,12.0,154.0,14.0,15.0,2023-12-17,HOU,@,TEN,"W, 19-16 (OT)",*,5,3,30,10.0,0,60.0,6.0,0,0,0,,0,0,0,,62,80.5,0,0.0,0,0.0
14,13.0,155.0,15.0,16.0,2023-12-24,HOU,,CLE,"L, 22-36",,6,2,14,7.0,0,33.3,2.3,1,7,0,7.0,2,15,0,7.5,61,81.3,0,0.0,4,16.7
15,14.0,156.0,16.0,17.0,2023-12-31,HOU,,TEN,"W, 26-3",,4,4,58,14.5,0,100.0,14.5,0,0,0,,0,0,0,,39,63.9,0,0.0,1,4.2
16,14.0,,17.0,18.0,2024-01-06,HOU,@,IND,"W, 23-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,8-6,,75,40,426,10.7,1,53.3,5.7,1,7,0,7.0,7,42,0,6.0,666,70.3,0,0.0,24,6.3
