,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,70.0,1.0,1.0,2018-09-10,LAR,@,OAK,"W, 33-13",*,9,3,37,12.3,0,33.3,4.1,1,6,0,6.0,0,0,0,,61,96.8,0,0.0,0,0.0
1,2.0,71.0,2.0,2.0,2018-09-16,LAR,,ARI,"W, 34-0",*,9,6,81,13.5,0,66.7,9.0,0,0,0,,0,0,0,,70,97.2,0,0.0,0,0.0
2,3.0,72.0,3.0,3.0,2018-09-23,LAR,,LAC,"W, 35-23",*,11,10,104,10.4,2,90.9,9.5,3,13,0,4.3,0,0,0,,74,96.1,0,0.0,0,0.0
3,4.0,73.0,4.0,4.0,2018-09-27,LAR,,MIN,"W, 38-31",*,5,5,101,20.2,1,100.0,20.2,0,0,0,,1,0,0,0.0,55,100.0,0,0.0,1,3.0
4,5.0,74.0,5.0,5.0,2018-10-07,LAR,@,SEA,"W, 33-31",*,7,5,92,18.4,0,71.4,13.1,2,53,0,26.5,0,0,0,,66,100.0,0,0.0,2,6.7
5,6.0,75.0,6.0,6.0,2018-10-14,LAR,@,DEN,"W, 23-20",*,10,7,109,15.6,0,70.0,10.9,1,12,0,12.0,0,0,0,,72,97.3,0,0.0,1,3.6
6,7.0,76.0,7.0,7.0,2018-10-21,LAR,@,SFO,"W, 39-10",*,7,5,78,15.6,0,71.4,11.1,1,6,0,6.0,0,0,0,,50,82.0,0,0.0,0,0.0
7,8.0,77.0,8.0,8.0,2018-10-28,LAR,,GNB,"W, 29-27",*,7,5,70,14.0,0,71.4,10.0,0,0,0,,0,0,0,,76,97.4,0,0.0,0,0.0
8,9.0,78.0,9.0,9.0,2018-11-04,LAR,@,NOR,"L, 35-45",*,9,5,71,14.2,0,55.6,7.9,2,4,0,2.0,0,0,0,,58,96.7,0,0.0,0,0.0
9,10.0,79.0,10.0,10.0,2018-11-11,LAR,,SEA,"W, 36-31",*,5,4,89,22.3,0,80.0,17.8,3,17,0,5.7,0,0,0,,64,98.5,0,0.0,1,3.3
10,11.0,80.0,11.0,11.0,2018-11-19,LAR,,KAN,"W, 54-51",*,11,4,72,18.0,1,36.4,6.5,0,0,0,,0,0,0,,79,98.8,0,0.0,1,2.3
11,12.0,81.0,12.0,13.0,2018-12-02,LAR,@,DET,"W, 30-16",*,8,5,67,13.4,1,62.5,8.4,2,11,0,5.5,0,0,0,,66,95.7,0,0.0,1,3.2
12,13.0,82.0,13.0,14.0,2018-12-09,LAR,@,CHI,"L, 6-15",*,13,7,61,8.7,0,53.8,4.7,0,0,0,,0,0,0,,63,100.0,0,0.0,0,0.0
13,14.0,83.0,14.0,15.0,2018-12-16,LAR,,PHI,"L, 23-30",*,9,7,74,10.6,0,77.8,8.2,1,19,0,19.0,0,0,0,,76,100.0,0,0.0,0,0.0
14,15.0,84.0,15.0,16.0,2018-12-23,LAR,@,ARI,"W, 31-9",*,7,6,89,14.8,1,85.7,12.7,2,15,1,7.5,0,0,0,,60,88.2,0,0.0,0,0.0
15,16.0,85.0,16.0,17.0,2018-12-30,LAR,,SFO,"W, 48-32",*,3,2,24,12.0,0,66.7,8.0,1,1,0,1.0,0,0,0,,51,69.9,0,0.0,0,0.0
16,,,,,,,,,13-3,,130,86,1219,14.2,6,66.2,9.4,19,157,1,8.3,1,0,0,0.0,1041,94.6,0,0.0,7,1.5
