,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2022-09-11,PHI,@,DET,"W, 38-35",*,4,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,74,96.1,0,0.0,2,6.5
1,2.0,19.0,2.0,2.0,2022-09-19,PHI,,MIN,"W, 24-7",*,7,7,80,11.4,0,100.0,11.4,0,0,0,,0,0,0,0,0,0,72,98.6,0,0.0,0,0.0
2,3.0,20.0,3.0,3.0,2022-09-25,PHI,@,WAS,"W, 24-8",*,12,8,169,21.1,1,66.7,14.1,1,12,0,12.0,0,0,0,0,0,0,62,88.6,0,0.0,2,7.7
3,4.0,21.0,4.0,4.0,2022-10-02,PHI,,JAX,"W, 29-21",*,4,3,17,5.7,0,75.0,4.3,0,0,0,,0,0,0,0,0,0,71,86.6,0,0.0,0,0.0
4,5.0,22.0,5.0,5.0,2022-10-09,PHI,@,ARI,"W, 20-17",*,11,10,87,8.7,0,90.9,7.9,0,0,0,,0,0,0,0,0,0,72,98.6,0,0.0,0,0.0
5,6.0,23.0,6.0,6.0,2022-10-16,PHI,,DAL,"W, 26-17",*,5,5,44,8.8,1,100.0,8.8,0,0,0,,0,0,0,0,0,0,63,88.7,0,0.0,0,0.0
6,7.0,24.0,7.0,8.0,2022-10-30,PHI,,PIT,"W, 35-13",*,8,5,23,4.6,0,62.5,2.9,1,3,0,3.0,0,0,0,0,0,0,42,73.7,0,0.0,1,3.7
7,8.0,25.0,8.0,9.0,2022-11-03,PHI,@,HOU,"W, 29-17",*,2,2,22,11.0,0,100.0,11.0,0,0,0,,0,0,0,0,0,0,58,89.2,0,0.0,0,0.0
8,9.0,26.0,9.0,10.0,2022-11-14,PHI,,WAS,"L, 21-32",*,8,6,39,6.5,1,75.0,4.9,0,0,0,,1,1,0,0,0,0,43,86.0,0,0.0,0,0.0
9,10.0,27.0,10.0,11.0,2022-11-20,PHI,@,IND,"W, 17-16",*,9,6,78,13.0,0,66.7,8.7,0,0,0,,0,0,0,0,0,0,64,94.1,0,0.0,0,0.0
10,11.0,28.0,11.0,12.0,2022-11-27,PHI,,GNB,"W, 40-33",*,9,4,50,12.5,0,44.4,5.6,0,0,0,,0,0,0,0,0,0,74,92.5,0,0.0,1,3.2
11,12.0,29.0,12.0,13.0,2022-12-04,PHI,,TEN,"W, 35-10",*,8,5,102,20.4,1,62.5,12.8,0,0,0,,0,0,0,0,0,0,63,86.3,0,0.0,0,0.0
12,13.0,30.0,13.0,14.0,2022-12-11,PHI,@,NYG,"W, 48-22",*,8,5,64,12.8,1,62.5,8.0,0,0,0,,0,0,0,0,0,0,62,91.2,0,0.0,1,3.2
13,14.0,31.0,14.0,15.0,2022-12-18,PHI,@,CHI,"W, 25-20",*,8,5,126,25.2,0,62.5,15.8,0,0,0,,0,0,0,0,0,0,70,95.9,0,0.0,1,4.0
14,15.0,32.0,15.0,16.0,2022-12-24,PHI,@,DAL,"L, 34-40",*,12,8,113,14.1,2,66.7,9.4,0,0,0,,0,0,0,0,0,0,66,93.0,0,0.0,0,0.0
15,16.0,33.0,16.0,17.0,2023-01-01,PHI,,NOR,"L, 10-20",*,13,9,115,12.8,0,69.2,8.8,0,0,0,,0,0,0,0,0,0,54,98.2,0,0.0,0,0.0
16,17.0,34.0,17.0,18.0,2023-01-08,PHI,,NYG,"W, 22-16",*,8,7,67,9.6,0,87.5,8.4,0,0,0,,0,0,0,0,0,0,73,100.0,0,0.0,1,3.6
17,,,,,,,,,14-3,,136,95,1196,12.6,7,69.9,8.8,2,15,0,7.5,1,1,0,0,0,0,1083,91.9,0,0.0,9,2.0
