,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,40.0,1.0,1.0,2010-09-12,GNB,@,PHI,"W, 27-20",*,19,31,61.3,188,2,2,6.1,4.45,73.1,3,21,5,9,0,1.8,0,0,0,0,0,0
1,2.0,41.0,2.0,2.0,2010-09-19,GNB,,BUF,"W, 34-7",*,19,29,65.5,255,2,0,8.8,10.17,116.3,0,0,5,20,1,4.0,0,0,0,0,0,0
2,3.0,42.0,3.0,3.0,2010-09-27,GNB,@,CHI,"L, 17-20",*,34,45,75.6,316,1,1,7.0,6.47,92.5,0,0,2,20,1,10.0,0,0,0,0,0,0
3,4.0,43.0,4.0,4.0,2010-10-03,GNB,,DET,"W, 28-26",*,12,17,70.6,181,3,2,10.6,8.88,105.3,2,12,3,20,0,6.7,0,0,0,0,0,0
4,5.0,44.0,5.0,5.0,2010-10-10,GNB,@,WAS,"L, 13-16 (OT)",*,27,46,58.7,293,1,1,6.4,5.83,75.7,4,23,4,30,0,7.5,0,0,0,0,0,0
5,6.0,45.0,6.0,6.0,2010-10-17,GNB,,MIA,"L, 20-23 (OT)",*,18,33,54.5,313,1,1,9.5,8.73,84.5,5,30,4,14,1,3.5,0,0,0,0,0,0
6,7.0,46.0,7.0,7.0,2010-10-24,GNB,,MIN,"W, 28-24",*,21,34,61.8,295,2,2,8.7,7.21,84.8,0,0,3,14,0,4.7,0,0,0,0,0,0
7,8.0,47.0,8.0,8.0,2010-10-31,GNB,@,NYJ,"W, 9-0",*,15,34,44.1,170,0,0,5.0,5.00,59.7,2,14,3,5,0,1.7,0,0,0,0,0,0
8,9.0,48.0,9.0,9.0,2010-11-07,GNB,,DAL,"W, 45-7",*,27,34,79.4,289,3,0,8.5,10.26,131.5,1,12,5,41,0,8.2,0,0,0,0,0,0
9,10.0,49.0,10.0,11.0,2010-11-21,GNB,@,MIN,"W, 31-3",*,22,31,71.0,301,4,0,9.7,12.29,141.3,3,23,3,21,0,7.0,0,0,0,0,0,0
10,11.0,50.0,11.0,12.0,2010-11-28,GNB,@,ATL,"L, 17-20",*,26,35,74.3,344,1,0,9.8,10.40,114.5,1,3,12,51,1,4.3,2,1,0,1,0,0
11,12.0,51.0,12.0,13.0,2010-12-05,GNB,,SFO,"W, 34-16",*,21,30,70.0,298,3,0,9.9,11.93,135.1,4,24,4,39,0,9.8,0,0,0,0,0,0
12,13.0,52.0,13.0,14.0,2010-12-12,GNB,@,DET,"L, 3-7",*,7,11,63.6,46,0,1,4.2,0.09,34.7,2,18,2,25,0,12.5,0,0,0,0,0,0
13,13.0,,14.0,15.0,2010-12-19,GNB,@,NWE,"L, 27-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,14.0,53.0,15.0,16.0,2010-12-26,GNB,,NYG,"W, 45-17",*,25,37,67.6,404,4,0,10.9,13.08,139.9,2,8,2,26,0,13.0,1,0,0,0,0,0
15,15.0,54.0,16.0,17.0,2011-01-02,GNB,,CHI,"W, 10-3",*,19,28,67.9,229,1,1,8.2,7.29,89.7,2,5,7,21,0,3.0,1,0,0,0,-2,0
16,,,,,,,,,10-5,,312,475,65.7,3922,28,11,8.3,8.39,101.2,31,193,64,356,4,5.6,4,1,0,1,-2,0
