,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,22,GNB,NFL,RB,11.0,0.0,46.0,242.0,2.0,11.0,52.2,30.0,5.3,22.0,4.2,2.0,2.0,21.0,10.5,0.0,1.0,100.0,16.0,0.2,1.9,100.0,10.5,48.0,5.5,263.0,2.0,0.0,2.0,
1,2021,23,GNB,NFL,RB,17.0,2.0,187.0,803.0,5.0,50.0,61.0,36.0,4.3,47.2,11.0,37.0,34.0,313.0,9.2,2.0,15.0,62.2,50.0,2.0,18.4,91.9,8.5,221.0,5.0,1116.0,7.0,2.0,9.0,
2,2022,24,GNB,NFL,RB,17.0,3.0,186.0,770.0,7.0,47.0,56.5,27.0,4.1,45.3,10.9,43.0,28.0,206.0,7.4,0.0,9.0,39.5,17.0,1.6,12.1,65.1,4.8,214.0,4.6,976.0,7.0,1.0,7.0,
3,2023,25,GNB,NFL,RB,15.0,6.0,178.0,613.0,2.0,32.0,50.0,40.0,3.4,40.9,11.9,28.0,22.0,223.0,10.1,0.0,10.0,57.1,35.0,1.5,14.9,78.6,8.0,200.0,4.2,836.0,2.0,0.0,6.0,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025,27,PHI,NFL,RB,3.0,0.0,6.0,29.0,0.0,2.0,66.7,9.0,4.8,9.7,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,6.0,4.8,29.0,0.0,0.0,,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,63.0,11.0,603.0,2457.0,16.0,142.0,55.7,40.0,4.1,39.0,9.6,110.0,86.0,763.0,8.9,2.0,35.0,52.7,50.0,1.4,12.1,78.2,6.9,689.0,4.7,3220.0,18.0,3.0,24.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,3.0,163.0,663.0,4.0,38.0,55.7,40.0,4.1,39.0,9.6,30.0,23.0,206.0,8.9,1.0,9.0,52.7,50.0,1.4,12.1,78.2,6.9,186.0,4.7,869.0,5.0,1.0,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GNB (4 Yrs),GNB (4 Yrs),GNB (4 Yrs),GNB (4 Yrs),,60.0,11.0,597.0,2428.0,16.0,140.0,55.6,40.0,4.1,40.5,10.0,110.0,86.0,763.0,8.9,2.0,35.0,52.7,50.0,1.4,12.7,78.2,6.9,683.0,4.7,3191.0,18.0,3.0,24.0,
10,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,3.0,0.0,6.0,29.0,0.0,2.0,66.7,9.0,4.8,9.7,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,6.0,4.8,29.0,0.0,0.0,,
