,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2011,23,CIN,NFL,WR,1.0,1.0,12.0,5.0,47.0,9.4,0.0,2.0,33.3,21.0,5.0,47.0,41.7,3.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.4,47.0,0.0,0.0,
1,2012,24,CIN,NFL,WR,1.0,1.0,11.0,5.0,80.0,16.0,0.0,2.0,36.4,45.0,5.0,80.0,45.5,7.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,80.0,0.0,0.0,
2,2013,25,CIN,NFL,WR,1.0,1.0,9.0,3.0,34.0,11.3,0.0,2.0,33.3,14.0,3.0,34.0,33.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.3,34.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015,27,CIN,NFL,WR,1.0,1.0,8.0,5.0,71.0,14.2,1.0,3.0,62.5,25.0,5.0,71.0,62.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.2,71.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021,33,ARI,NFL,WR,1.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,5.0,5.0,43.0,18.0,232.0,12.9,1.0,9.0,37.2,45.0,3.6,46.4,41.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.9,232.0,1.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,146.0,61.0,789.0,12.9,3.0,31.0,37.2,45.0,3.6,46.4,41.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,61.0,12.9,789.0,3.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CIN (4 Yrs),CIN (4 Yrs),CIN (4 Yrs),CIN (4 Yrs),,4.0,4.0,40.0,18.0,232.0,12.9,1.0,9.0,40.0,45.0,4.5,58.0,45.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.9,232.0,1.0,0.0,
11,ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),ARI (1 Yr),,1.0,1.0,3.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
