,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD
0,1.0,1.0,1.0,1.0,2011-09-11,CIN,@,CLE,"W, 27-17",*,4,1,41,41.0,1,25.0,10.3,0,0,0,,0,0,0,0,0,0
1,2.0,2.0,2.0,2.0,2011-09-18,CIN,@,DEN,"L, 22-24",*,14,10,124,12.4,1,71.4,8.9,0,0,0,,0,0,0,0,0,0
2,3.0,3.0,3.0,3.0,2011-09-25,CIN,,SFO,"L, 8-13",*,5,4,29,7.3,0,80.0,5.8,0,0,0,,0,0,0,0,0,0
3,4.0,4.0,4.0,4.0,2011-10-02,CIN,,BUF,"W, 23-20",*,10,4,118,29.5,0,40.0,11.8,1,6,0,6.0,1,0,0,1,0,0
4,5.0,5.0,5.0,5.0,2011-10-09,CIN,@,JAX,"W, 30-20",*,8,5,90,18.0,1,62.5,11.3,0,0,0,,0,0,0,0,0,0
5,6.0,6.0,6.0,6.0,2011-10-16,CIN,,IND,"W, 27-17",*,7,5,51,10.2,1,71.4,7.3,0,0,0,,0,0,0,0,0,0
6,7.0,7.0,7.0,8.0,2011-10-30,CIN,@,SEA,"W, 34-12",*,10,4,63,15.8,1,40.0,6.3,0,0,0,,0,0,0,0,0,0
7,8.0,8.0,8.0,9.0,2011-11-06,CIN,@,TEN,"W, 24-17",*,7,7,83,11.9,0,100.0,11.9,0,0,0,,0,0,0,0,0,0
8,9.0,9.0,9.0,10.0,2011-11-13,CIN,,PIT,"L, 17-24",*,2,1,36,36.0,1,50.0,18.0,1,7,0,7.0,0,0,0,0,0,0
9,9.0,,10.0,11.0,2011-11-20,CIN,@,BAL,"L, 24-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,10.0,11.0,12.0,2011-11-27,CIN,,CLE,"W, 23-20",*,4,3,110,36.7,0,75.0,27.5,0,0,0,,0,0,0,0,0,0
11,11.0,11.0,12.0,13.0,2011-12-04,CIN,@,PIT,"L, 7-35",*,11,6,87,14.5,1,54.5,7.9,1,15,0,15.0,0,0,0,0,0,0
12,12.0,12.0,13.0,14.0,2011-12-11,CIN,,HOU,"L, 19-20",*,7,5,59,11.8,0,71.4,8.4,0,0,0,,0,0,0,0,0,0
13,13.0,13.0,14.0,15.0,2011-12-18,CIN,@,STL,"W, 20-13",*,9,6,115,19.2,0,66.7,12.8,0,0,0,,0,0,0,0,0,0
14,14.0,14.0,15.0,16.0,2011-12-24,CIN,,ARI,"W, 23-16",*,8,2,25,12.5,0,25.0,3.1,2,25,0,12.5,0,0,0,0,0,0
15,15.0,15.0,16.0,17.0,2012-01-01,CIN,,BAL,"L, 16-24",*,9,2,26,13.0,0,22.2,2.9,0,0,0,,0,0,0,0,0,0
16,,,,,,,,,9-6,,115,65,1057,16.3,7,56.5,9.2,5,53,0,10.6,1,0,0,1,0,0
