,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,WAS,@,ARI,"W, 24-6",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2018-09-16,WAS,,IND,"L, 9-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2018-09-23,WAS,,GNB,"W, 31-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,5.0,2018-10-08,WAS,@,NOR,"L, 19-43",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1.0,17.0,5.0,6.0,2018-10-14,WAS,,CAR,"W, 23-17",,1,3,0,3.0,1,1,-3,-3.0,0,100.0,-3.0,8,11.4,0,0.0,8,33.3
5,2.0,18.0,6.0,7.0,2018-10-21,WAS,,DAL,"W, 20-17",,2,2,0,1.0,0,0,0,,0,,,2,3.3,0,0.0,10,35.7
6,2.0,,7.0,8.0,2018-10-28,WAS,@,NYG,"W, 20-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,3.0,19.0,8.0,9.0,2018-11-04,WAS,,ATL,"L, 14-38",,2,20,0,10.0,3,2,8,4.0,0,66.7,2.7,15,21.7,0,0.0,14,56.0
8,4.0,20.0,9.0,10.0,2018-11-11,WAS,@,TAM,"W, 16-3",,0,0,0,,0,0,0,,0,,,0,0.0,0,0.0,7,35.0
9,4.0,,10.0,11.0,2018-11-18,WAS,,HOU,"L, 21-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,4.0,,11.0,12.0,2018-11-22,WAS,@,DAL,"L, 23-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,4.0,,12.0,13.0,2018-12-03,WAS,@,PHI,"L, 13-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,4.0,,13.0,14.0,2018-12-09,WAS,,NYG,"L, 16-40",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,4.0,,14.0,15.0,2018-12-16,WAS,@,JAX,"W, 16-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,4.0,,15.0,16.0,2018-12-22,WAS,@,TEN,"L, 16-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,5.0,21.0,16.0,17.0,2018-12-30,WAS,,PHI,"L, 0-24",,3,7,0,2.3,0,0,0,,0,,,5,11.1,0,0.0,0,0.0
16,,,,,,,,,3-2,,8,32,0,4.0,4,3,5,1.7,0,75.0,1.3,30,9.9,0,0.0,39,33.6
