,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,45.0,1.0,1.0,2021-09-12,CIN,,MIN,"W, 27-24 (OT)",,5,22,0,4.4,1,1,7,7.0,0,100.0,7.0,0.0,2,2,0,0,0,0,15,21.7,0,0.0,17,50.0
1,2.0,46.0,2.0,2.0,2021-09-19,CIN,@,CHI,"L, 17-20",,0,0,0,,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,3,5.5,0,0.0,15,68.2
2,3.0,47.0,3.0,3.0,2021-09-26,CIN,@,PIT,"W, 24-10",,1,-1,0,-1.0,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,10,21.3,0,0.0,13,54.2
3,4.0,48.0,4.0,4.0,2021-09-30,CIN,,JAX,"W, 24-21",,3,7,0,2.3,1,1,15,15.0,0,100.0,15.0,0.0,0,0,0,0,0,0,16,27.6,0,0.0,11,47.8
4,5.0,49.0,5.0,5.0,2021-10-10,CIN,,GNB,"L, 22-25 (OT)",,11,59,0,5.4,5,4,24,6.0,1,80.0,4.8,0.0,0,0,0,0,0,0,41,61.2,0,0.0,16,51.6
5,5.0,,6.0,6.0,2021-10-17,CIN,@,DET,"W, 34-11",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,6.0,50.0,7.0,7.0,2021-10-24,CIN,@,BAL,"W, 41-17",,11,52,1,4.7,1,1,23,23.0,0,100.0,23.0,0.0,0,0,0,0,0,0,30,47.6,0,0.0,21,65.6
7,7.0,51.0,8.0,8.0,2021-10-31,CIN,@,NYJ,"L, 31-34",,0,0,0,,2,2,16,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,14,25.5,0,0.0,18,64.3
8,8.0,52.0,9.0,9.0,2021-11-07,CIN,,CLE,"L, 16-41",,5,20,0,4.0,3,2,17,8.5,0,66.7,5.7,0.0,0,0,0,0,0,0,25,33.3,0,0.0,18,64.3
9,9.0,53.0,10.0,11.0,2021-11-21,CIN,@,LVR,"W, 32-13",,2,3,0,1.5,3,3,18,6.0,0,100.0,6.0,0.0,1,1,0,0,0,0,11,14.9,0,0.0,17,60.7
10,10.0,54.0,11.0,12.0,2021-11-28,CIN,,PIT,"W, 41-10",,3,3,0,1.0,1,1,12,12.0,0,100.0,12.0,0.0,0,0,0,0,0,0,10,14.7,0,0.0,18,64.3
11,11.0,55.0,12.0,13.0,2021-12-05,CIN,,LAC,"L, 22-41",,5,36,0,7.2,2,2,5,2.5,0,100.0,2.5,0.0,0,0,0,0,0,0,26,34.2,0,0.0,19,63.3
12,12.0,56.0,13.0,14.0,2021-12-12,CIN,,SFO,"L, 23-26 (OT)",,4,11,0,2.8,5,4,22,5.5,0,80.0,4.4,0.0,0,0,0,0,0,0,28,41.8,0,0.0,22,64.7
13,13.0,57.0,14.0,15.0,2021-12-19,CIN,@,DEN,"W, 15-10",,4,30,0,7.5,2,2,13,6.5,0,100.0,6.5,0.0,1,1,0,0,0,0,16,30.2,0,0.0,20,76.9
14,14.0,58.0,15.0,16.0,2021-12-26,CIN,,BAL,"W, 41-21",,0,0,0,,2,2,6,3.0,0,100.0,3.0,0.0,2,2,0,0,0,0,11,14.5,0,0.0,15,57.7
15,15.0,59.0,16.0,17.0,2022-01-02,CIN,,KAN,"W, 34-31",,1,4,0,4.0,1,1,10,10.0,0,100.0,10.0,0.0,0,0,0,0,0,0,20,28.6,0,0.0,16,55.2
16,16.0,60.0,17.0,18.0,2022-01-09,CIN,@,CLE,"L, 16-21",,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,16,64.0
17,,,,,,,,,9-7,,55,246,1,4.5,31,27,196,7.3,1,87.1,6.3,0.0,6,6,0,0,0,0,276,26.9,0,0.0,272,60.7
