,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,22,WAS,NFL,RB,16.0,8.0,175.0,603.0,1.0,23.0,41.1,30.0,3.4,37.7,10.9,24.0,22.0,182.0,8.3,1.0,9.0,75.0,25.0,1.4,11.4,91.7,7.6,197.0,4.0,785.0,2.0,2.0,5.0,
1,2018,23,WAS,NFL,RB,5.0,0.0,8.0,32.0,0.0,2.0,62.5,11.0,4.0,6.4,1.6,4.0,3.0,5.0,1.7,0.0,0.0,25.0,8.0,0.6,1.0,75.0,1.3,11.0,3.4,37.0,0.0,0.0,0.0,
2,2019,24,2TM,NFL,RB,7.0,0.0,5.0,16.0,0.0,1.0,40.0,9.0,3.2,2.3,0.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,3.2,16.0,0.0,0.0,0.0,
3,2019,24,CIN,NFL,RB,6.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,
4,2019,24,MIA,NFL,RB,1.0,0.0,5.0,16.0,0.0,1.0,40.0,9.0,3.2,16.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,3.2,16.0,0.0,0.0,0.0,
5,2020,25,CIN,NFL,RB,16.0,1.0,63.0,301.0,3.0,16.0,41.3,46.0,4.8,18.8,3.9,12.0,11.0,66.0,6.0,0.0,4.0,50.0,15.0,0.7,4.1,91.7,5.5,74.0,5.0,367.0,3.0,0.0,2.0,
6,2021,26,CIN,NFL,RB,16.0,0.0,55.0,246.0,1.0,11.0,41.8,46.0,4.5,15.4,3.4,31.0,27.0,196.0,7.3,1.0,9.0,35.5,23.0,1.7,12.3,87.1,6.3,82.0,5.4,442.0,2.0,0.0,3.0,
7,2022,27,CIN,NFL,RB,16.0,2.0,95.0,394.0,2.0,19.0,49.5,29.0,4.1,24.6,5.9,51.0,38.0,287.0,7.6,4.0,11.0,41.2,32.0,2.4,17.9,74.5,5.6,133.0,5.1,681.0,6.0,0.0,6.0,
8,2023,28,DEN,NFL,RB,17.0,1.0,53.0,238.0,1.0,14.0,50.9,24.0,4.5,14.0,3.1,56.0,50.0,455.0,9.1,0.0,23.0,67.9,29.0,2.9,26.8,89.3,8.1,103.0,6.7,693.0,1.0,3.0,6.0,
9,2024,29,KAN,NFL,RB,17.0,0.0,20.0,92.0,1.0,7.0,55.0,13.0,4.6,5.4,1.2,35.0,28.0,322.0,11.5,1.0,15.0,51.4,36.0,1.6,18.9,80.0,9.2,48.0,8.6,414.0,2.0,0.0,4.0,
10,2025,30,CIN,NFL,RB,3.0,0.0,4.0,21.0,0.0,2.0,75.0,12.0,5.3,7.0,1.3,2.0,2.0,6.0,3.0,0.0,1.0,50.0,5.0,0.7,2.0,100.0,3.0,6.0,4.5,27.0,0.0,1.0,,
11,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,113.0,12.0,478.0,1943.0,9.0,95.0,45.2,46.0,4.1,17.2,4.2,215.0,181.0,1519.0,8.4,7.0,72.0,53.0,36.0,1.6,13.4,84.2,7.1,659.0,5.3,3462.0,16.0,6.0,26.0,
12,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,2.0,72.0,292.0,1.0,14.0,45.2,46.0,4.1,17.2,4.2,32.0,27.0,229.0,8.4,1.0,11.0,53.0,36.0,1.6,13.4,84.2,7.1,99.0,5.3,521.0,2.0,1.0,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CIN (5 Yrs),CIN (5 Yrs),CIN (5 Yrs),CIN (5 Yrs),,57.0,3.0,217.0,962.0,6.0,48.0,45.6,46.0,4.4,16.9,3.8,96.0,78.0,555.0,7.1,5.0,25.0,40.6,32.0,1.4,9.7,81.3,5.8,295.0,5.1,1517.0,11.0,1.0,11.0,
15,WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,21.0,8.0,183.0,635.0,1.0,25.0,42.1,30.0,3.5,30.2,8.7,28.0,25.0,187.0,7.5,1.0,9.0,67.9,25.0,1.2,8.9,89.3,6.7,208.0,4.0,822.0,2.0,2.0,5.0,
16,DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,17.0,1.0,53.0,238.0,1.0,14.0,50.9,24.0,4.5,14.0,3.1,56.0,50.0,455.0,9.1,0.0,23.0,67.9,29.0,2.9,26.8,89.3,8.1,103.0,6.7,693.0,1.0,3.0,6.0,
17,KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),KAN (1 Yr),,17.0,0.0,20.0,92.0,1.0,7.0,55.0,13.0,4.6,5.4,1.2,35.0,28.0,322.0,11.5,1.0,15.0,51.4,36.0,1.6,18.9,80.0,9.2,48.0,8.6,414.0,2.0,0.0,4.0,
18,MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,1.0,0.0,5.0,16.0,0.0,1.0,40.0,9.0,3.2,16.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,3.2,16.0,0.0,0.0,0.0,
