,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,94.0,1.0,1.0,2024-09-05,KAN,,BAL,"W, 27-20",,2,1,10,10.0,0,50.0,5.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,14.8,0,0.0,0,0.0
1,2.0,95.0,2.0,2.0,2024-09-15,KAN,,CIN,"W, 26-25",,1,1,3,3.0,0,100.0,3.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9,13.8,0,0.0,2,7.7
2,3.0,96.0,3.0,3.0,2024-09-22,KAN,@,ATL,"W, 22-17",,4,3,15,5.0,0,75.0,3.8,6,25,0,4.2,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,28,37.8,0,0.0,3,12.5
3,4.0,97.0,4.0,4.0,2024-09-29,KAN,@,LAC,"W, 17-10",,0,0,0,,0,,,5,14,1,2.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,40.3,0,0.0,4,16.7
4,5.0,98.0,5.0,5.0,2024-10-07,KAN,,NOR,"W, 26-13",,2,1,24,24.0,0,50.0,12.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,25.0,0,0.0,1,4.2
5,6.0,99.0,6.0,7.0,2024-10-20,KAN,@,SFO,"W, 28-18",,1,1,22,22.0,0,100.0,22.0,2,6,0,3.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,21.4,0,0.0,4,16.7
6,7.0,100.0,7.0,8.0,2024-10-27,KAN,@,LVR,"W, 27-20",,2,2,30,15.0,0,100.0,15.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,7,0,22,30.6,0,0.0,2,8.3
7,8.0,101.0,8.0,9.0,2024-11-04,KAN,,TAM,"W, 30-24 (OT)",,5,4,25,6.3,1,80.0,5.0,1,10,0,10.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,24,28.2,0,0.0,9,32.1
8,9.0,102.0,9.0,10.0,2024-11-10,KAN,,DEN,"W, 16-14",,2,2,37,18.5,0,100.0,18.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,23.5,0,0.0,7,28.0
9,10.0,103.0,10.0,11.0,2024-11-17,KAN,@,BUF,"L, 21-30",,4,2,8,4.0,0,50.0,2.0,0,0,0,,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,11,20.0,0,0.0,9,37.5
10,11.0,104.0,11.0,12.0,2024-11-24,KAN,@,CAR,"W, 30-27",,2,2,11,5.5,0,100.0,5.5,1,13,0,13.0,3,104,0,34.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,32.4,0,0.0,8,29.6
11,12.0,105.0,12.0,13.0,2024-11-29,KAN,,LVR,"W, 19-17",,1,1,15,15.0,0,100.0,15.0,0,0,0,,1,26,0,26.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,25.4,0,0.0,9,29.0
12,13.0,106.0,13.0,14.0,2024-12-08,KAN,,LAC,"W, 19-17",,2,1,16,16.0,0,50.0,8.0,1,3,0,3.0,1,33,0,33.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,24.6,0,0.0,8,30.8
13,14.0,107.0,14.0,15.0,2024-12-15,KAN,@,CLE,"W, 21-7",,1,1,23,23.0,0,100.0,23.0,1,11,0,11.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,19,25.3,0,0.0,13,50.0
14,15.0,108.0,15.0,16.0,2024-12-21,KAN,,HOU,"W, 27-19",,3,3,50,16.7,0,100.0,16.7,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,18.9,0,0.0,11,45.8
15,16.0,109.0,16.0,17.0,2024-12-25,KAN,@,PIT,"W, 29-10",,2,2,20,10.0,0,100.0,10.0,2,9,0,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,19.4,0,0.0,8,32.0
16,17.0,110.0,17.0,18.0,2025-01-05,KAN,@,DEN,"L, 0-38",,1,1,13,13.0,0,100.0,13.0,1,1,0,1.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,38.2,0,0.0,12,52.2
17,,,,,,,,,15-2,,35,28,322,11.5,1,80.0,9.2,20,92,1,4.6,5,163,0,32.6,0.0,3,1,2,0,0,0,0,0,0,2,7,0,296,25.8,0,0.0,110,25.5
