,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,88.0,1.0,1.0,2023-09-10,TAM,@,MIN,"W, 20-17",*,6,5,51,10.2,0,83.3,8.5,0,0,0,,0,0,,0,0,0,,,,0,0,58,85.3,0,0.0,0,0.0
1,2.0,89.0,2.0,2.0,2023-09-17,TAM,,CHI,"W, 27-17",*,8,5,58,11.6,0,62.5,7.3,0,0,0,,0,0,,0,0,0,,,,0,0,53,74.6,0,0.0,0,0.0
2,3.0,90.0,3.0,3.0,2023-09-25,TAM,,PHI,"L, 11-25",*,5,3,32,10.7,0,60.0,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,41,87.2,0,0.0,0,0.0
3,4.0,91.0,4.0,4.0,2023-10-01,TAM,@,NOR,"W, 26-9",*,11,8,114,14.3,0,72.7,10.4,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,53,74.6,0,0.0,0,0.0
4,5.0,92.0,5.0,6.0,2023-10-15,TAM,,DET,"L, 6-20",*,7,6,77,12.8,0,85.7,11.0,0,0,0,,0,0,,0,0,0,,,,0,0,47,83.9,0,0.0,0,0.0
5,6.0,93.0,6.0,7.0,2023-10-22,TAM,,ATL,"L, 13-16",*,12,6,66,11.0,0,50.0,5.5,0,0,0,,0,0,,0,0,0,,,,0,0,51,69.9,0,0.0,0,0.0
6,7.0,94.0,7.0,8.0,2023-10-26,TAM,@,BUF,"L, 18-24",*,7,5,54,10.8,1,71.4,7.7,1,14,0,14.0,0,0,,0,0,0,,,,0,0,58,85.3,0,0.0,0,0.0
7,8.0,95.0,8.0,9.0,2023-11-05,TAM,@,HOU,"L, 37-39",*,6,2,16,8.0,0,33.3,2.7,0,0,0,,0,0,,0,0,0,,,,0,0,58,87.9,0,0.0,0,0.0
8,9.0,96.0,9.0,10.0,2023-11-12,TAM,,TEN,"W, 20-6",*,6,4,54,13.5,0,66.7,9.0,0,0,0,,0,0,,0,0,0,,,,0,0,50,76.9,0,0.0,0,0.0
9,10.0,97.0,10.0,11.0,2023-11-19,TAM,@,SFO,"L, 14-27",*,7,6,39,6.5,0,85.7,5.6,0,0,0,,0,0,,0,0,0,,,,0,0,57,80.3,0,0.0,0,0.0
10,11.0,98.0,11.0,12.0,2023-11-26,TAM,@,IND,"L, 20-27",*,7,3,45,15.0,0,42.9,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,50,83.3,0,0.0,0,0.0
11,12.0,99.0,12.0,13.0,2023-12-03,TAM,,CAR,"W, 21-18",*,3,0,0,,0,0.0,0.0,1,19,1,19.0,0,0,,0,0,0,,,,0,0,52,83.9,0,0.0,0,0.0
12,13.0,100.0,13.0,14.0,2023-12-10,TAM,@,ATL,"W, 29-25",*,11,5,53,10.6,0,45.5,4.8,0,0,0,,0,0,,0,0,0,,,,0,0,57,83.8,0,0.0,0,0.0
13,14.0,101.0,14.0,15.0,2023-12-17,TAM,@,GNB,"W, 34-20",*,12,10,155,15.5,0,83.3,12.9,0,0,0,,0,0,,0,0,0,,,,0,0,50,80.6,0,0.0,0,0.0
14,15.0,102.0,15.0,16.0,2023-12-24,TAM,,JAX,"W, 30-12",*,10,6,78,13.0,0,60.0,7.8,1,1,0,1.0,0,0,,0,0,0,,,,0,0,59,79.7,0,0.0,1,5.0
15,16.0,103.0,16.0,17.0,2023-12-31,TAM,,NOR,"L, 13-23",*,5,3,81,27.0,1,60.0,16.2,0,0,0,,0,0,,0,0,0,,,,0,0,48,85.7,0,0.0,0,0.0
16,17.0,104.0,17.0,18.0,2024-01-07,TAM,@,CAR,"W, 9-0",*,7,6,51,8.5,0,85.7,7.3,1,4,0,4.0,0,0,,0,0,0,,,,0,0,50,76.9,0,0.0,0,0.0
17,,,,,,,,,9-8,,130,83,1024,12.3,2,63.8,7.9,4,38,1,9.5,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,892,80.9,0,0.0,1,0.2
