,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2014-09-07,MIN,@,STL,"W, 34-6",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,14,23.7,0,0.0,10,32.3
1,2.0,2.0,2.0,2.0,2014-09-14,MIN,,NWE,"L, 7-30",,2,0,0,,0,0.0,0.0,1,12,0,12.0,0.0,0,0,0,0,,0,15,22.7,0,0.0,10,35.7
2,3.0,3.0,3.0,3.0,2014-09-21,MIN,@,NOR,"L, 9-20",*,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,11,19.6,0,0.0,8,36.4
3,4.0,4.0,4.0,4.0,2014-09-28,MIN,,ATL,"W, 41-28",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,9,11.8,0,0.0,18,54.5
4,5.0,5.0,5.0,5.0,2014-10-02,MIN,@,GNB,"L, 10-42",,5,4,57,14.3,0,80.0,11.4,0,0,0,,0.0,0,0,0,0,0.0,0,28,35.4,0,0.0,18,58.1
5,6.0,6.0,6.0,6.0,2014-10-12,MIN,,DET,"L, 3-17",,0,0,0,,0,,,0,0,0,,0.0,2,1,1,0,0.0,0,9,13.2,0,0.0,21,77.8
6,7.0,7.0,7.0,7.0,2014-10-19,MIN,@,BUF,"L, 16-17",*,1,0,0,,0,0.0,0.0,0,0,0,,0.0,1,0,1,0,0.0,0,12,19.0,0,0.0,15,55.6
7,8.0,8.0,8.0,8.0,2014-10-26,MIN,@,TAM,"W, 19-13 (OT)",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,,0,3,4.3,0,0.0,21,72.4
8,9.0,9.0,9.0,9.0,2014-11-02,MIN,,WAS,"W, 29-26",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0.0,0,4,5.5,0,0.0,21,75.0
9,10.0,10.0,10.0,11.0,2014-11-16,MIN,@,CHI,"L, 13-21",,0,0,0,,0,,,0,0,0,,0.0,2,1,1,0,0.0,0,11,23.4,0,0.0,14,60.9
10,11.0,11.0,11.0,12.0,2014-11-23,MIN,,GNB,"L, 21-24",,0,0,0,,0,,,1,21,0,21.0,0.0,0,0,0,0,,0,4,5.9,0,0.0,17,68.0
11,12.0,12.0,12.0,13.0,2014-11-30,MIN,,CAR,"W, 31-13",,0,0,0,,0,,,0,0,0,,0.0,2,2,0,0,0.0,0,1,2.1,0,0.0,20,66.7
12,13.0,13.0,13.0,14.0,2014-12-07,MIN,,NYJ,"W, 30-24 (OT)",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,,0,0,0.0,0,0.0,19,57.6
13,14.0,14.0,14.0,15.0,2014-12-14,MIN,@,DET,"L, 14-16",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0.0,0,3,4.3,0,0.0,15,62.5
14,15.0,15.0,15.0,16.0,2014-12-21,MIN,@,MIA,"L, 35-37",,1,1,12,12.0,0,100.0,12.0,0,0,0,,0.0,0,0,0,0,,0,6,9.7,0,0.0,19,61.3
15,16.0,16.0,16.0,17.0,2014-12-28,MIN,,CHI,"W, 13-9",,3,3,68,22.7,1,100.0,22.7,0,0,0,,0.0,2,2,0,0,0.0,0,20,32.3,0,0.0,13,59.1
16,,,,,,,,,7-9,,13,8,137,17.1,1,61.5,10.5,2,33,0,16.5,0.0,11,8,3,0,0.0,0,150,14.6,0,0.0,259,58.3
