,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2014,24,MIN,NFL,WR,16.0,2.0,13.0,8.0,137.0,17.1,1.0,7.0,53.8,44.0,0.5,8.6,61.5,10.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,17.1,137.0,1.0,0.0,1.0,
1,2015,25,MIN,NFL,WR,16.0,2.0,18.0,12.0,144.0,12.0,0.0,5.0,38.9,30.0,0.8,9.0,66.7,8.0,4.0,89.0,0.0,4.0,100.0,41.0,22.3,5.6,0.3,16.0,14.6,233.0,0.0,0.0,2.0,
2,2016,26,MIN,NFL,WR,16.0,10.0,92.0,69.0,967.0,14.0,5.0,44.0,60.9,71.0,4.3,60.4,75.0,10.5,2.0,15.0,0.0,1.0,100.0,11.0,7.5,0.9,0.1,71.0,13.8,982.0,5.0,2.0,8.0,
3,2017,27,MIN,NFL,WR,16.0,16.0,142.0,91.0,1276.0,14.0,4.0,59.0,52.8,65.0,5.7,79.8,64.1,9.0,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.7,0.1,92.0,14.0,1287.0,4.0,3.0,13.0,"PB,AP-2"
4,2018,28,MIN,NFL,WR,16.0,16.0,153.0,113.0,1373.0,12.2,9.0,74.0,64.1,68.0,7.1,85.8,73.9,9.0,5.0,30.0,0.0,1.0,60.0,15.0,6.0,1.9,0.3,118.0,11.9,1403.0,9.0,1.0,11.0,PB
5,2019,29,MIN,NFL,WR,10.0,10.0,48.0,30.0,418.0,13.9,6.0,18.0,52.1,44.0,3.0,41.8,62.5,8.7,4.0,6.0,1.0,1.0,25.0,3.0,1.5,0.6,0.4,34.0,12.5,424.0,7.0,0.0,5.0,
6,2020,30,MIN,NFL,WR,15.0,15.0,108.0,74.0,925.0,12.5,14.0,52.0,62.0,51.0,4.9,61.7,68.5,8.6,3.0,15.0,0.0,0.0,66.7,8.0,5.0,1.0,0.2,77.0,12.2,940.0,14.0,0.0,8.0,
7,2021,31,MIN,NFL,WR,13.0,13.0,95.0,67.0,726.0,10.8,10.0,37.0,50.5,35.0,5.2,55.8,70.5,7.6,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.2,0.1,68.0,10.7,728.0,10.0,1.0,6.0,
8,2022,32,MIN,NFL,WR,17.0,17.0,107.0,70.0,716.0,10.2,6.0,45.0,49.5,36.0,4.1,42.1,65.4,6.7,1.0,4.0,0.0,0.0,100.0,4.0,4.0,0.2,0.1,71.0,10.1,720.0,6.0,0.0,6.0,
9,2023,33,CAR,NFL,WR,17.0,17.0,137.0,103.0,1014.0,9.8,4.0,56.0,58.4,32.0,6.1,59.6,75.2,7.4,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.4,0.1,104.0,9.8,1020.0,4.0,2.0,8.0,
10,2024,34,CAR,NFL,WR,10.0,10.0,62.0,48.0,615.0,12.8,5.0,28.0,58.1,40.0,4.8,61.5,77.4,9.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,48.0,12.8,615.0,5.0,0.0,6.0,
11,11 Yrs,11 Yrs,11 Yrs,11 Yrs,,162.0,128.0,975.0,685.0,8311.0,12.1,64.0,425.0,56.6,71.0,4.2,51.3,70.3,8.5,22.0,178.0,1.0,8.0,68.2,41.0,8.1,1.1,0.1,707.0,12.0,8489.0,65.0,9.0,74.0,
12,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,102.0,72.0,872.0,12.1,7.0,45.0,56.6,71.0,4.2,51.3,70.3,8.5,2.0,19.0,0.0,1.0,68.2,41.0,8.1,1.1,0.1,74.0,1.3,891.0,7.0,1.0,8.0,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MIN (9 Yrs),MIN (9 Yrs),MIN (9 Yrs),MIN (9 Yrs),,135.0,101.0,776.0,534.0,6682.0,12.5,55.0,341.0,56.2,71.0,4.0,49.5,68.8,8.6,21.0,172.0,1.0,8.0,66.7,41.0,8.2,1.3,0.2,555.0,12.3,6854.0,56.0,7.0,60.0,
15,CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),,27.0,27.0,199.0,151.0,1629.0,10.8,9.0,84.0,58.3,40.0,5.6,60.3,75.9,8.2,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.2,0.0,152.0,10.8,1635.0,9.0,2.0,14.0,
