,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1.0,2024-09-08,ATL,,PIT,"L, 10-18",*,3,1,15,15.0,0,33.3,5.0,0,0,,0,0,0,,,,0,0,53,94.6,0,0.0,0,0.0
1,2.0,62.0,2.0,2.0,2024-09-16,ATL,@,PHI,"W, 22-21",*,7,3,88,29.3,1,42.9,12.6,0,0,,0,0,0,,,,0,0,61,100.0,0,0.0,0,0.0
2,3.0,63.0,3.0,3.0,2024-09-22,ATL,,KAN,"L, 17-22",*,8,8,66,8.3,0,100.0,8.3,0,0,,0,0,0,,,,0,0,57,93.4,0,0.0,0,0.0
3,4.0,64.0,4.0,4.0,2024-09-29,ATL,,NOR,"W, 26-24",*,6,3,56,18.7,0,50.0,9.3,0,0,,0,0,0,,,,0,0,54,96.4,0,0.0,0,0.0
4,5.0,65.0,5.0,5.0,2024-10-03,ATL,,TAM,"W, 36-30 (OT)",*,16,9,105,11.7,2,56.3,6.6,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,85,97.7,0,0.0,0,0.0
5,6.0,66.0,6.0,6.0,2024-10-13,ATL,@,CAR,"W, 38-20",*,5,3,38,12.7,0,60.0,7.6,0,0,,0,0,0,,,,0,0,67,95.7,0,0.0,0,0.0
6,7.0,67.0,7.0,7.0,2024-10-20,ATL,,SEA,"L, 14-34",*,8,5,46,9.2,0,62.5,5.8,0,0,,0,0,0,,,,0,0,64,87.7,0,0.0,0,0.0
7,8.0,68.0,8.0,8.0,2024-10-27,ATL,@,TAM,"W, 31-26",*,6,4,86,21.5,1,66.7,14.3,0,0,,0,0,0,,,,0,0,58,93.5,0,0.0,0,0.0
8,9.0,69.0,9.0,9.0,2024-11-03,ATL,,DAL,"W, 27-21",*,9,5,88,17.6,1,55.6,9.8,0,0,,0,0,0,,,,0,0,57,100.0,0,0.0,1,3.8
9,10.0,70.0,10.0,10.0,2024-11-10,ATL,@,NOR,"L, 17-20",*,9,5,96,19.2,0,55.6,10.7,0,0,,0,0,0,,,,0,0,77,98.7,0,0.0,0,0.0
10,11.0,71.0,11.0,11.0,2024-11-17,ATL,@,DEN,"L, 6-38",*,4,2,27,13.5,0,50.0,6.8,0,0,,0,0,0,,,,0,0,34,57.6,0,0.0,0,0.0
11,12.0,72.0,12.0,13.0,2024-12-01,ATL,,LAC,"L, 13-17",*,6,3,20,6.7,0,50.0,3.3,0,0,,0,0,0,,,,0,0,76,93.8,0,0.0,0,0.0
12,13.0,73.0,13.0,14.0,2024-12-08,ATL,@,MIN,"L, 21-42",*,7,6,142,23.7,0,85.7,20.3,0,0,,0,0,0,,,,0,0,70,94.6,0,0.0,0,0.0
13,14.0,74.0,14.0,15.0,2024-12-16,ATL,@,LVR,"W, 15-9",*,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,53,91.4,0,0.0,0,0.0
14,15.0,75.0,15.0,16.0,2024-12-22,ATL,,NYG,"W, 34-7",*,6,5,82,16.4,0,83.3,13.7,0,0,,0,0,0,,,,0,0,60,89.6,0,0.0,0,0.0
15,16.0,76.0,16.0,17.0,2024-12-29,ATL,@,WAS,"L, 24-30 (OT)",*,5,2,37,18.5,0,40.0,7.4,0,0,,0,0,0,,,,0,0,62,96.9,0,0.0,0,0.0
16,16.0,,17.0,18.0,2025-01-05,ATL,,CAR,"L, 38-44 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,8-8,,106,64,992,15.5,5,60.4,9.4,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,988,92.9,0,0.0,1,0.2
