,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2012,22,CIN,NFL,WR,1.0,1.0,5.0,3.0,34.0,11.3,0.0,2.0,40.0,15.0,3.0,34.0,60.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.3,34.0,0.0,0.0,
1,2013,23,CIN,NFL,WR,1.0,0.0,12.0,8.0,130.0,16.3,0.0,6.0,58.3,49.0,8.0,130.0,66.7,10.8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.3,130.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015,25,CIN,NFL,WR,1.0,1.0,7.0,4.0,32.0,8.0,0.0,2.0,57.1,13.0,4.0,32.0,57.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,32.0,0.0,0.0,
4,2016,26,DET,NFL,WR,1.0,1.0,7.0,4.0,81.0,20.3,0.0,4.0,57.1,30.0,4.0,81.0,57.1,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.3,81.0,0.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,32,JAX,NFL,WR,2.0,1.0,9.0,4.0,50.0,12.5,1.0,4.0,44.4,21.0,2.0,25.0,44.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.5,50.0,1.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,6.0,4.0,40.0,23.0,327.0,14.2,1.0,18.0,52.5,49.0,3.8,54.5,57.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,23.0,14.2,327.0,1.0,0.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,113.0,65.0,927.0,14.2,3.0,51.0,52.5,49.0,3.8,54.5,57.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14.2,927.0,3.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CIN (3 Yrs),CIN (3 Yrs),CIN (3 Yrs),CIN (3 Yrs),,3.0,2.0,24.0,15.0,196.0,13.1,0.0,10.0,54.2,49.0,5.0,65.3,62.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.1,196.0,0.0,0.0,
11,JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),,2.0,1.0,9.0,4.0,50.0,12.5,1.0,4.0,44.4,21.0,2.0,25.0,44.4,5.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.5,50.0,1.0,0.0,
12,DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,1.0,1.0,7.0,4.0,81.0,20.3,0.0,4.0,57.1,30.0,4.0,81.0,57.1,11.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.3,81.0,0.0,0.0,
