,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2021-09-09,TAM,,DAL,"W, 31-29",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,3,4.6,0,0.0,7,20.6
1,2.0,16.0,2.0,2.0,2021-09-19,TAM,,ATL,"W, 48-25",,2,1,5,5.0,0,50.0,2.5,0,0,0,,0.0,0,0,0,0,0,0,17,27.0,0,0.0,9,30.0
2,3.0,17.0,3.0,3.0,2021-09-26,TAM,@,LAR,"L, 24-34",,6,3,63,21.0,0,50.0,10.5,0,0,0,,0.0,0,0,0,0,0,0,34,46.6,0,0.0,11,36.7
3,4.0,18.0,4.0,4.0,2021-10-03,TAM,@,NWE,"W, 19-17",,2,0,0,,0,0.0,0.0,1,10,0,10.0,0.0,0,0,0,0,0,0,17,21.8,0,0.0,8,27.6
4,5.0,19.0,5.0,5.0,2021-10-10,TAM,,MIA,"W, 45-17",,3,3,42,14.0,0,100.0,14.0,0,0,0,,0.0,0,0,0,0,0,0,38,51.4,0,0.0,7,25.0
5,6.0,20.0,6.0,6.0,2021-10-14,TAM,@,PHI,"W, 28-22",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,12,16.0,0,0.0,9,37.5
6,7.0,21.0,7.0,7.0,2021-10-24,TAM,,CHI,"W, 38-3",*,2,2,16,8.0,0,100.0,8.0,0,0,0,,0.0,0,0,0,0,0,0,49,67.1,0,0.0,0,0.0
7,8.0,22.0,8.0,8.0,2021-10-31,TAM,@,NOR,"L, 27-36",,6,5,65,13.0,0,83.3,10.8,0,0,0,,0.0,0,0,0,0,0,0,39,63.9,0,0.0,0,0.0
8,9.0,23.0,9.0,10.0,2021-11-14,TAM,@,WAS,"L, 19-29",,5,3,17,5.7,0,60.0,3.4,0,0,0,,0.0,0,0,0,0,0,0,33,68.8,0,0.0,0,0.0
9,10.0,24.0,10.0,11.0,2021-11-22,TAM,,NYG,"W, 30-10",,3,1,8,8.0,0,33.3,2.7,0,0,0,,0.0,1,1,0,0,0,0,57,73.1,0,0.0,0,0.0
10,11.0,25.0,11.0,12.0,2021-11-28,TAM,@,IND,"W, 38-31",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,48,71.6,0,0.0,6,19.4
11,12.0,26.0,12.0,13.0,2021-12-05,TAM,@,ATL,"W, 30-17",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,9,12.9,0,0.0,4,15.4
12,13.0,27.0,13.0,14.0,2021-12-12,TAM,,BUF,"W, 33-27 (OT)",*,3,3,17,5.7,0,100.0,5.7,0,0,0,,0.0,0,0,0,0,0,0,49,59.0,0,0.0,7,20.0
13,14.0,28.0,14.0,15.0,2021-12-19,TAM,,NOR,"L, 0-9",*,7,4,41,10.3,0,57.1,5.9,0,0,0,,0.0,0,0,0,0,0,0,70,94.6,0,0.0,4,14.8
14,15.0,29.0,15.0,16.0,2021-12-26,TAM,@,CAR,"W, 32-6",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,36,53.7,0,0.0,0,0.0
15,16.0,30.0,16.0,17.0,2022-01-02,TAM,@,NYJ,"W, 28-24",,6,4,50,12.5,0,66.7,8.3,0,0,0,,0.0,0,0,0,0,0,0,49,66.2,0,0.0,13,50.0
16,17.0,31.0,17.0,18.0,2022-01-09,TAM,,CAR,"W, 41-17",,7,5,22,4.4,0,71.4,3.1,0,0,0,,0.0,0,0,0,0,0,0,52,86.7,0,0.0,4,14.3
17,,,,,,,,,13-4,,55,36,360,10.0,0,65.5,6.5,1,10,0,10.0,0.0,1,1,0,0,0,0,612,51.7,0,0.0,89,18.6
