,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,22,TAM,NFL,WR,14.0,3.0,17.0,12.0,169.0,14.1,2.0,9.0,52.9,35.0,0.9,12.1,70.6,9.9,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.1,169.0,2.0,0.0,2.0,
1,2021,23,TAM,NFL,WR,17.0,3.0,55.0,36.0,360.0,10.0,0.0,14.0,43.6,31.0,2.1,21.2,65.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,360.0,0.0,0.0,3.0,
2,2022,24,HOU,NFL,WR,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
3,2023,25,LAR,NFL,WR,1.0,0.0,3.0,2.0,8.0,4.0,1.0,1.0,33.3,8.0,2.0,8.0,66.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,1.0,0.0,0.0,
4,2024,26,LAR,NFL,WR,15.0,2.0,41.0,26.0,291.0,11.2,1.0,10.0,43.9,63.0,1.7,19.4,63.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0,11.2,291.0,1.0,0.0,3.0,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,49.0,8.0,116.0,76.0,828.0,10.9,4.0,34.0,44.8,63.0,1.6,16.9,65.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.9,828.0,4.0,0.0,8.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,3.0,40.0,26.0,287.0,10.9,1.0,12.0,44.8,63.0,1.6,16.9,65.5,7.1,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.8,287.0,1.0,0.0,3.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,31.0,6.0,72.0,48.0,529.0,11.0,2.0,23.0,45.8,35.0,1.5,17.1,66.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,48.0,11.0,529.0,2.0,0.0,5.0,
9,LAR (2 Yrs),LAR (2 Yrs),LAR (2 Yrs),LAR (2 Yrs),,16.0,2.0,44.0,28.0,299.0,10.7,2.0,11.0,43.2,63.0,1.8,18.7,63.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.7,299.0,2.0,0.0,3.0,
10,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
