,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1,2022-09-11,HOU,,IND,"T, 20-20 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2,2022-09-18,HOU,@,DEN,"L, 9-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3,2022-09-25,HOU,@,CHI,"L, 20-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,32.0,4.0,4,2022-10-02,HOU,,LAC,"L, 24-34",,4,7.0,0,0.0,0,0.0
4,2.0,33.0,5.0,5,2022-10-09,HOU,@,JAX,"W, 13-6",,25,43.1,0,0.0,0,0.0
5,2.0,,6.0,7,2022-10-23,HOU,@,LVR,"L, 20-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,,,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers,Player went from Houston Texans to Tampa Bay Buccaneers
7,2.0,,9.0,9,2022-11-06,TAM,,LAR,"W, 16-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,2.0,,10.0,10,2022-11-13,TAM,,SEA,"W, 21-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,2.0,,11.0,12,2022-11-27,TAM,@,CLE,"L, 17-23 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,2.0,,12.0,13,2022-12-05,TAM,,NOR,"W, 17-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,2.0,,13.0,14,2022-12-11,TAM,@,SFO,"L, 7-35",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,2.0,,14.0,15,2022-12-18,TAM,,CIN,"L, 23-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2.0,,15.0,16,2022-12-25,TAM,@,ARI,"W, 19-16 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,2.0,,16.0,17,2023-01-01,TAM,,CAR,"W, 30-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2.0,,17.0,18,2023-01-08,TAM,@,ATL,"L, 17-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,1-1,,29,25.2,0,0.0,0,0.0
