,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2020,23,BUF,NFL,RB,1,1,7,21,0,0,28.6,8.0,3.0,21.0,7.0,4,4,26,6.5,0,2,75.0,10.0,4.0,26.0,100.0,6.5,11,4.3,47,0,0,
1,2021,24,BUF,NFL,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,2,1,8,21,0,0,25.0,8.0,2.6,10.5,4.0,4,4,26,6.5,0,2,75.0,10.0,2.0,13.0,100.0,6.5,12,3.9,47,0,0,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,9,68,179,0,0,25.0,8.0,2.6,10.5,4.0,34,34,221,6.5,0,17,75.0,10.0,2.0,13.0,100.0,6.5,102,3.9,400,0,0,
