,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,GNB,@,MIN,"L, 7-23",*,4,2,34,17.0,0,50.0,8.5,1,7,0,7.0,0,0,0,,40,65.6,0,0.0,1,4.3
1,2.0,2.0,2.0,2.0,2022-09-18,GNB,,CHI,"W, 27-10",,3,3,9,3.0,0,100.0,3.0,0,0,0,,0,0,0,,22,32.4,0,0.0,3,13.6
2,2.0,,3.0,3.0,2022-09-25,GNB,@,TAM,"W, 14-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,3.0,4.0,4.0,2022-10-02,GNB,,NWE,"W, 27-24 (OT)",,3,1,8,8.0,0,33.3,2.7,1,15,1,15.0,0,0,0,,18,24.7,0,0.0,6,18.8
4,4.0,4.0,5.0,5.0,2022-10-09,GNB,,NYG,"L, 22-27",,1,1,1,1.0,0,100.0,1.0,1,-3,0,-3.0,2,35,0,17.5,18,28.6,0,0.0,4,15.4
5,4.0,,6.0,6.0,2022-10-16,GNB,,NYJ,"L, 10-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,4.0,,7.0,7.0,2022-10-23,GNB,@,WAS,"L, 21-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,5.0,8.0,8.0,2022-10-30,GNB,@,BUF,"L, 17-27",*,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,0,,6,9.1,0,0.0,0,0.0
8,6.0,6.0,9.0,9.0,2022-11-06,GNB,@,DET,"L, 9-15",*,2,2,24,12.0,0,100.0,12.0,0,0,0,,0,0,0,,17,23.0,0,0.0,0,0.0
9,7.0,7.0,10.0,10.0,2022-11-13,GNB,,DAL,"W, 31-28 (OT)",*,8,4,107,26.8,3,50.0,13.4,0,0,0,,0,0,0,,54,84.4,0,0.0,0,0.0
10,8.0,8.0,11.0,11.0,2022-11-17,GNB,,TEN,"L, 17-27",*,6,4,48,12.0,2,66.7,8.0,1,3,0,3.0,0,0,0,,49,80.3,0,0.0,0,0.0
11,9.0,9.0,12.0,12.0,2022-11-27,GNB,@,PHI,"L, 33-40",*,6,4,110,27.5,1,66.7,18.3,0,0,0,,0,0,0,,45,91.8,0,0.0,0,0.0
12,10.0,10.0,13.0,13.0,2022-12-04,GNB,@,CHI,"W, 28-19",*,7,3,48,16.0,1,42.9,6.9,1,46,1,46.0,0,0,0,,61,92.4,0,0.0,0,0.0
13,11.0,11.0,14.0,15.0,2022-12-19,GNB,,LAR,"W, 24-12",*,6,4,46,11.5,0,66.7,7.7,0,0,0,,0,0,0,,62,87.3,0,0.0,0,0.0
14,12.0,12.0,15.0,16.0,2022-12-25,GNB,@,MIA,"W, 26-20",*,8,6,49,8.2,0,75.0,6.1,0,0,0,,0,0,0,,25,37.9,0,0.0,0,0.0
15,13.0,13.0,16.0,17.0,2023-01-01,GNB,,MIN,"W, 41-17",*,5,1,11,11.0,0,20.0,2.2,0,0,0,,0,0,0,,38,60.3,0,0.0,0,0.0
16,14.0,14.0,17.0,18.0,2023-01-08,GNB,,DET,"L, 16-20",*,6,5,104,20.8,0,83.3,17.3,2,12,0,6.0,0,0,0,,52,86.7,0,0.0,0,0.0
17,,,,,,,,,7-7,,66,41,611,14.9,7,62.1,9.3,7,80,2,11.4,2,35,0,17.5,507,56.0,0,0.0,14,4.1
