,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2024,23,CHI,NFL,QB,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,46.7,68,466,10.79,4.88,5.09,2,1,12,AP ORoY-10
1,1 Yr,1 Yr,1 Yr,1 Yr,,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,,68,466,10.79,4.88,5.09,2,1,12,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,5-12-0,351,562,62.5,3541,20,3.6,6,1.1,171,40.3,47,6.3,6.53,10.1,208.3,87.8,,68,466,10.79,4.88,5.09,2,1,12,
