,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,28.0,1.0,1.0,2019-09-08,CLE,,TEN,"L, 13-43",*,2.0,5,4,1,2,2,0,0,0.0,53,89.8,6,18.8
1,2.0,29.0,2.0,2.0,2019-09-16,CLE,@,NYJ,"W, 23-3",*,3.0,5,3,2,3,5,0,0,0.0,43,63.2,1,3.8
2,3.0,30.0,3.0,3.0,2019-09-22,CLE,,LAR,"L, 13-20",*,1.0,2,1,1,0,1,0,0,0.0,57,89.1,6,25.0
3,4.0,31.0,4.0,4.0,2019-09-29,CLE,@,BAL,"W, 40-25",*,0.0,1,1,0,0,0,0,0,0.0,48,69.6,2,7.1
4,5.0,32.0,5.0,5.0,2019-10-07,CLE,@,SFO,"L, 3-31",*,1.0,2,2,0,1,1,0,0,0.0,61,81.3,8,27.6
5,6.0,33.0,6.0,6.0,2019-10-13,CLE,,SEA,"L, 28-32",*,2.0,5,3,2,1,3,0,0,0.0,67,82.7,7,26.9
6,7.0,34.0,7.0,8.0,2019-10-27,CLE,@,NWE,"L, 13-27",*,1.0,4,3,1,3,1,0,0,0.0,56,81.2,7,24.1
7,8.0,35.0,8.0,9.0,2019-11-03,CLE,@,DEN,"L, 19-24",*,0.0,3,1,2,1,0,0,0,0.0,41,82.0,1,3.7
8,9.0,36.0,9.0,10.0,2019-11-10,CLE,,BUF,"W, 19-16",*,0.0,1,1,0,0,2,0,0,0.0,64,94.1,5,20.8
9,10.0,37.0,10.0,11.0,2019-11-14,CLE,,PIT,"W, 21-7",*,0.0,1,1,0,0,3,0,0,0.0,55,76.4,1,3.8
10,10.0,,11.0,12.0,2019-11-24,CLE,,MIA,"W, 41-24",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
11,10.0,,12.0,13.0,2019-12-01,CLE,@,PIT,"L, 13-20",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
12,10.0,,13.0,14.0,2019-12-08,CLE,,CIN,"W, 27-19",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
13,10.0,,14.0,15.0,2019-12-15,CLE,@,ARI,"L, 24-38",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
14,10.0,,15.0,16.0,2019-12-22,CLE,,BAL,"L, 15-31",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
15,10.0,,16.0,17.0,2019-12-29,CLE,@,CIN,"L, 23-33",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
16,,,,,,,,,4-6,,10.0,29,20,9,11,18,0,0,0.0,545,80.7,44,16.2
