,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,12.0,1.0,1.0,2018-09-09,CLE,,PIT,"T, 21-21 (OT)",*,2.0,6,5,1,1,2,0,0,0,0,1,0,0.0,84,100.0,4,11.1
1,2.0,13.0,2.0,2.0,2018-09-16,CLE,@,NOR,"L, 18-21",*,0.0,1,1,0,0,1,0,0,0,0,0,0,0.0,65,98.5,4,14.8
2,3.0,14.0,3.0,3.0,2018-09-20,CLE,,NYJ,"W, 21-17",*,2.0,3,3,0,2,2,0,0,0,0,1,0,0.0,57,90.5,3,10.0
3,4.0,15.0,4.0,4.0,2018-09-30,CLE,@,OAK,"L, 42-45 (OT)",*,0.5,9,7,2,1,2,0,0,0,0,0,0,0.0,87,94.6,10,23.3
4,5.0,16.0,5.0,5.0,2018-10-07,CLE,,BAL,"W, 12-9 (OT)",*,0.5,2,1,1,0,2,0,0,0,0,0,0,0.0,77,88.5,5,14.7
5,6.0,17.0,6.0,6.0,2018-10-14,CLE,,LAC,"L, 14-38",*,0.0,1,0,1,0,2,0,0,0,0,1,0,0.0,50,83.3,6,20.7
6,7.0,18.0,7.0,7.0,2018-10-21,CLE,@,TAM,"L, 23-26 (OT)",*,2.0,2,2,0,1,3,0,0,0,0,0,0,0.0,84,88.4,7,21.2
7,8.0,19.0,8.0,8.0,2018-10-28,CLE,@,PIT,"L, 18-33",*,1.0,1,1,0,1,1,0,0,0,0,0,0,0.0,62,87.3,5,16.7
8,9.0,20.0,9.0,9.0,2018-11-04,CLE,,KAN,"L, 21-37",*,1.0,2,2,0,1,3,0,0,0,0,0,0,0.0,55,87.3,6,26.1
9,10.0,21.0,10.0,10.0,2018-11-11,CLE,,ATL,"W, 28-16",*,0.0,1,1,0,0,1,0,0,0,0,0,0,0.0,50,66.7,3,13.6
10,11.0,22.0,11.0,12.0,2018-11-25,CLE,@,CIN,"W, 35-20",*,1.0,1,1,0,1,1,0,0,0,0,0,0,0.0,57,77.0,4,16.0
11,12.0,23.0,12.0,13.0,2018-12-02,CLE,@,HOU,"L, 13-29",*,1.5,3,2,1,1,2,0,0,0,0,0,0,0.0,61,80.3,9,36.0
12,13.0,24.0,13.0,14.0,2018-12-09,CLE,,CAR,"W, 26-20",*,1.0,5,4,1,2,3,0,0,0,0,0,0,0.0,61,82.4,4,14.3
13,14.0,25.0,14.0,15.0,2018-12-15,CLE,@,DEN,"W, 17-16",*,0.0,1,1,0,0,2,0,0,0,0,0,0,0.0,52,71.2,4,17.4
14,15.0,26.0,15.0,16.0,2018-12-23,CLE,,CIN,"W, 26-18",*,0.0,5,3,2,0,1,0,0,0,0,0,0,0.0,44,93.6,3,11.5
15,16.0,27.0,16.0,17.0,2018-12-30,CLE,@,BAL,"L, 24-26",*,1.0,1,1,0,1,1,0,0,0,0,0,0,0.0,66,85.7,5,16.1
16,,,,,,,,,7-8-1,,13.5,44,35,9,12,29,0,0,0,0,3,0,0.0,1012,86.0,82,17.6
