,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2017,22,CLE,NFL,LDE,11,9,0,0,0,0,1,1,0,1,0,0,7.0,31,19,12,9,18,0,4.0,
1,2018,23,CLE,NFL,LDE,16,16,0,0,0,0,3,3,0,0,0,0,13.5,44,35,9,12,29,0,14.0,"PB,AP-2"
2,2019,24,CLE,NFL,LDE,10,10,0,0,0,0,0,2,0,0,0,0,10.0,29,20,9,11,18,0,5.0,
3,2020,25,CLE,NFL,LDE,14,14,0,0,0,0,2,4,0,2,0,0,12.0,48,33,15,10,18,0,14.0,"PB,AP-1"
4,2021,26,CLE,NFL,LDE,17,17,0,0,0,0,3,1,0,1,15,1,16.0,51,33,18,17,33,0,17.0,"PB,AP-1"
5,2022,27,CLE,NFL,LDE,16,15,0,0,0,0,4,2,0,0,0,0,16.0,60,37,23,18,26,0,13.0,"PB,AP-2,AP DPoY-5"
6,2023,28,CLE,NFL,DE,16,16,0,0,0,0,3,4,0,1,1,0,14.0,42,33,9,17,30,0,20.0,"PB,AP-1,AP MVP-10,AP DPoY-1"
7,2024,29,CLE,NFL,RDE,17,17,0,0,0,0,1,3,0,1,0,0,14.0,47,40,7,22,28,0,17.0,"PB,AP-1,AP DPoY-3"
8,2025,30,CLE,NFL,DE,3,3,0,0,0,0,0,0,0,0,0,0,4.0,16,9,7,7,6,0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,120,117,0,0,0,0,17,20,0,6,16,1,106.5,368,259,109,123,206,0,104.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,0,0,0,0,2,3,0,1,2,0,15.1,52,37,15,17,29,0,,
