,Unnamed: 0,Unnamed: 1,1,1.1,2022-09-11,ATL,Unnamed: 6,NOR,"L, 26-27",Did Not Play
0,,,2.0,2,2022-09-18,ATL,@,LAR,"L, 27-31",Did Not Play
1,,,3.0,3,2022-09-25,ATL,@,SEA,"W, 27-23",Did Not Play
2,,,4.0,4,2022-10-02,ATL,,CLE,"W, 23-20",Did Not Play
3,,,5.0,5,2022-10-09,ATL,@,TAM,"L, 15-21",Did Not Play
4,,,6.0,6,2022-10-16,ATL,,SFO,"W, 28-14",Did Not Play
5,,,7.0,7,2022-10-23,ATL,@,CIN,"L, 17-35",Did Not Play
6,,,8.0,8,2022-10-30,ATL,,CAR,"W, 37-34 (OT)",Did Not Play
7,,,,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars,Player went from Atlanta Falcons to Jacksonville Jaguars
8,,9.0,9.0,2022-11-06,JAX,,LVR,"W, 27-20",Did Not Play,Did Not Play
9,,10.0,10.0,2022-11-13,JAX,@,KAN,"L, 17-27",Did Not Play,Did Not Play
10,,11.0,12.0,2022-11-27,JAX,,BAL,"W, 28-27",Did Not Play,Did Not Play
11,,12.0,13.0,2022-12-04,JAX,@,DET,"L, 14-40",Did Not Play,Did Not Play
12,,13.0,14.0,2022-12-11,JAX,@,TEN,"W, 36-22",Did Not Play,Did Not Play
13,,14.0,15.0,2022-12-18,JAX,,DAL,"W, 40-34 (OT)",Did Not Play,Did Not Play
14,,15.0,16.0,2022-12-22,JAX,@,NYJ,"W, 19-3",Did Not Play,Did Not Play
15,,16.0,17.0,2023-01-01,JAX,@,HOU,"W, 31-3",Did Not Play,Did Not Play
16,,17.0,18.0,2023-01-07,JAX,,TEN,"W, 20-16",Did Not Play,Did Not Play
