,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,24,NOR,NFL,WR,7,4,10,4,39,9.8,0,3,30.0,19,0.6,5.6,40.0,3.9,0,0,0,0,0.0,0.0,4,9.8,39,0,0,0.0,
1,2021,25,NOR,NFL,WR,14,2,22,13,159,12.2,4,12,54.5,27,0.9,11.4,59.1,7.2,0,0,0,0,0.0,0.0,13,12.2,159,4,0,1.0,
2,2022,26,NOR,NFL,TE,16,12,65,42,508,12.1,7,25,52.3,41,2.6,31.8,64.6,7.8,0,0,0,0,0.0,0.0,42,12.1,508,7,0,4.0,
3,2023,27,NOR,NFL,TE,13,11,59,37,368,9.9,4,23,50.8,32,2.8,28.3,62.7,6.2,0,0,0,0,0.0,0.0,37,9.9,368,4,0,3.0,
4,2024,28,NOR,NFL,TE,17,5,66,50,548,11.0,3,27,56.1,30,2.9,32.2,75.8,8.3,0,0,0,0,0.0,0.0,50,11.0,548,3,2,5.0,
5,2025,29,NOR,NFL,TE,3,3,28,19,176,9.3,1,10,50.0,21,6.3,58.7,67.9,6.3,0,0,0,0,0.0,0.0,19,9.3,176,1,0,,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,70,37,250,165,1798,10.9,19,100,52.0,41,2.4,25.7,66.0,7.2,0,0,0,0,0.0,0.0,165,10.9,1798,19,2,13.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,9,61,40,437,10.9,5,24,52.0,41,2.4,25.7,66.0,7.2,0,0,0,0,0.0,0.0,40,10.9,437,5,0,,
