,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,22.0,1.0,1.0,2022-09-11,NOR,@,ATL,"W, 27-26",,5,2,43,21.5,0,40.0,8.6,0.0,0,0,0,0,0,0,45,73.8,0,0.0,16,50.0
1,2.0,23.0,2.0,2.0,2022-09-18,NOR,,TAM,"L, 10-20",,7,4,40,10.0,0,57.1,5.7,0.0,0,0,0,0,0,0,53,77.9,0,0.0,10,38.5
2,3.0,24.0,3.0,3.0,2022-09-25,NOR,@,CAR,"L, 14-22",*,1,0,0,,0,0.0,0.0,0.0,1,0,1,0,0,0,47,68.1,0,0.0,13,44.8
3,4.0,25.0,4.0,4.0,2022-10-02,NOR,,MIN,"L, 25-28",,4,3,33,11.0,0,75.0,8.3,0.0,0,0,0,0,0,0,29,48.3,0,0.0,16,51.6
4,5.0,26.0,5.0,5.0,2022-10-09,NOR,,SEA,"W, 39-32",,2,1,13,13.0,0,50.0,6.5,0.0,0,0,0,0,0,0,44,57.1,0,0.0,19,55.9
5,6.0,27.0,6.0,6.0,2022-10-16,NOR,,CIN,"L, 26-30",*,6,4,41,10.3,0,66.7,6.8,0.0,0,0,0,0,0,0,56,77.8,0,0.0,17,58.6
6,7.0,28.0,7.0,7.0,2022-10-20,NOR,@,ARI,"L, 34-42",*,5,5,32,6.4,2,100.0,6.4,0.0,0,0,0,0,0,0,53,73.6,0,0.0,16,50.0
7,8.0,29.0,8.0,8.0,2022-10-30,NOR,,LVR,"W, 24-0",*,4,2,14,7.0,0,50.0,3.5,0.0,0,0,0,0,0,0,47,73.4,0,0.0,6,31.6
8,9.0,30.0,9.0,9.0,2022-11-07,NOR,,BAL,"L, 13-27",*,2,2,42,21.0,1,100.0,21.0,0.0,0,0,0,0,0,0,38,74.5,0,0.0,9,34.6
9,10.0,31.0,10.0,10.0,2022-11-13,NOR,@,PIT,"L, 10-20",*,7,5,44,8.8,1,71.4,6.3,0.0,0,0,0,0,0,0,31,66.0,0,0.0,7,29.2
10,11.0,32.0,11.0,11.0,2022-11-20,NOR,,LAR,"W, 27-20",*,4,3,47,15.7,1,75.0,11.8,0.0,0,0,0,0,0,0,36,63.2,0,0.0,16,51.6
11,12.0,33.0,12.0,12.0,2022-11-27,NOR,@,SFO,"L, 0-13",*,2,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,27,47.4,0,0.0,6,35.3
12,12.0,,13.0,13.0,2022-12-05,NOR,@,TAM,"L, 16-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,13.0,34.0,14.0,15.0,2022-12-18,NOR,,ATL,"W, 21-18",*,6,4,67,16.8,2,66.7,11.2,0.0,0,0,0,0,0,0,28,50.9,0,0.0,3,13.6
14,14.0,35.0,15.0,16.0,2022-12-24,NOR,@,CLE,"W, 17-10",*,2,1,9,9.0,0,50.0,4.5,0.0,0,0,0,0,0,0,27,50.0,0,0.0,5,22.7
15,15.0,36.0,16.0,17.0,2023-01-01,NOR,@,PHI,"W, 20-10",*,7,5,62,12.4,0,71.4,8.9,0.0,0,0,0,0,0,0,46,66.7,0,0.0,12,46.2
16,16.0,37.0,17.0,18.0,2023-01-08,NOR,,CAR,"L, 7-10",*,1,1,21,21.0,0,100.0,21.0,0.0,1,1,0,0,0,0,41,68.3,0,0.0,3,15.0
17,,,,,,,,,7-9,,65,42,508,12.1,7,64.6,7.8,0.0,2,1,1,0,0,0,648,65.3,0,0.0,174,41.4
