,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,CLE,@,CAR,"W, 26-24",,0,0,0,,1,29,0,29.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,12,37.5
1,2.0,2.0,2.0,2.0,2022-09-18,CLE,,NYJ,"L, 30-31",,0,0,0,,2,67,0,33.5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,10,33.3
2,3.0,3.0,3.0,3.0,2022-09-22,CLE,,PIT,"W, 29-17",,0,0,0,,1,15,0,15.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,12,42.9
3,4.0,4.0,4.0,4.0,2022-10-02,CLE,@,ATL,"L, 20-23",,0,0,0,,2,34,0,17.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,2,7.7
4,4.0,,5.0,5.0,2022-10-09,CLE,,LAC,"L, 28-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,4.0,,6.0,6.0,2022-10-16,CLE,,NWE,"L, 15-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4.0,,7.0,7.0,2022-10-23,CLE,@,BAL,"L, 20-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,4.0,,8.0,8.0,2022-10-31,CLE,,CIN,"W, 32-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5.0,5.0,9.0,10.0,2022-11-13,CLE,@,MIA,"L, 17-39",,0,0,0,,3,95,0,31.7,0.0,0,0,0,0,0,0,0,0.0,0,0.0,12,52.2
9,6.0,6.0,10.0,11.0,2022-11-20,CLE,@,BUF,"L, 23-31",,0,0,0,,2,49,0,24.5,0.0,1,0,1,0,0,0,0,0.0,0,0.0,16,53.3
10,7.0,7.0,11.0,12.0,2022-11-27,CLE,,TAM,"W, 23-17 (OT)",,0,0,0,,2,67,0,33.5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,54.8
11,8.0,8.0,12.0,13.0,2022-12-04,CLE,@,HOU,"W, 27-14",,3,3,0,1.0,3,48,0,16.0,0.0,0,0,0,0,0,0,7,11.1,0,0.0,16,51.6
12,9.0,9.0,13.0,14.0,2022-12-11,CLE,@,CIN,"L, 10-23",,0,0,0,,4,87,0,21.8,0.0,0,0,0,0,0,0,0,0.0,0,0.0,13,54.2
13,10.0,10.0,14.0,15.0,2022-12-17,CLE,,BAL,"W, 13-3",,0,0,0,,1,21,0,21.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,6,33.3
14,11.0,11.0,15.0,16.0,2022-12-24,CLE,,NOR,"L, 10-17",,0,0,0,,3,95,0,31.7,0.0,0,0,0,0,0,0,0,0.0,0,0.0,10,45.5
15,12.0,12.0,16.0,17.0,2023-01-01,CLE,@,WAS,"W, 24-10",,5,9,0,1.8,1,23,0,23.0,0.0,0,0,0,0,0,0,7,12.3,0,0.0,8,38.1
16,13.0,13.0,17.0,18.0,2023-01-08,CLE,@,PIT,"L, 14-28",,0,0,0,,5,93,0,18.6,0.0,0,0,0,0,0,0,0,0.0,0,0.0,11,50.0
17,,,,,,,,,6-7,,8,12,0,1.5,30,723,0,24.1,0.0,2,1,1,0,0,0,14,1.5,0,0.0,145,42.9
