,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,31.0,1.0,1.0,2024-09-08,CLE,,DAL,"L, 17-33",*,12,44,1,3.7,7,6,25,4.2,0,85.7,3.6,0,0,0,,57,75.0,0,0.0,0,0.0
1,2.0,32.0,2.0,2.0,2024-09-15,CLE,@,JAX,"W, 18-13",,7,64,0,9.1,2,1,0,0.0,0,50.0,0.0,0,0,0,,32,44.4,0,0.0,0,0.0
2,3.0,33.0,3.0,3.0,2024-09-22,CLE,,NYG,"L, 15-21",*,10,37,0,3.7,4,3,33,11.0,0,75.0,8.3,0,0,0,,53,79.1,0,0.0,0,0.0
3,4.0,34.0,4.0,4.0,2024-09-29,CLE,@,LVR,"L, 16-20",*,10,58,0,5.8,7,7,27,3.9,0,100.0,3.9,0,0,0,,46,78.0,0,0.0,0,0.0
4,5.0,35.0,5.0,5.0,2024-10-06,CLE,@,WAS,"L, 13-34",,9,47,0,5.2,3,3,2,0.7,0,100.0,0.7,0,0,0,,36,58.1,0,0.0,0,0.0
5,6.0,36.0,6.0,6.0,2024-10-13,CLE,@,PHI,"L, 16-20",*,2,14,0,7.0,0,0,0,,0,,,0,0,0,,4,7.0,0,0.0,0,0.0
6,6.0,,7.0,7.0,2024-10-20,CLE,,CIN,"L, 14-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2024-10-27,CLE,,BAL,"W, 29-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,37.0,9.0,9.0,2024-11-03,CLE,,LAC,"L, 10-27",,2,5,0,2.5,3,1,2,2.0,0,33.3,0.7,0,0,0,,36,45.6,0,0.0,5,17.2
9,8.0,38.0,10.0,11.0,2024-11-17,CLE,@,NOR,"L, 14-35",,5,10,0,2.0,4,4,29,7.3,0,100.0,7.3,2,37,0,18.5,41,56.2,0,0.0,6,24.0
10,9.0,39.0,11.0,12.0,2024-11-21,CLE,,PIT,"W, 24-19",,4,19,0,4.8,1,1,8,8.0,0,100.0,8.0,3,72,0,24.0,20,34.5,0,0.0,5,25.0
11,10.0,40.0,12.0,13.0,2024-12-02,CLE,@,DEN,"L, 32-41",,9,41,0,4.6,1,1,21,21.0,0,100.0,21.0,1,21,0,21.0,57,66.3,0,0.0,8,21.6
12,11.0,41.0,13.0,14.0,2024-12-08,CLE,@,PIT,"L, 14-27",,10,28,0,2.8,4,3,19,6.3,0,75.0,4.8,1,56,0,56.0,40,55.6,0,0.0,6,20.7
13,12.0,42.0,14.0,15.0,2024-12-15,CLE,,KAN,"L, 7-21",,7,84,1,12.0,2,2,20,10.0,0,100.0,10.0,4,117,0,29.3,36,58.1,0,0.0,4,15.4
14,13.0,43.0,15.0,16.0,2024-12-22,CLE,@,CIN,"L, 6-24",*,11,92,1,8.4,5,5,39,7.8,0,100.0,7.8,3,62,0,20.7,53,80.3,0,0.0,4,19.0
15,14.0,44.0,16.0,17.0,2024-12-29,CLE,,MIA,"L, 3-20",*,6,22,0,3.7,0,0,0,,0,,,1,23,0,23.0,15,19.0,0,0.0,1,4.3
16,14.0,,17.0,18.0,2025-01-04,CLE,@,BAL,"L, 10-35",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,2-12,,104,565,3,5.4,43,37,225,6.1,0,86.0,5.2,15,388,0,25.9,526,54.3,0,0.0,39,10.2
