,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,64.0,1.0,1.0,2022-09-11,KAN,@,ARI,"W, 44-21",*,30,39,76.9,360,5,0,9.2,11.79,144.2,0,0,3,5,0,1.7,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,65,92.9,0,0.0,0,0.0
1,2.0,65.0,2.0,2.0,2022-09-15,KAN,,LAC,"W, 27-24",*,24,35,68.6,235,2,0,6.7,7.86,106.2,1,9,2,-1,0,-0.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
2,3.0,66.0,3.0,3.0,2022-09-25,KAN,@,IND,"L, 17-20",*,20,35,57.1,262,1,1,7.5,6.77,78.5,1,5,4,26,0,6.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
3,4.0,67.0,4.0,4.0,2022-10-02,KAN,@,TAM,"W, 41-31",*,23,37,62.2,249,3,1,6.7,7.14,97.7,3,21,4,34,0,8.5,0,0,0,,0,,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0
4,5.0,68.0,5.0,5.0,2022-10-10,KAN,,LVR,"W, 30-29",*,29,43,67.4,292,4,0,6.8,8.65,117.6,3,27,4,28,0,7.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
5,6.0,69.0,6.0,6.0,2022-10-16,KAN,,BUF,"L, 20-24",*,25,40,62.5,338,2,2,8.5,7.2,85.2,3,19,4,21,0,5.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
6,7.0,70.0,7.0,7.0,2022-10-23,KAN,@,SFO,"W, 44-23",*,25,34,73.5,423,3,1,12.4,12.88,132.4,1,6,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,58,90.6,0,0.0,0,0.0
7,8.0,71.0,8.0,9.0,2022-11-06,KAN,,TEN,"W, 20-17 (OT)",*,43,68,63.2,446,1,1,6.6,6.19,80.9,4,24,6,63,1,10.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,100,100.0,0,0.0,0,0.0
8,9.0,72.0,9.0,10.0,2022-11-13,KAN,,JAX,"W, 27-17",*,26,35,74.3,331,4,1,9.5,10.46,129.6,0,0,7,39,0,5.6,0,0,0,,0,,,0.0,1,0,1,0,0,0,1,0,0,1,-3,0,63,100.0,0,0.0,0,0.0
9,10.0,73.0,10.0,11.0,2022-11-20,KAN,@,LAC,"W, 30-27",*,20,34,58.8,329,3,0,9.7,11.44,120.8,1,7,4,23,0,5.8,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,65,100.0,0,0.0,0,0.0
10,11.0,74.0,11.0,12.0,2022-11-27,KAN,,LAR,"W, 26-10",*,27,42,64.3,320,1,1,7.6,7.02,85.4,0,0,4,36,0,9.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
11,12.0,75.0,12.0,13.0,2022-12-04,KAN,@,CIN,"L, 24-27",*,16,27,59.3,223,1,0,8.3,9.0,98.2,2,12,2,9,1,4.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
12,13.0,76.0,13.0,14.0,2022-12-11,KAN,@,DEN,"W, 34-28",*,28,42,66.7,352,3,3,8.4,6.6,86.6,2,10,3,-3,0,-1.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
13,14.0,77.0,14.0,15.0,2022-12-18,KAN,@,HOU,"W, 30-24 (OT)",*,36,41,87.8,336,2,0,8.2,9.17,117.1,2,23,5,33,1,6.6,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,77,100.0,0,0.0,0,0.0
14,15.0,78.0,15.0,16.0,2022-12-24,KAN,,SEA,"W, 24-10",*,16,28,57.1,224,2,0,8.0,9.43,106.8,1,4,2,8,1,4.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
15,16.0,79.0,16.0,17.0,2023-01-01,KAN,,DEN,"W, 27-24",*,29,42,69.0,328,3,1,7.8,8.17,106.1,0,0,4,8,0,2.0,1,1,6,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
16,17.0,80.0,17.0,18.0,2023-01-07,KAN,@,LVR,"W, 31-13",*,18,26,69.2,202,1,0,7.8,8.54,105.0,2,21,3,29,0,9.7,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,88.1,0,0.0,0,0.0
17,,,,,,,,,14-3,,435,648,67.1,5250,41,12,8.1,8.53,105.2,26,188,61,358,4,5.9,1,1,6,6.0,0,100.0,6.0,0.0,2,1,1,0,0,0,5,0,0,4,-3,0,1131,98.4,0,0.0,0,0.0
