,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1,2021-09-12,CLE,@,KAN,"L, 29-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2,2021-09-19,CLE,,HOU,"W, 31-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,83.0,3.0,3,2021-09-26,CLE,,CHI,"W, 26-6",*,9,5,77,15.4,0,55.6,8.6,1,10,0,10.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,52,64.2,0,0.0,0,0.0
3,2.0,84.0,4.0,4,2021-10-03,CLE,@,MIN,"W, 14-7",*,7,2,27,13.5,0,28.6,3.9,1,4,0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,62,79.5,0,0.0,0,0.0
4,3.0,85.0,5.0,5,2021-10-10,CLE,@,LAC,"L, 42-47",*,3,2,20,10.0,0,66.7,6.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,58,80.6,0,0.0,0,0.0
5,4.0,86.0,6.0,6,2021-10-17,CLE,,ARI,"L, 14-37",*,8,5,79,15.8,0,62.5,9.9,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,32,54.2,0,0.0,0,0.0
6,5.0,87.0,7.0,7,2021-10-21,CLE,,DEN,"W, 17-14",*,6,2,23,11.5,0,33.3,3.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,43,60.6,0,0.0,0,0.0
7,6.0,88.0,8.0,8,2021-10-31,CLE,,PIT,"L, 10-15",*,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,43,72.9,0,0.0,0,0.0
8,6.0,,9.0,9,2021-11-07,CLE,@,CIN,"W, 41-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,,,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams,Player went from Cleveland Browns to Los Angeles Rams
10,7.0,89.0,10.0,10,2021-11-15,LAR,@,SFO,"L, 10-31",*,3,2,18,9.0,0,66.7,6.0,0,0,0,,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,15,27.3,0,0.0,0,0.0
11,8.0,90.0,11.0,12,2021-11-28,LAR,@,GNB,"L, 28-36",*,10,5,81,16.2,1,50.0,8.1,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,61,98.4,0,0.0,0,0.0
12,9.0,91.0,12.0,13,2021-12-05,LAR,,JAX,"W, 37-7",,5,2,28,14.0,1,40.0,5.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,36,52.9,0,0.0,0,0.0
13,10.0,92.0,13.0,14,2021-12-13,LAR,@,ARI,"W, 30-23",*,7,6,77,12.8,1,85.7,11.0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,42,72.4,0,0.0,0,0.0
14,11.0,93.0,14.0,15,2021-12-21,LAR,,SEA,"W, 20-10",*,3,1,7,7.0,0,33.3,2.3,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,50,75.8,0,0.0,0,0.0
15,12.0,94.0,15.0,16,2021-12-26,LAR,@,MIN,"W, 30-23",*,8,4,37,9.3,1,50.0,4.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,64,91.4,0,0.0,0,0.0
16,13.0,95.0,16.0,17,2022-01-02,LAR,@,BAL,"W, 20-19",*,7,5,39,7.8,1,71.4,5.6,0,0,0,,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,57,98.3,0,0.0,0,0.0
17,14.0,96.0,17.0,18,2022-01-09,LAR,,SFO,"L, 24-27 (OT)",*,5,2,18,9.0,0,40.0,3.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,51,78.5,0,0.0,0,0.0
18,,,,,,,,,8-6,,82,44,537,12.2,5,53.7,6.5,2,14,0,7.0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,666,72.2,0,0.0,0,0.0
