,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2019,24,PIT,NFL,QB,10.0,8.0,5-3-0,176.0,283.0,62.2,1765.0,13.0,4.6,9.0,3.2,80.0,40.6,76.0,6.2,5.72,10.0,176.5,82.0,36.2,15.0,124.0,5.03,5.51,5.02,1.0,1.0,3.0,
1,2020,25,PIT,NFL,QB,5.0,1.0,0-1-0,25.0,43.0,58.1,324.0,2.0,4.7,1.0,2.3,13.0,36.4,47.0,7.5,7.42,13.0,64.8,87.7,72.7,1.0,8.0,2.27,7.18,7.07,0.0,0.0,1.0,
2,2021,26,PIT,NFL,QB,2.0,1.0,0-0-1,35.0,58.0,60.3,277.0,1.0,1.7,1.0,1.7,16.0,41.4,36.0,4.8,4.34,7.9,138.5,70.8,45.4,0.0,0.0,0.0,4.78,4.34,1.0,0.0,1.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,28,PIT,NFL,QB,4.0,3.0,3-0-0,55.0,74.0,74.3,719.0,3.0,4.1,0.0,0.0,26.0,47.5,86.0,9.7,10.53,13.1,179.8,118.0,70.6,6.0,43.0,7.5,8.45,9.2,0.0,1.0,2.0,
5,2024,29,TEN,NFL,QB,8.0,5.0,1-4-0,146.0,228.0,64.0,1530.0,9.0,3.9,9.0,3.9,78.0,49.0,47.0,6.7,5.72,10.5,191.3,80.1,55.5,11.0,71.0,4.6,6.1,5.16,0.0,1.0,3.0,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,29.0,18.0,9-8-1,437.0,686.0,63.7,4615.0,28.0,4.1,20.0,2.9,213.0,43.9,86.0,6.7,6.23,10.6,159.1,84.7,,33.0,246.0,4.59,6.08,5.6,2.0,3.0,10.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,9-8-1,256.0,402.0,63.7,2705.0,16.0,4.1,12.0,2.9,125.0,43.9,86.0,6.7,6.23,10.6,159.1,84.7,,19.0,144.0,4.59,6.08,5.6,1.0,2.0,6.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),PIT (4 Yrs),,21.0,13.0,8-4-1,291.0,458.0,63.5,3085.0,19.0,4.1,11.0,2.4,135.0,41.5,86.0,6.7,6.48,10.6,146.9,86.9,,22.0,175.0,4.58,6.06,5.82,2.0,2.0,7.0,
10,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,8.0,5.0,1-4-0,146.0,228.0,64.0,1530.0,9.0,3.9,9.0,3.9,78.0,49.0,47.0,6.7,5.72,10.5,191.3,80.1,,11.0,71.0,4.6,6.1,5.16,0.0,1.0,3.0,
