,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2018,23,BAL,NFL,RB,1.0,1.0,8.0,23.0,0.0,0.0,25.0,5.0,2.9,23.0,8.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,8.0,2.9,23.0,0.0,0.0,
1,2019,24,BAL,NFL,RB,1.0,0.0,3.0,20.0,0.0,1.0,33.3,19.0,6.7,20.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,3.0,6.7,20.0,0.0,0.0,
2,2020,25,BAL,NFL,RB,2.0,1.0,18.0,80.0,0.0,8.0,55.6,12.0,4.4,40.0,9.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,18.0,4.4,80.0,0.0,1.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,27,BAL,NFL,RB,1.0,0.0,12.0,39.0,0.0,4.0,66.7,9.0,3.3,39.0,12.0,1.0,1.0,13.0,13.0,0.0,1.0,100.0,13.0,1.0,13.0,100.0,13.0,13.0,4.0,52.0,0.0,0.0,
5,2023,28,BAL,NFL,RB,2.0,0.0,13.0,60.0,0.0,4.0,61.5,15.0,4.6,30.0,6.5,3.0,2.0,15.0,7.5,0.0,1.0,33.3,16.0,1.0,7.5,66.7,5.0,15.0,5.0,75.0,0.0,0.0,
6,2024,29,LAC,NFL,RB,1.0,0.0,7.0,22.0,0.0,1.0,57.1,8.0,3.1,22.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,7.0,3.1,22.0,0.0,0.0,
7,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,8.0,2.0,61.0,244.0,0.0,18.0,54.1,19.0,4.0,30.5,7.6,4.0,3.0,28.0,9.3,0.0,2.0,50.0,16.0,0.4,3.5,75.0,7.0,64.0,4.3,272.0,0.0,1.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,4.0,130.0,519.0,0.0,38.0,54.1,19.0,4.0,30.5,7.6,9.0,6.0,60.0,9.3,0.0,4.0,50.0,16.0,0.4,3.5,75.0,7.0,136.0,4.3,578.0,0.0,2.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BAL (5 Yrs),BAL (5 Yrs),BAL (5 Yrs),BAL (5 Yrs),,7.0,2.0,54.0,222.0,0.0,17.0,53.7,19.0,4.1,31.7,7.7,4.0,3.0,28.0,9.3,0.0,2.0,50.0,16.0,0.4,4.0,75.0,7.0,57.0,4.4,250.0,0.0,1.0,
11,LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,1.0,0.0,7.0,22.0,0.0,1.0,57.1,8.0,3.1,22.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,7.0,3.1,22.0,0.0,0.0,
