,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1.0,44.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",*,16,66,2,4.1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,23,35.9,0,0.0,0,0.0
7,2.0,45.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",,11,65,0,5.9,0,0,0,0,,,0,0,0,0,0,0,16,21.1,0,0.0,0,0.0
8,2.0,,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,2.0,,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,3.0,46.0,11.0,12.0,2022-11-27,BAL,@,JAX,"L, 27-28",*,16,52,1,3.3,1,0,0,0,0.0,0.0,1,1,0,0,0,0,36,50.0,0,0.0,0,0.0
11,4.0,47.0,12.0,13.0,2022-12-04,BAL,,DEN,"W, 10-9",*,6,12,0,2.0,0,0,0,0,,,0,0,0,0,0,0,17,23.6,0,0.0,0,0.0
12,5.0,48.0,13.0,14.0,2022-12-11,BAL,@,PIT,"W, 16-14",,13,66,0,5.1,0,0,0,0,,,0,0,0,0,0,0,21,34.4,0,0.0,0,0.0
13,6.0,49.0,14.0,15.0,2022-12-17,BAL,@,CLE,"L, 3-13",,7,55,0,7.9,0,0,0,0,,,0,0,0,0,0,0,11,17.5,0,0.0,0,0.0
14,7.0,50.0,15.0,16.0,2022-12-24,BAL,,ATL,"W, 17-9",,11,99,0,9.0,0,0,0,0,,,0,0,0,0,0,0,21,40.4,0,0.0,0,0.0
15,8.0,51.0,16.0,17.0,2023-01-01,BAL,,PIT,"L, 13-16",,3,2,0,0.7,0,0,0,0,,,0,0,0,0,0,0,9,17.3,0,0.0,0,0.0
16,9.0,52.0,17.0,18.0,2023-01-08,BAL,@,CIN,"L, 16-27",*,4,16,0,4.0,0,0,0,0,,,0,0,0,0,0,0,5,6.4,0,0.0,0,0.0
17,,,,,,,,,5-4,,87,433,3,5.0,2,0,0,0,0.0,0.0,1,1,0,0,0,0,159,26.9,0,0.0,0,0.0
