,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2016-09-11,SDG,@,KAN,"L, 27-33 (OT)",,2,1,20,20.0,0,50.0,10.0,0,0,0,,0,0,0,0,0,0,30,41.1,0,0.0,9,26.5
1,2.0,2.0,2.0,2.0,2016-09-18,SDG,,JAX,"W, 38-14",*,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,39,57.4,0,0.0,8,29.6
2,3.0,3.0,3.0,3.0,2016-09-25,SDG,@,IND,"L, 22-26",*,5,5,72,14.4,0,100.0,14.4,0,0,0,,1,1,0,0,0,0,59,100.0,0,0.0,5,17.9
3,4.0,4.0,4.0,4.0,2016-10-02,SDG,,NOR,"L, 34-35",*,7,4,61,15.3,1,57.1,8.7,0,0,0,,0,0,0,0,0,0,68,97.1,0,0.0,6,18.2
4,5.0,5.0,5.0,5.0,2016-10-09,SDG,@,OAK,"L, 31-34",*,4,3,74,24.7,1,75.0,18.5,0,0,0,,0,0,0,0,0,0,42,82.4,0,0.0,6,20.0
5,6.0,6.0,6.0,6.0,2016-10-13,SDG,,DEN,"W, 21-13",*,8,6,83,13.8,1,75.0,10.4,0,0,0,,0,0,0,0,0,0,45,68.2,0,0.0,7,23.3
6,7.0,7.0,7.0,7.0,2016-10-23,SDG,@,ATL,"W, 33-30 (OT)",*,3,1,16,16.0,0,33.3,5.3,0,0,0,,0,0,0,0,0,0,47,62.7,0,0.0,6,18.2
7,8.0,8.0,8.0,8.0,2016-10-30,SDG,@,DEN,"L, 19-27",*,4,2,14,7.0,0,50.0,3.5,0,0,0,,0,0,0,0,0,0,45,55.6,0,0.0,3,10.3
8,8.0,,9.0,9.0,2016-11-06,SDG,,TEN,"W, 43-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,9.0,10.0,10.0,2016-11-13,SDG,,MIA,"L, 24-31",*,2,2,11,5.5,1,100.0,5.5,0,0,0,,0,0,0,0,0,0,26,33.8,0,0.0,0,0.0
10,10.0,10.0,11.0,12.0,2016-11-27,SDG,@,HOU,"W, 21-13",*,3,2,20,10.0,1,66.7,6.7,0,0,0,,0,0,0,0,0,0,28,50.0,0,0.0,1,3.8
11,11.0,11.0,12.0,13.0,2016-12-04,SDG,,TAM,"L, 21-28",,1,1,14,14.0,0,100.0,14.0,0,0,0,,0,0,0,0,0,0,24,43.6,0,0.0,0,0.0
12,12.0,12.0,13.0,14.0,2016-12-11,SDG,@,CAR,"L, 16-28",*,5,2,13,6.5,1,40.0,2.6,0,0,0,,0,0,0,0,0,0,35,53.8,0,0.0,0,0.0
13,13.0,13.0,14.0,15.0,2016-12-18,SDG,,OAK,"L, 16-19",,4,3,37,12.3,1,75.0,9.3,1,10,0,10.0,0,0,0,0,0,0,29,52.7,0,0.0,3,11.5
14,14.0,14.0,15.0,16.0,2016-12-24,SDG,@,CLE,"L, 17-20",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,20,29.4,0,0.0,5,17.2
15,15.0,15.0,16.0,17.0,2017-01-01,SDG,,KAN,"L, 27-37",,5,4,43,10.8,1,80.0,8.6,0,0,0,,0,0,0,0,0,0,36,54.5,0,0.0,5,17.9
16,,,,,,,,,4-11,,53,36,478,13.3,8,67.9,9.0,1,10,0,10.0,1,1,0,0,0,0,573,58.2,0,0.0,64,14.7
