,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2016,22,SDG,NFL,TE,15.0,10.0,53.0,36.0,478.0,13.3,8.0,30.0,62.3,59.0,2.4,31.9,67.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,13.3,478.0,8.0,1.0,4.0,
1,2017,23,LAC,NFL,TE,14.0,13.0,62.0,45.0,579.0,12.9,4.0,32.0,67.7,34.0,3.2,41.4,72.6,9.3,0.0,0.0,0.0,0.0,0.0,0.0,45.0,12.9,579.0,4.0,0.0,5.0,
2,2018,24,LAC,NFL,TE,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,
3,2019,25,LAC,NFL,TE,12.0,12.0,76.0,55.0,652.0,11.9,5.0,36.0,67.1,30.0,4.6,54.3,72.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,55.0,11.9,652.0,5.0,1.0,5.0,
4,2020,26,LAC,NFL,TE,14.0,14.0,93.0,60.0,613.0,10.2,4.0,35.0,51.6,33.0,4.3,43.8,64.5,6.6,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10.2,613.0,4.0,0.0,5.0,
5,2021,27,NWE,NFL,TE,17.0,10.0,75.0,50.0,603.0,12.1,9.0,34.0,62.7,35.0,2.9,35.5,66.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.1,603.0,9.0,0.0,6.0,
6,2022,28,NWE,NFL,TE,17.0,14.0,59.0,41.0,509.0,12.4,2.0,23.0,50.8,39.0,2.4,29.9,69.5,8.6,0.0,0.0,0.0,0.0,0.0,0.0,41.0,12.4,509.0,2.0,0.0,4.0,
7,2023,29,NWE,NFL,TE,14.0,10.0,61.0,42.0,419.0,10.0,6.0,29.0,63.9,24.0,3.0,29.9,68.9,6.9,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,419.0,6.0,1.0,3.0,
8,2024,30,NWE,NFL,TE,16.0,16.0,97.0,66.0,674.0,10.2,2.0,40.0,56.7,35.0,4.1,42.1,68.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,66.0,10.2,674.0,2.0,0.0,6.0,
9,2025,31,NWE,NFL,TE,3.0,3.0,22.0,13.0,165.0,12.7,2.0,9.0,54.5,27.0,4.3,55.0,59.1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,13.0,12.7,165.0,2.0,0.0,,
10,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,122.0,102.0,598.0,408.0,4692.0,11.5,42.0,268.0,59.7,59.0,3.3,38.5,68.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,408.0,11.5,4692.0,42.0,3.0,38.0,
11,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,83.0,57.0,654.0,11.5,6.0,37.0,59.7,59.0,3.3,38.5,68.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,57.0,11.5,654.0,6.0,0.0,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NWE (5 Yrs),NWE (5 Yrs),NWE (5 Yrs),NWE (5 Yrs),,67.0,53.0,314.0,212.0,2370.0,11.2,21.0,135.0,58.3,39.0,3.2,35.4,67.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,212.0,11.2,2370.0,21.0,1.0,19.0,
14,SDG (5 Yrs),SDG (5 Yrs),SDG (5 Yrs),SDG (5 Yrs),,55.0,49.0,284.0,196.0,2322.0,11.8,21.0,133.0,61.3,59.0,3.6,42.2,69.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,196.0,11.8,2322.0,21.0,2.0,19.0,
