,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,137.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",*,6,6,33,5.5,2,100.0,5.5,1,6,0,6.0,0,0,,0,0,0,,,,0,0,61,77.2,0,0.0,0,0.0
1,2.0,138.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",*,6,4,37,9.3,0,66.7,6.2,0,0,0,,0,0,,0,0,0,,,,0,0,50,80.6,0,0.0,0,0.0
2,3.0,139.0,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",*,12,10,94,9.4,0,83.3,7.8,0,0,0,,1,1,100.0,13,0,0,13.0,13.00,118.7,0,0,57,85.1,0,0.0,0,0.0
3,4.0,140.0,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",*,9,5,69,13.8,0,55.6,7.7,1,6,1,6.0,0,0,,0,0,0,,,,0,0,62,82.7,0,0.0,0,0.0
4,5.0,141.0,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",*,8,6,82,13.7,0,75.0,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,59,86.8,0,0.0,0,0.0
5,6.0,142.0,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",*,7,6,77,12.8,1,85.7,11.0,0,0,0,,0,0,,0,0,0,,,,0,0,52,78.8,0,0.0,0,0.0
6,7.0,143.0,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",*,7,5,23,4.6,0,71.4,3.3,0,0,0,,0,0,,0,0,0,,,,0,0,52,81.3,0,0.0,0,0.0
7,8.0,144.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",*,9,5,81,16.2,0,55.6,9.0,1,-4,0,-4.0,0,0,,0,0,0,,,,0,0,38,53.5,0,0.0,0,0.0
8,8.0,,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,8.0,,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,8.0,,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,8.0,,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8.0,,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,8.0,,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,8.0,,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,8.0,,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,8.0,,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,6-2,,64,47,496,10.6,3,73.4,7.8,3,8,1,2.7,1,1,100.0,13,0,0,13.0,13.00,118.7,0,0,431,78.1,0,0.0,0,0.0
